"","Neighborhood","Average Commute Time (mins)","Average Air Quality (PM2.5 Concentration)"
"1","Acton",44.9,8.3400450945
"2","Adams-Normandie",30.74,12.622741494
"3","Agoura Hills",29.0333333333333,10.2189143233333
"4","Agua Dulce",45.7,8.198499252
"5","Alhambra",29.77,12.6369880625
"6","Alondra Park",26.1,12.31366419
"7","Altadena",27.8625,11.94737488125
"8","Angeles Crest",35.3,11.40565971
"9","Arcadia",30.4636363636364,12.5557394518182
"10","Arleta",28,10.91378636
"11","Arlington Heights",33.85,12.56441068
"12","Artesia",24.9666666666667,12.0614046766667
"13","Athens",30.55,12.49673154
"14","Atwater Village",29.6666666666667,12.29100547
"15","Avalon",8.7,NA
"16","Avocado Heights",31.2,12.910142905
"17","Azusa",29.14,12.861921424
"18","Baldwin Hills/Crenshaw",32.9,12.5719453028571
"19","Baldwin Park",31.175,12.89902377375
"20","Bel-Air",28.9,11.93008902
"21","Bell",29.1571428571429,12.6823254728571
"22","Bell Gardens",28.5333333333333,12.6629853488889
"23","Bellflower",29.3,12.2251712061111
"24","Beverly Crest",26.4333333333333,11.9991820433333
"25","Beverly Grove",24.0375,12.35518581625
"26","Beverly Hills",25.1714285714286,12.2691096857143
"27","Beverlywood",21.8,12.42382612
"28","Boyle Heights",28.856,12.6933069228
"29","Bradbury",32.4,12.54535924
"30","Brentwood",24.99,12.066629874
"31","Broadway-Manchester",33.42,12.562639696
"32","Burbank",NA,11.7442963416667
"33","Calabasas",33.3666666666667,10.7624327366667
"34","Canoga Park",27.5538461538462,10.6215221907692
"35","Carson",NA,11.9152364090476
"36","Carthay",24.45,12.43993992
"37","Castaic",32,8.59917045266667
"38","Castaic Canyons",NA,8.60540202741667
"39","Central-Alameda",27.89,12.690800462
"40","Century City",31.2,12.32845116
"41","Cerritos",31.2090909090909,12.0322636354545
"42","Charter Oak",34.95,13.15427949
"43","Chatsworth",30.9272727272727,10.2070344354545
"44","Chatsworth Reservoir",NA,10.266608065
"45","Chesterfield Square",36.8666666666667,12.6347993266667
"46","Cheviot Hills",23.2,12.391773975
"47","Chinatown",28,12.6157544675
"48","Citrus",27.5333333333333,12.9727528833333
"49","Claremont",28.3625,13.55642867375
"50","Commerce",27.6666666666667,12.73014573
"51","Compton",27.8083333333333,12.3516918470833
"52","Covina",30.85,13.090658046
"53","Cudahy",32,12.6535769733333
"54","Culver City",24.5857142857143,12.4677596728571
"55","Cypress Park",27.6666666666667,12.50949112
"56","Del Aire",24.35,12.41937841
"57","Del Rey",26.7428571428571,12.4473158585714
"58","Diamond Bar",34.9888888888889,13.3141521888889
"59","Downey",NA,12.5322460047826
"60","Downtown",NA,12.6468431438462
"61","Duarte",26.7333333333333,12.6620318866667
"62","Eagle Rock",29,12.31307734125
"63","East Compton",26.1,12.36312828
"64","East Hollywood",32.8388888888889,12.4393816605556
"65","East La Mirada",28.7,12.547909835
"66","East Los Angeles",29.1857142857143,12.7262574003571
"67","East Pasadena",26.1,12.4327659
"68","East San Gabriel",31.86,12.555498788
"69","Echo Park",29.7444444444444,12.5440684077778
"70","El Monte",31.1875,12.8193274325
"71","El Segundo",NA,12.3847819733333
"72","El Sereno",27.8272727272727,12.6105830663636
"73","Elizabeth Lake",39.7,7.423030328
"74","Elysian Park",NA,12.57915938
"75","Elysian Valley",26.8333333333333,12.4646946433333
"76","Encino",29.7,11.3538991454545
"77","Exposition Park",35.5142857142857,12.6380215928571
"78","Fairfax",25.475,12.3789592975
"79","Florence",32.5230769230769,12.6499518323077
"80","Florence-Firestone",31.0230769230769,12.6465183753846
"81","Gardena",26.5266666666667,12.325150872
"82","Glassell Park",29.4875,12.3612479325
"83","Glendale",26.4974358974359,12.0214453587179
"84","Glendora",30.2384615384615,12.9900682384615
"85","Gramercy Park",31.65,12.583444405
"86","Granada Hills",NA,10.33725355
"87","Green Meadows",31.925,12.57043399625
"88","Griffith Park",NA,12.14804609
"89","Hacienda Heights",34.9153846153846,12.9313245776923
"90","Hancock Park",24.8,12.4439764333333
"91","Hansen Dam",NA,10.80484806
"92","Harbor City",26.9571428571429,11.5898267214286
"93","Harbor Gateway",26.925,12.21594650875
"94","Harvard Heights",35.7,12.5839936383333
"95","Harvard Park",31.6,12.63813246
"96","Hawaiian Gardens",25.85,11.644294085
"97","Hawthorne",28.4944444444444,12.4287009344444
"98","Hermosa Beach",29.78,12.156951492
"99","Hidden Hills",28.8,10.63077717
"100","Highland Park",31.0857142857143,12.4307341892857
"101","Historic South-Central",26.3166666666667,12.6749062966667
"102","Hollywood",29.9,12.3441412627273
"103","Hollywood Hills",28.2666666666667,12.2082270666667
"104","Hollywood Hills West",28.575,12.19028913
"105","Huntington Park",30.0052631578947,12.6839058852632
"106","Hyde Park",30.75,12.613766761
"107","Industry",30.9,13.0655939957143
"108","Inglewood",28.9333333333333,12.5527703592593
"109","Irwindale",25.3,12.80427102
"110","Jefferson Park",31.9666666666667,12.59883008
"111","Koreatown",33.3862068965517,12.5344228634483
"112","La Canada Flintridge",26.625,11.6736688
"113","La Crescenta-Montrose",28.3,11.4835497575
"114","La Habra Heights",31.3,12.797693315
"115","La Mirada",29.62,12.375029939
"116","La Puente",31.15,13.00791709375
"117","La Verne",29.9142857142857,13.3702955314286
"118","Ladera Heights",27.425,12.535720315
"119","Lake Balboa",31.7,11.0453156628571
"120","Lake Los Angeles",45.3,6.898359373
"121","Lake View Terrace",29.3333333333333,10.6452993266667
"122","Lakewood",27.85,11.8729531472222
"123","Lancaster",NA,6.55536946985714
"124","Larchmont",30.25,12.452510465
"125","Lawndale",24.1,12.3082440833333
"126","Leimert Park",30.6333333333333,12.6121892333333
"127","Lennox",25.38,12.506533704
"128","Leona Valley",38.3,7.323844073
"129","Lincoln Heights",29.4833333333333,12.612190955
"130","Lomita",24.2333333333333,11.64631539
"131","Long Beach",NA,11.4734284132143
"132","Lopez/Kagel Canyons",32.9,10.58812977
"133","Los Feliz",29.0083333333333,12.3539818
"134","Lynwood",29.2727272727273,12.4853318736364
"135","Malibu",36.9,10.6295205
"136","Manchester Square",29.8,12.614023475
