"","Neighborhood","Average Commute (mins)","Average Asthma Rate"
"1","Acton",44.9,30.795749
"2","Adams-Normandie",30.74,51.1374294
"3","Agoura Hills",29.0333333333333,16.1610476666667
"4","Agua Dulce",45.7,17.890142
"5","Alhambra",29.77,23.66937575
"6","Alondra Park",26.1,51.577001
"7","Altadena",27.8625,50.731754375
"8","Angeles Crest",35.3,33.9805825
"9","Arcadia",30.4636363636364,19.3464624545455
"10","Arleta",28,59.6304221666667
"11","Arlington Heights",33.85,47.9531111666667
"12","Artesia",24.9666666666667,30.080164
"13","Athens",30.55,107.286995
"14","Atwater Village",29.6666666666667,41.918008
"15","Avalon",8.7,37.58
"16","Avocado Heights",31.2,36.3991195
"17","Azusa",29.14,48.1033759
"18","Baldwin Hills/Crenshaw",32.9,92.2089898571429
"19","Baldwin Park",31.175,43.674873875
"20","Bel-Air",28.9,16.46993
"21","Bell",29.1571428571429,38.605514
"22","Bell Gardens",28.5333333333333,38.5900965555556
"23","Bellflower",29.3,61.8710527777778
"24","Beverly Crest",26.4333333333333,15.999737
"25","Beverly Grove",24.0375,20.4926595
"26","Beverly Hills",25.1714285714286,16.2242805714286
"27","Beverlywood",21.8,28.958263
"28","Boyle Heights",28.856,54.2922616
"29","Bradbury",32.4,11.44534
"30","Brentwood",24.99,13.5510976
"31","Broadway-Manchester",33.42,107.0649092
"32","Burbank",NA,33.262531875
"33","Calabasas",33.3666666666667,17.3860536666667
"34","Canoga Park",27.5538461538462,37.8292541538462
"35","Carson",NA,45.301614
"36","Carthay",24.45,26.67368
"37","Castaic",32,20.3651776666667
"38","Castaic Canyons",NA,21.4070259166667
"39","Central-Alameda",27.89,52.179952
"40","Century City",31.2,23.426938
"41","Cerritos",31.2090909090909,27.3298615454545
"42","Charter Oak",34.95,38.2802205
"43","Chatsworth",30.9272727272727,27.6294234545455
"44","Chatsworth Reservoir",NA,33.070006
"45","Chesterfield Square",36.8666666666667,111.881268666667
"46","Cheviot Hills",23.2,23.19082
"47","Chinatown",28,21.23739475
"48","Citrus",27.5333333333333,48.2344406666667
"49","Claremont",28.3625,31.088349125
"50","Commerce",27.6666666666667,41.4152493333333
"51","Compton",27.8083333333333,84.92397775
"52","Covina",30.85,43.8549692
"53","Cudahy",32,38.6806848333333
"54","Culver City",24.5857142857143,33.8837607142857
"55","Cypress Park",27.6666666666667,42.68
"56","Del Aire",24.35,50.6094495
"57","Del Rey",26.7428571428571,30.6432867142857
"58","Diamond Bar",34.9888888888889,20.8632277777778
"59","Downey",NA,43.8890866956522
"60","Downtown",NA,86.2044543076923
"61","Duarte",26.7333333333333,37.2752813333333
"62","Eagle Rock",29,36.090226125
"63","East Compton",26.1,79.35
"64","East Hollywood",32.8388888888889,42.7939835555556
"65","East La Mirada",28.7,45.4547735
"66","East Los Angeles",29.1857142857143,53.0162742142857
"67","East Pasadena",26.1,24.567782
"68","East San Gabriel",31.86,16.9756178
"69","Echo Park",29.7444444444444,36.5750233333333
"70","El Monte",31.1875,45.9422939166667
"71","El Segundo",NA,16.6003628333333
"72","El Sereno",27.8272727272727,45.7842190909091
"73","Elizabeth Lake",39.7,26.039531
"74","Elysian Park",NA,21.9900965
"75","Elysian Valley",26.8333333333333,39.8750633333333
"76","Encino",29.7,30.5966504545455
"77","Exposition Park",35.5142857142857,69.5416642857143
"78","Fairfax",25.475,20.4237775
"79","Florence",32.5230769230769,91.738758
"80","Florence-Firestone",31.0230769230769,64.7037893076923
"81","Gardena",26.5266666666667,55.7326226666667
"82","Glassell Park",29.4875,41.629722125
"83","Glendale",26.4974358974359,28.3339542820513
"84","Glendora",30.2384615384615,35.3070102307692
"85","Gramercy Park",31.65,124.620175
"86","Granada Hills",NA,38.9597628
"87","Green Meadows",31.925,93.258089375
"88","Griffith Park",NA,27.445
"89","Hacienda Heights",34.9153846153846,25.7890372307692
"90","Hancock Park",24.8,30.5748746666667
"91","Hansen Dam",NA,47.59606
"92","Harbor City",26.9571428571429,35.1736711428571
"93","Harbor Gateway",26.925,56.356306625
"94","Harvard Heights",35.7,44.375877
"95","Harvard Park",31.6,118.14356
"96","Hawaiian Gardens",25.85,60.1743425
"97","Hawthorne",28.4944444444444,52.7113169444444
"98","Hermosa Beach",29.78,12.5802804
"99","Hidden Hills",28.8,16.485005
"100","Highland Park",31.0857142857143,48.9943449285714
"101","Historic South-Central",26.3166666666667,53.0993416666667
"102","Hollywood",29.9,33.0972229090909
"103","Hollywood Hills",28.2666666666667,19.8183386666667
"104","Hollywood Hills West",28.575,19.994119
"105","Huntington Park",30.0052631578947,44.6986866842105
"106","Hyde Park",30.75,98.5764201
"107","Industry",30.9,30.3853688571429
"108","Inglewood",28.9333333333333,66.9354518148148
"109","Irwindale",25.3,43.35072
"110","Jefferson Park",31.9666666666667,66.2060686666667
"111","Koreatown",33.3862068965517,31.1751854137931
"112","La Canada Flintridge",26.625,18.3507495
"113","La Crescenta-Montrose",28.3,33.5355515
"114","La Habra Heights",31.3,33.199053
"115","La Mirada",29.62,33.0525967
"116","La Puente",31.15,43.0295705
"117","La Verne",29.9142857142857,29.5990234285714
"118","Ladera Heights",27.425,54.095221
"119","Lake Balboa",31.7,53.5185771428571
"120","Lake Los Angeles",45.3,91.926162
"121","Lake View Terrace",29.3333333333333,51.3173436666667
"122","Lakewood",27.85,39.612043
"123","Lancaster",NA,86.5807752857143
"124","Larchmont",30.25,40.4566895
"125","Lawndale",24.1,49.9041813333333
"126","Leimert Park",30.6333333333333,96.989021
"127","Lennox",25.38,43.7215212
"128","Leona Valley",38.3,32.886082
"129","Lincoln Heights",29.4833333333333,36.4040855
"130","Lomita",24.2333333333333,33.857301
"131","Long Beach",NA,57.0146077410714
"132","Lopez/Kagel Canyons",32.9,54.97
"133","Los Feliz",29.0083333333333,36.1572673333333
"134","Lynwood",29.2727272727273,54.3647861818182
"135","Malibu",36.9,12.08
"136","Manchester Square",29.8,122.0457495
"137","Manhattan Beach",28.3125,16.805387875
"138","Mar Vista",26.61,24.2476303
"139","Marina del Rey",31.9,28.6
"140","Mayflower Village",30.4333333333333,32.329101
"141","Maywood",27.9285714285714,40.7670595714286
"142","Mid-City",30.3642857142857,47.6630069285714
"143","Mid-Wilshire",27.4272727272727,31.4566465454545
"144","Mission Hills",29.42,46.8502728
"145","Monrovia",29.1875,37.59016175
"146","Montebello",35.0071428571429,41.4522516428571
"147","Montecito Heights",31.0428571428571,41.6284527142857
"148","Monterey Park",29.86875,27.1845140625
"149","Mount Washington",32.075,44.19932075
"150","North Hills",32.5285714285714,60.5910068571429
"151","North Hollywood",29.2045454545455,41.6012149545455
"152","North Whittier",31.3,47.71
"153","Northeast Antelope Valley",NA,77.2831138333333
"154","Northridge",27.85,42.8094100714286
"155","Northwest Antelope Valley",34,55.791822
"156","Northwest Palmdale",31,37.157566
"157","Norwalk",NA,47.6785216818182
"158","Pacific Palisades",28.1571428571429,12.2981987142857
"159","Pacoima",27.6789473684211,58.9969582631579
"160","Palmdale",NA,55.773848030303
"161","Palms",25.7545454545455,32.8772676363636
"162","Palos Verdes Estates",34.8333333333333,12.651547
"163","Panorama City",32.2777777777778,60.9954722222222
"164","Paramount",27.57,50.6623235
"165","Pasadena",26.8235294117647,35.0407049705882
"166","Pico Rivera",29.0384615384615,47.1372464615385
"167","Pico-Robertson",23.7333333333333,22.503706
"168","Pico-Union",35.2642857142857,41.6758750714286
"169","Playa Vista",27.4,28.033317
"170","Playa del Rey",27.15,16.472239
"171","Pomona",28.4032258064516,52.3186112258064
"172","Porter Ranch",34.9857142857143,19.6904364285714
"173","Quartz Hill",27.75,45.083835
"174","Ramona",32.5,36.249686
"175","Rancho Dominguez",29.6,91.404628
"176","Rancho Palos Verdes",31.6,14.104351125
"177","Rancho Park",24.2,22.148125
"178","Redondo Beach",27.6,20.9803800769231
"179","Reseda",29.4923076923077,51.4453936923077
"180","Ridge Route",36.8,28.4423913333333
"181","Rolling Hills",31.7,13.108129
"182","Rolling Hills Estates",29.8,18.30550425
"183","Rosemead",27.3818181818182,26.6320297272727
"184","Rowland Heights",33.9181818181818,21.0034636363636
"185","San Dimas",33.075,34.459966875
"186","San Fernando",26.4,53.6018246
"187","San Gabriel",27.6333333333333,22.617681
"188","San Marino",27.05,14.8800225
"189","San Pasqual",28.3,23.9338735
"190","San Pedro",NA,46.8432338333333
"191","Santa Clarita",33.080487804878,22.043587804878
"192","Santa Fe Springs",28.9666666666667,50.3899593333333
"193","Santa Monica",25.6789473684211,31.7163441052632
"194","Sawtelle",24.38,22.712259
"195","Sepulveda Basin",33.2,26.119623
"196","Shadow Hills",NA,35.831222
"197","Sherman Oaks",30.4277777777778,28.7058657777778
"198","Sierra Madre",29.1,16.0483036666667
"199","Signal Hill",25.7,40.954046
"200","Silver Lake",29.5555555555556,39.5280401111111
"201","South El Monte",30.25,42.27
"202","South Gate",29.3238095238095,35.637666047619
"203","South Park",30.425,56.523493875
"204","South Pasadena",27.76,20.6502636
"205","South San Gabriel",30.2,26.488053
"206","South San Jose Hills",32.9,41.1052928
"207","South Whittier",28.0384615384615,49.0671182307692
"208","Southeast Antelope Valley",34.45,51.5662055
"209","Stevenson Ranch",39.2,21.682933
"210","Studio City",28.0444444444444,23.1877354444444
"211","Sun Valley",28.78,53.2998237
"212","Sunland",31.7333333333333,34.8297396666667
"213","Sylmar",29.7111111111111,54.6978008333333
"214","Tarzana",33.62,35.0263123
"215","Temple City",29.8142857142857,26.7995317142857
"216","Toluca Lake",26.3666666666667,32.35111
"217","Topanga",34.6,13.3767985
"218","Torrance",NA,24.8796879354839
"219","Tujunga",NA,38.4896051428571
"220","Tujunga Canyons",NA,46.8445105
"221","Unincorporated Catalina Island",42.7,37.58
"222","Unincorporated Santa Monica Mountains",29.0571428571429,13.6651104285714
"223","Unincorporated Santa Susana Mountains",32.925,22.58217475
"224","Universal City",NA,0
"225","University Park",24.5428571428571,41.9098967142857
"226","Valinda",34,43.690008
"227","Valley Glen",30.1666666666667,40.0281572
"228","Valley Village",31.12,31.9708984
"229","Van Nuys",NA,52.8760616153846
"230","Venice",26.8090909090909,31.0642780909091
"231","Vermont Knolls",31.15,102.6336875
"232","Vermont Square",36.2333333333333,81.0348113333333
"233","Vermont Vista",30.0833333333333,101.027859666667
"234","Vermont-Slauson",34.95,96.026769625
"235","Vernon",20.2,57.2
"236","Veterans Administration",50.3,14.145536
"237","View Park-Windsor Hills",29.2,95.8891495
"238","Vincent",30.575,41.7440025
"239","Walnut",35.3285714285714,19.8887272857143
"240","Walnut Park",31.125,43.2567765
"241","Watts",33.9625,87.729215625
"242","West Adams",32.6,71.814751
"243","West Carson",27.45,40.68676775
"244","West Compton",24.75,73.4841605
"245","West Covina",34.6826086956522,33.7909934347826
"246","West Hills",31.9454545454545,34.2331877272727
"247","West Hollywood",26.1428571428571,20.4662011428571
"248","West Los Angeles",23.075,22.41538325
"249","West Puente Valley",32.96,38.0823566
"250","West Whittier-Los Nietos",29.1333333333333,58.1840505
"251","Westchester",NA,32.2530896666667
"252","Westlake",33.12,39.5655024
"253","Westlake Village",27.4,14.4397615
"254","Westmont",34.5142857142857,112.193607571429
"255","Westwood",21.6230769230769,12.9766972307692
"256","Whittier",30.7166666666667,51.5611606111111
"257","Whittier Narrows",33.4,42.27
"258","Willowbrook",29.4166666666667,94.1217318333333
"259","Wilmington",NA,42.7887588125
"260","Windsor Square",27.15,31.767068
"261","Winnetka",29.0363636363636,39.2443360909091
"262","Woodland Hills",30.1769230769231,25.9856682307692
