average_commute_time,tract_number,neighborhood_name,lat_and_long,public_transit_percent,asthma_count,air_quality_measure
32.1,101110,Tujunga,"(34.2595555, -118.293602)",1.4817951,NULL,NULL
34.3,101122,Tujunga,"(34.267357, -118.29024)",1.9159127,NULL,NULL
29.7,101210,Tujunga,"(34.251998, -118.2926875)",4.142375,NULL,NULL
29.4,101220,Tujunga,"(34.2511895, -118.281014)",0,NULL,NULL
29.8,101300,Tujunga,"(34.2455945, -118.271731)",0,NULL,NULL
27.7,101400,Tujunga,"(34.244255, -118.296428)",3.1795511,NULL,NULL
33.7,102103,"Shadow Hills","(34.224155, -118.354339)",0,NULL,NULL
28.9,102104,"Shadow Hills","(34.216189, -118.3456235)",2.6831784,NULL,NULL
26.1,102105,"Sun Valley","(34.210852, -118.3480495)",0,NULL,NULL
28.3,102107,"Shadow Hills","(34.2412955, -118.3292705)",8.9622641,NULL,NULL
30.7,103101,Sunland,"(34.274431, -118.30714)",0,NULL,NULL
33.8,103102,Sunland,"(34.262834, -118.30683)",5.8772311,NULL,NULL
28.3,103200,"Lake View Terrace","(34.2745565, -118.3439025)",0.48435172,NULL,NULL
27.5,103300,"Shadow Hills","(34.255439, -118.3527775)",0.60386473,NULL,NULL
29.6,103400,Sunland,"(34.253933, -118.3147245)",0.6224826,NULL,NULL
31.5,104103,"Lake View Terrace","(34.2819045, -118.3918905)",4.1203399,NULL,NULL
26.8,104105,Pacoima,"(34.276146, -118.404645)",21.231979,NULL,NULL
23,104108,Pacoima,"(34.271671, -118.397614)",6.1128526,NULL,NULL
32.1,104124,"Lopez/Kagel Canyons","(34.287866, -118.376208)",1.8918918,NULL,NULL
19.7,104201,Pacoima,"(34.2867415, -118.4160805)",3.1042128,NULL,NULL
23.3,104203,Pacoima,"(34.279058, -118.411554)",9.2067165,NULL,NULL
27.3,104204,"Lake View Terrace","(34.2886315, -118.396898)",1.0025063,NULL,NULL
31.9,104310,Pacoima,"(34.2762555, -118.4293915)",1.9422572,NULL,NULL
26.9,104320,Pacoima,"(34.27316, -118.4202235)",7.3513112,NULL,NULL
25.9,104401,Pacoima,"(34.2670615, -118.433071)",0,NULL,NULL
29.8,104403,Pacoima,"(34.2589085, -118.4345385)",4.5189505,NULL,NULL
24.1,104404,Pacoima,"(34.2639205, -118.4286915)",2.0928116,NULL,NULL
24.4,104500,Pacoima,"(34.25551, -118.4257485)",4.9705138,NULL,NULL
23.3,104610,Pacoima,"(34.2604335, -118.4189955)",7.3403239,NULL,NULL
28.3,104620,Pacoima,"(34.2579045, -118.422465)",4.5412421,NULL,NULL
27.9,104701,Pacoima,"(34.268476, -118.4152165)",11.911988,NULL,NULL
21.2,104703,Pacoima,"(34.2551165, -118.399872)",5.0505052,NULL,NULL
31.7,104704,Pacoima,"(34.2625155, -118.4088415)",6.1021171,NULL,NULL
27.7,104810,Pacoima,"(34.2502955, -118.411179)",4.5478864,NULL,NULL
25.4,104821,Pacoima,"(34.2465705, -118.416294)",5.6842103,NULL,NULL
30.6,104822,Pacoima,"(34.245882, -118.4209225)",6.25,NULL,NULL
24.9,106010,Sylmar,"(34.3231715, -118.444538)",0.37965071,NULL,NULL
30.8,106020,Sylmar,"(34.320427, -118.428524)",3.6036036,NULL,NULL
33.1,106111,Sylmar,"(34.3231945, -118.4087995)",0.50611556,NULL,NULL
31.2,106112,Sylmar,"(34.305005, -118.414298)",3.7257824,NULL,NULL
29.1,106113,Sylmar,"(34.3062, -118.42203)",4.7885571,NULL,NULL
26.7,106114,Sylmar,"(34.302675, -118.426951)",4.5955005,NULL,NULL
24.4,106403,Sylmar,"(34.306005, -118.441288)",5.9502664,NULL,NULL
27.8,106405,Sylmar,"(34.3146865, -118.448309)",5.4821663,NULL,NULL
27.8,106406,Sylmar,"(34.321542, -118.4587415)",4.8169556,NULL,NULL
27.5,106407,Sylmar,"(34.3105765, -118.4365505)",5.1948051,NULL,NULL
29.7,106408,Sylmar,"(34.3132585, -118.440082)",5.9335442,NULL,NULL
30.5,106510,Sylmar,"(34.3236325, -118.4860245)",0.92118728,NULL,NULL
27.4,106520,Sylmar,"(34.308856, -118.4613605)",3.8106699,NULL,NULL
33.6,106603,"Granada Hills","(34.3189225, -118.5218285)",0.56998098,NULL,NULL
26.7,106604,Sylmar,"(34.3042795, -118.474247)",4.0254235,NULL,NULL
35.6,106641,"Granada Hills","(34.298025, -118.509153)",0,NULL,NULL
31.6,106642,"Granada Hills","(34.2863475, -118.5084525)",4.4765344,NULL,NULL
35.1,106643,"Granada Hills","(34.289784, -118.524711)",0,NULL,NULL
31,106645,"Granada Hills","(34.2905125, -118.4928915)",1.7217631,NULL,NULL
30,106646,"Granada Hills","(34.2790905, -118.4941245)",1.8012007,NULL,NULL
25.8,106648,Sylmar,"(34.293406, -118.4556035)",5.0159235,NULL,NULL
28.6,106649,Sylmar,"(34.288747, -118.4611105)",2.0458264,NULL,NULL
26.4,107010,Sylmar,"(34.302027, -118.446501)",1.459854,NULL,NULL
25.4,107020,Sylmar,"(34.2975345, -118.4503905)",1.9876325,NULL,NULL
34.1,108101,"Porter Ranch","(34.280038, -118.5413715)",2.997694,NULL,NULL
31,108102,"Porter Ranch","(34.280795, -118.55492)",1.8976424,NULL,NULL
41.2,108103,"Porter Ranch","(34.2860705, -118.542893)",2.4793389,NULL,NULL
35.9,108104,"Porter Ranch","(34.2939525, -118.5470515)",1.4492754,NULL,NULL
33.5,108201,"Porter Ranch","(34.2857885, -118.562083)",1.7702758,NULL,NULL
35.8,108202,Chatsworth,"(34.288396, -118.581814)",0,NULL,NULL
23,109100,"Mission Hills","(34.278731, -118.4610295)",1.2290503,NULL,NULL
29.3,109200,"Granada Hills","(34.2786785, -118.474608)",1.2658228,NULL,NULL
28,109300,"Granada Hills","(34.272521, -118.479515)",1.6010674,NULL,NULL
26.2,109400,"Mission Hills","(34.269881, -118.4552825)",1.3904983,NULL,NULL
23.2,109500,"San Fernando","(34.274036, -118.4444575)",4.4272275,NULL,NULL
25.3,109601,"Mission Hills","(34.2582765, -118.450367)",0.18416207,NULL,NULL
30.3,109603,"Mission Hills","(34.2536515, -118.465415)",3.5173643,NULL,NULL
28.6,109604,"Mission Hills","(34.2615535, -118.465347)",0.50536954,NULL,NULL
29.6,109700,"Granada Hills","(34.263394, -118.4810215)",4.1648397,NULL,NULL
28.9,109800,"North Hills","(34.2537535, -118.481817)",0.51203275,NULL,NULL
24.1,111100,"Granada Hills","(34.2683575, -118.4946735)",0,NULL,NULL
34.4,111201,"Granada Hills","(34.275029, -118.50855)",2.3306627,NULL,NULL
28.2,111202,"Granada Hills","(34.2683485, -118.5151565)",1.8987342,NULL,NULL
29.2,111204,"Porter Ranch","(34.2620495, -118.5490485)",3.7130497,NULL,NULL
32.9,111205,Northridge,"(34.253636, -118.5358265)",5.9557571,NULL,NULL
28.9,111206,"Porter Ranch","(34.2676425, -118.5361955)",0,NULL,NULL
24.7,111301,"Granada Hills","(34.2610855, -118.5158815)",2.3401361,NULL,NULL
33.8,111302,Northridge,"(34.2539425, -118.512829)",0,NULL,NULL
28,111400,"Granada Hills","(34.257483, -118.495412)",3.127847,NULL,NULL
32.4,113101,Chatsworth,"(34.265338, -118.5882575)",4.6526055,NULL,NULL
25.4,113102,Chatsworth,"(34.265325, -118.568068)",4.449472,NULL,NULL
31.2,113211,Chatsworth,"(34.2635755, -118.611966)",3.6565096,NULL,NULL
27.8,113212,Chatsworth,"(34.2608605, -118.6035245)",2.9663811,NULL,NULL
30.3,113213,Chatsworth,"(34.2535965, -118.608218)",3.6088963,NULL,NULL
32.8,113231,"Chatsworth Reservoir","(34.2282065, -118.645614)",0,NULL,NULL
27,113232,"West Hills","(34.227417, -118.61402)",3.6802759,NULL,NULL
22.5,113233,"Canoga Park","(34.2275575, -118.6017175)",6.5388951,NULL,NULL
22,113234,"Canoga Park","(34.227624, -118.59227)",5.8515701,NULL,NULL
36.3,113235,Chatsworth,"(34.2373915, -118.6488335)",0,NULL,NULL
28.7,113237,Chatsworth,"(34.2451855, -118.6125745)",3.7558684,NULL,NULL
27.1,113301,Northridge,"(34.2448005, -118.5590895)",0,NULL,NULL
31.3,113303,Chatsworth,"(34.2420235, -118.5801645)",2.1093001,NULL,NULL
29.4,113321,Chatsworth,"(34.25361, -118.5913535)",4.3298402,NULL,NULL
29.6,113322,Chatsworth,"(34.253622, -118.571362)",2.134305,NULL,NULL
29,113401,Winnetka,"(34.2279845, -118.562301)",2.8397565,NULL,NULL
27.3,113421,Winnetka,"(34.234694, -118.5826685)",6.1231508,NULL,NULL
28.9,113422,Winnetka,"(34.224085, -118.5821745)",3.9087949,NULL,NULL
27.5,115101,Northridge,"(34.239435, -118.5112365)",0,NULL,NULL
,115103,Northridge,"(34.246414, -118.528551)",0,NULL,NULL
27.1,115104,Northridge,"(34.2395005, -118.523595)",0,NULL,NULL
26.2,115201,Northridge,"(34.244559, -118.537408)",3.6568971,NULL,NULL
24.5,115202,Northridge,"(34.2338575, -118.537507)",2.8066127,NULL,NULL
35.1,115301,Northridge,"(34.240482, -118.545339)",2.3952096,NULL,NULL
29.9,115302,Northridge,"(34.226401, -118.5498615)",13.607776,NULL,NULL
28.8,115401,Northridge,"(34.2247565, -118.5149735)",6.0301509,NULL,NULL
29.3,115403,Northridge,"(34.22481, -118.5317135)",12.456747,NULL,NULL
25.8,115404,Northridge,"(34.2257645, -118.5412445)",11.502029,NULL,NULL
31.4,117101,"North Hills","(34.2391215, -118.4617905)",9.9500227,NULL,NULL
32.1,117102,"North Hills","(34.2463715, -118.4596495)",0.7198953,NULL,NULL
26.5,117201,"North Hills","(34.242798, -118.470143)",11.437126,NULL,NULL
30.8,117202,"North Hills","(34.242857, -118.478624)",5.7837386,NULL,NULL
24.6,117301,"North Hills","(34.242917, -118.4905265)",1.1946902,NULL,NULL
27.1,117302,Northridge,"(34.235472, -118.49709)",2.0888889,NULL,NULL
22.2,117303,"North Hills","(34.2281815, -118.4920695)",3.3041134,NULL,NULL
30.4,117404,"North Hills","(34.228481, -118.479066)",7.8790655,NULL,NULL
27.9,117405,"North Hills","(34.2337315, -118.4702305)",13.218884,NULL,NULL
27.3,117407,"North Hills","(34.2300885, -118.470266)",4.0644174,NULL,NULL
30.7,117408,"North Hills","(34.2248485, -118.4703675)",7.9766536,NULL,NULL
24.2,117510,"North Hills","(34.2336865, -118.462625)",9.5265255,NULL,NULL
31.9,117520,"North Hills","(34.230017, -118.4631875)",18.348003,NULL,NULL
32.3,117530,"North Hills","(34.224845, -118.4634755)",11.697683,NULL,NULL
26.1,119001,Arleta,"(34.232289, -118.4180405)",1.8026565,NULL,NULL
26.3,119002,Arleta,"(34.245902, -118.428032)",5.4227014,NULL,NULL
27.7,119201,Arleta,"(34.246411, -118.441015)",10.061287,NULL,NULL
22,119202,Arleta,"(34.2559555, -118.442705)",2.9571514,NULL,NULL
30.7,119310,"Panorama City","(34.246626, -118.450697)",4.0469208,NULL,NULL
31,119320,"Panorama City","(34.239058, -118.453982)",9.0788603,NULL,NULL
32.3,119340,"Panorama City","(34.2336085, -118.4518995)",23.862581,NULL,NULL
26.6,119341,"Panorama City","(34.237627, -118.4453355)",8.5377817,NULL,NULL
32.9,119342,"Panorama City","(34.240834, -118.4468745)",11.149585,NULL,NULL
24.5,119400,Arleta,"(34.2399345, -118.4355265)",10.699062,NULL,NULL
26.6,119700,"Panorama City","(34.219334, -118.4266115)",3.7364798,NULL,NULL
28.1,119800,Arleta,"(34.2337665, -118.429943)",4.4065104,NULL,NULL
33.4,119900,"Panorama City","(34.227376, -118.441236)",8.236866,NULL,NULL
32.5,120010,"Panorama City","(34.2175015, -118.4629745)",10.848288,NULL,NULL
32.7,120020,"Panorama City","(34.2166115, -118.4541405)",20.092592,NULL,NULL
27.9,120030,"Panorama City","(34.2149315, -118.451986)",18.489584,NULL,NULL
35.6,120103,"Panorama City","(34.229161, -118.4516205)",35.925087,NULL,NULL
27.7,120104,"Panorama City","(34.224796, -118.4484845)",8.7136927,NULL,NULL
20.1,120105,"Panorama City","(34.2300875, -118.444443)",6.394558,NULL,NULL
38.5,120106,"Panorama City","(34.223101, -118.4567005)",13.42901,NULL,NULL
25.2,120107,"Panorama City","(34.2264195, -118.4566575)",12.933333,NULL,NULL
35.1,120108,"Panorama City","(34.231779, -118.4563995)",9.5848284,NULL,NULL
30.7,120300,"Panorama City","(34.214918, -118.439841)",7.3777065,NULL,NULL
31.2,120400,"Panorama City","(34.2178505, -118.4330175)",11.572498,NULL,NULL
27.1,121010,"Sun Valley","(34.224559, -118.402591)",4.7387066,NULL,NULL
30,121020,"Sun Valley","(34.2110805, -118.402468)",4.9001813,NULL,NULL
26.2,121101,"Sun Valley","(34.225737, -118.3655)",4.6044097,NULL,NULL
32.4,121102,"Sun Valley","(34.2403885, -118.3845615)",3.3129904,NULL,NULL
25.4,121210,Pacoima,"(34.2400435, -118.404715)",1.3574661,NULL,NULL
30.1,121221,"Sun Valley","(34.227323, -118.396127)",5.5269923,NULL,NULL
28.1,121222,"Sun Valley","(34.2330185, -118.391909)",6.199461,NULL,NULL
33.5,121600,"Sun Valley","(34.211448, -118.409348)",4.7507787,NULL,NULL
25,121801,"Sun Valley","(34.21209, -118.3921495)",10.250437,NULL,NULL
31,121802,"Sun Valley","(34.219592, -118.39214)",10.013908,NULL,NULL
27.2,121900,"Sun Valley","(34.2176405, -118.3816355)",9.6742353,NULL,NULL
31.6,122000,"Sun Valley","(34.2171585, -118.4183795)",3.9743075,NULL,NULL
24.4,122120,"Sun Valley","(34.21116, -118.371144)",3.90625,NULL,NULL
23.9,122121,"Sun Valley","(34.2138845, -118.3714175)",10.376634,NULL,NULL
31.4,122122,"Sun Valley","(34.220949, -118.3717735)",5.1533742,NULL,NULL
35.1,122200,"Sun Valley","(34.214391, -118.3596165)",17.786308,NULL,NULL
30.7,122410,"Sun Valley","(34.204063, -118.3921485)",12.201735,NULL,NULL
29.1,122420,"Sun Valley","(34.203194, -118.3834125)",9.8662977,NULL,NULL
33.9,123010,"Sun Valley","(34.202326, -118.374682)",10.877193,NULL,NULL
29.8,123020,"Sun Valley","(34.2048255, -118.366247)",10.486634,NULL,NULL
26.5,123103,"North Hollywood","(34.1906295, -118.365029)",7.4074073,NULL,NULL
31.4,123104,"North Hollywood","(34.183057, -118.364585)",9.2270527,NULL,NULL
26.6,123203,"North Hollywood","(34.195833, -118.392147)",6.8989549,NULL,NULL
26.9,123204,"North Hollywood","(34.193936, -118.39433)",8.632041,NULL,NULL
28.3,123205,"North Hollywood","(34.194979, -118.383413)",8.8907013,NULL,NULL
22.2,123206,"North Hollywood","(34.1941185, -118.3746795)",11.322248,NULL,NULL
