average_commute_time,tract_number,neighborhood_name,lat_and_long,public_transit_percent,avg_vehicles_per_household,percent_households_no_vehicle
51.6,910804,Acton,"(34.528856, -118.187391)",0,2.9060543,0.83507305
44,910805,Acton,"(34.46611, -118.2253525)",0.74367875,2.5545394,1.3063357
36.9,221500,Adams-Normandie,"(34.034856, -118.3046185)",17.45924,1.4645476,23.308884
34.7,221601,Adams-Normandie,"(34.034833, -118.2959055)",20.646626,1.5711275,18.861959
21.1,221810,Adams-Normandie,"(34.0305765, -118.292359)",13.589211,1.4689966,29.875986
26.8,222100,Adams-Normandie,"(34.027317, -118.3024105)",15.75456,1.7204797,15.95941
31.7,222200,Adams-Normandie,"(34.0309165, -118.302424)",19.067144,1.3970988,18.404352
38.2,221500,Adams-Normandie,"(34.034856, -118.3046185)",21.830509,1.3594615,26.524149
36.5,221601,Adams-Normandie,"(34.034833, -118.2959055)",23.106476,1.6850054,21.251348
22.6,221810,Adams-Normandie,"(34.0305765, -118.292359)",10.400867,1.3019068,27.966103
29,222100,Adams-Normandie,"(34.027317, -118.3024105)",15.561498,1.6749769,16.528162
29.7,222200,Adams-Normandie,"(34.0309165, -118.302424)",17.491749,1.3652849,18.480139
29.2,800324,"Agoura Hills","(34.150914, -118.780558)",0.50041699,2.1219993,3.2664306
27.5,800327,"Agoura Hills","(34.1554385, -118.744946)",0.7177937,1.8869104,8.3253126
30.2,800332,"Agoura Hills","(34.1610355, -118.7705735)",0.37058154,2.3950777,0.47495681
29.5,800324,"Agoura Hills","(34.150914, -118.780558)",0.83693302,2.2026522,1.8648984
26.4,800327,"Agoura Hills","(34.1554385, -118.744946)",0.74074072,1.810095,10.194902
31.3,800332,"Agoura Hills","(34.1610355, -118.7705735)",0.42153049,2.3780432,0.50528252
45.3,910813,"Agua Dulce","(34.5149, -118.3077005)",1.5633724,2.8476703,1.2544802
29.3,480302,Alhambra,"(34.101241, -118.1218435)",3.8428326,1.6903585,10.754017
29.9,480303,Alhambra,"(34.095151, -118.1377285)",2.6155717,1.6466113,3.3195021
28.5,480304,Alhambra,"(34.0960955, -118.1307685)",6.1124697,1.4837323,16.758747
28.8,480400,Alhambra,"(34.104914, -118.1317765)",2.7124774,1.7187215,8.8127851
30.7,480802,Alhambra,"(34.0815825, -118.152446)",7.9346557,1.974456,3.5950804
30.2,480803,Alhambra,"(34.09079, -118.152819)",5.2596536,1.7626841,10.229133
26.8,480804,Alhambra,"(34.0951305, -118.149912)",8.2187185,1.8334221,4.7897816
29.4,480901,Alhambra,"(34.086204, -118.139781)",4.757328,1.6912794,7.0655632
30.4,480902,Alhambra,"(34.0810405, -118.140708)",5.8857141,1.5282738,10.193453
27.4,480903,Alhambra,"(34.0737895, -118.139436)",9.0383224,1.6575342,10.469667
27.6,481001,Alhambra,"(34.0872925, -118.1288355)",6.5573769,1.5839814,12.130637
29.5,481002,Alhambra,"(34.0955445, -118.1197875)",5.970149,1.5799389,10.743381
30,481500,Alhambra,"(34.0826165, -118.1139805)",3.7786057,1.8730469,11.783854
30.6,481603,Alhambra,"(34.084677, -118.11998)",4.2083116,1.8758065,3.7096775
27,481604,Alhambra,"(34.0838015, -118.126219)",1.8404908,1.766265,5.7028112
30.3,481605,Alhambra,"(34.071948, -118.1256005)",21.482683,1.6764995,11.406096
26.9,481606,Alhambra,"(34.0766865, -118.1256875)",5.2427182,1.7647059,3.3248081
30.5,481800,Alhambra,"(34.064906, -118.141417)",5.2028217,2.0902777,3.4722223
29.7,481901,Alhambra,"(34.0698145, -118.1548085)",3.8067949,1.8790072,6.6701136
30,481902,Alhambra,"(34.065728, -118.152909)",2.8675704,2.0195577,9.9489794
31.6,480302,Alhambra,"(34.101241, -118.1218435)",2.8822668,1.6412777,12.285012
32.9,480303,Alhambra,"(34.095151, -118.1377285)",5.578301,1.784138,0.68965518
29.2,480304,Alhambra,"(34.0960955, -118.1307685)",6.0458312,1.4787953,15.488629
25.2,480400,Alhambra,"(34.104914, -118.1317765)",2.5828969,1.7767221,7.4584322
25.9,480802,Alhambra,"(34.0815825, -118.152446)",5.9119496,2.0339477,6.1105723
30.5,480803,Alhambra,"(34.09079, -118.152819)",6.8015738,1.9247751,7.7677841
26.5,480804,Alhambra,"(34.0951305, -118.149912)",6.3675356,1.827239,7.472178
28.7,480901,Alhambra,"(34.086204, -118.139781)",4.5058141,1.6896552,5.2362709
28.7,480902,Alhambra,"(34.0810405, -118.140708)",5.3426247,1.6652572,10.782241
29.8,480903,Alhambra,"(34.0737895, -118.139436)",7.8869047,1.6565657,10.10101
28.4,481001,Alhambra,"(34.0872925, -118.1288355)",5.0498338,1.5188977,9.6850395
28.8,481002,Alhambra,"(34.0955445, -118.1197875)",5.9386973,1.6096952,10.444777
31,481500,Alhambra,"(34.0826165, -118.1139805)",4.8474946,1.95,10.133333
30.9,481603,Alhambra,"(34.084677, -118.11998)",4.3501902,1.7015748,9.0551186
27.7,481604,Alhambra,"(34.0838015, -118.126219)",2.0618556,1.8395849,2.952913
31.7,481605,Alhambra,"(34.071948, -118.1256005)",17.725014,1.6341929,9.5510988
26.6,481606,Alhambra,"(34.0766865, -118.1256875)",3.5920177,1.75,6.800518
29,481800,Alhambra,"(34.064906, -118.141417)",4.0888891,2.0198457,6.5049615
28.3,481901,Alhambra,"(34.0698145, -118.1548085)",3.8095238,1.9055036,6.9574246
31.7,481902,Alhambra,"(34.065728, -118.152909)",5.5161114,1.9542373,11.355932
23.2,603702,"Alondra Park","(33.885925, -118.335435)",1.5768726,2.1293001,6.642942
22.3,603702,"Alondra Park","(33.885925, -118.335435)",1.494396,2.1097779,6.3587284
30.8,460100,Altadena,"(34.1912975, -118.1110615)",8.6668873,2.103097,1.385493
29.4,460200,Altadena,"(34.2009205, -118.136652)",3.2474055,2.0382998,0
30.6,460301,Altadena,"(34.2073225, -118.1562895)",1.9775107,2.3057616,1.9395323
25.2,460302,Altadena,"(34.1949925, -118.157667)",4.5021644,2.2290504,3.7709496
25.1,461000,Altadena,"(34.187722, -118.1609895)",3.0269058,1.9901221,9.2388144
29.8,461100,Altadena,"(34.1845865, -118.141115)",11.135564,1.849349,8.5554867
25.2,461200,Altadena,"(34.1801065, -118.113418)",1.7414018,2.1298702,0
23.2,461300,Altadena,"(34.1738235, -118.113483)",3.2223027,1.790037,6.3400578
31.7,460100,Altadena,"(34.1912975, -118.1110615)",9.2948713,2.1067097,0.56588519
25.9,460200,Altadena,"(34.2009205, -118.136652)",2.3463318,2.0269518,0.69702601
31.5,460301,Altadena,"(34.2073225, -118.1562895)",1.6687016,2.2287507,1.5402168
24.7,460302,Altadena,"(34.1949925, -118.157667)",6.3172045,2.2557142,2.9285715
25.1,461000,Altadena,"(34.187722, -118.1609895)",3.3451397,1.9976429,8.7802
32.2,461100,Altadena,"(34.1845865, -118.141115)",12.207435,1.834293,11.260397
24.4,461200,Altadena,"(34.1801065, -118.113418)",3.1929047,2.0889409,3.2182562
23.7,461300,Altadena,"(34.1738235, -118.113483)",1.7820425,1.7518947,7.0602312
38.8,930101,"Angeles Crest","(34.2419535, -118.119012)",0,2.0625,0
29.9,930301,"Angeles Crest","(34.2947535, -117.913563)",0,2.3986487,0
27.8,430400,Arcadia,"(34.1624785, -118.0241555)",1.4601978,2.3458333,1.6666666
28.6,430701,Arcadia,"(34.13986, -118.0557935)",1.0856453,2.1054544,0.51948053
30.8,430721,Arcadia,"(34.137955, -118.0428805)",1.0966415,1.8462178,3.1587698
30.2,430723,Arcadia,"(34.1299445, -118.058709)",2.1233568,1.5371803,7.9714456
24.1,430724,Arcadia,"(34.126758, -118.058631)",3.0796304,1.6539059,2.4314537
27.7,430801,Arcadia,"(34.1375775, -118.0259295)",3.2576768,1.9860737,5.121294
32.8,430802,Arcadia,"(34.126444, -118.020276)",3.7234042,2.2030022,3.5025017
29.9,430803,Arcadia,"(34.114675, -118.020923)",5.6160207,2.318341,1.8107476
29.3,431502,Arcadia,"(34.1022305, -118.0190775)",5.1953282,2.1235294,3.2026143
25.9,431600,Arcadia,"(34.109675, -118.04223)",3.1149302,2.0564837,7.9554496
28.4,431700,Arcadia,"(34.121786, -118.0430065)",5.3370786,2.0751879,5.764411
28.1,430400,Arcadia,"(34.1624785, -118.0241555)",1.2173129,2.4165554,1.5353805
