State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
01,00100,0100100,G01000100,01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1,1,"142,950","182,236","142,950",100.00,78.44,"147,137","186,695","147,137",100.00,78.81,"3,264,203,919","5,400,949,424","3,264,203,919",100.00,60.44
01,00200,0100200,G01000200,01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),2,2,"157,952","132,446","4,688",2.97,3.54,"174,305","171,821","8,116",4.66,4.72,"399,146,403","2,678,716,918","84,572,846",21.19,3.16
01,00200,0100200,G01000200,01,00301,0100301,G01000301,Alabama,Huntsville (North) & Madison (East) Cities,2,2,"157,952","93,763","49,709",31.47,53.02,"174,305","118,924","55,076",31.60,46.31,"399,146,403","236,143,137","109,473,262",27.43,46.36
01,00200,0100200,G01000200,01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),2,2,"157,952","98,973","98,782",62.54,99.81,"174,305","101,522","100,748",57.80,99.24,"399,146,403","161,227,758","154,106,313",38.61,95.58
01,00200,0100200,G01000200,01,00500,0100500,G01000500,Alabama,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),2,2,"157,952","99,425","4,773",3.02,4.80,"174,305","118,345","10,365",5.95,8.76,"399,146,403","1,914,247,741","50,993,983",12.78,2.66
01,00300,0100300,G01000300,01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),2,2,"184,424","132,446","127,758",69.27,96.46,"243,288","171,821","163,705",67.29,95.28,"3,125,666,394","2,678,716,918","2,594,144,072",82.99,96.84
01,00300,0100300,G01000300,01,00301,0100301,G01000301,Alabama,Huntsville (North) & Madison (East) Cities,2,2,"184,424","93,763","44,054",23.89,46.98,"243,288","118,924","63,848",26.24,53.69,"3,125,666,394","236,143,137","126,669,875",4.05,53.64
01,00300,0100300,G01000300,01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),2,2,"184,424","98,973",191,0.10,0.19,"243,288","101,522",774,0.32,0.76,"3,125,666,394","161,227,758","7,121,445",0.23,4.42
01,00300,0100300,G01000300,01,00500,0100500,G01000500,Alabama,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),2,2,"184,424","99,425","12,421",6.74,12.49,"243,288","118,345","14,961",6.15,12.64,"3,125,666,394","1,914,247,741","397,731,001",12.72,20.78
01,00400,0100400,G01000400,01,00400,0100400,G01000400,Alabama,DeKalb & Jackson Counties,3,3,"118,378","118,378","118,378",100.00,100.00,"124,336","124,336","124,336",100.00,100.00,"4,804,264,081","4,804,270,288","4,804,264,081",100.00,100.00
01,00500,0100500,G01000500,01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",2,1,"184,557","182,236",0,0.00,0.00,"197,909","186,695",0,0.00,0.00,"4,956,363,056","5,400,949,424","1,213",0.00,0.00
01,00500,0100500,G01000500,01,00500,0100500,G01000500,Alabama,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),2,2,"184,557","99,425","82,231",44.56,82.71,"197,909","118,345","93,019",47.00,78.60,"4,956,363,056","1,914,247,741","1,465,522,756",29.57,76.56
01,00500,0100500,G01000500,01,00600,0100600,G01000600,Alabama,Morgan & Lawrence Counties--Decatur City,2,4,"184,557","145,867",0,0.00,0.00,"197,909","153,829",0,0.00,0.00,"4,956,363,056","3,289,322,973","2,716",0.00,0.00
01,00500,0100500,G01000500,01,00700,0100700,G01000700,Alabama,Cullman & Winston Counties,2,2,"184,557","102,326","102,326",55.44,100.00,"197,909","104,890","104,890",53.00,100.00,"4,956,363,056","3,490,836,282","3,490,836,282",70.43,100.00
01,00500,0100500,G01000500,01,00800,0100800,G01000800,Alabama,St. Clair & Blount Counties,2,1,"184,557","115,766",0,0.00,0.00,"197,909","140,915",0,0.00,0.00,"4,956,363,056","3,306,548,909",89,0.00,0.00
01,00600,0100600,G01000600,01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",4,1,"145,867","182,236",0,0.00,0.00,"153,829","186,695",0,0.00,0.00,"3,289,371,301","5,400,949,424","51,044",0.00,0.00
01,00600,0100600,G01000600,01,00600,0100600,G01000600,Alabama,Morgan & Lawrence Counties--Decatur City,4,4,"145,867","145,867","145,867",100.00,100.00,"153,829","153,829","153,829",100.00,100.00,"3,289,371,301","3,289,322,973","3,289,320,256",100.00,100.00
01,00700,0100700,G01000700,01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1,1,"132,583","182,236","39,286",29.63,21.56,"127,811","186,695","39,558",30.95,21.19,"11,380,498,565","5,400,949,424","2,136,693,248",18.78,39.56
01,00700,0100700,G01000700,01,01400,0101400,G01001400,Alabama,"Walker, Marion (South & West), Fayette & Lamar Counties",1,1,"132,583","128,263","57,550",43.41,44.87,"127,811","121,750","54,727",42.82,44.95,"11,380,498,565","6,668,724,493","4,619,547,047",40.59,69.27
01,00700,0100700,G01000700,01,01500,0101500,G01001500,Alabama,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),1,1,"132,583","87,543","20,949",15.80,23.93,"127,811","103,773","19,746",15.45,19.03,"11,380,498,565","5,517,141,242","2,282,837,248",20.06,41.38
01,00700,0100700,G01000700,01,01700,0101700,G01001700,Alabama,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",1,1,"132,583","143,548","14,798",11.16,10.31,"127,811","136,921","13,763",10.77,10.05,"11,380,498,565","14,225,240,895","2,341,057,540",20.57,16.46
