YEAR,HHWT,MET2013,PUMA,OWNERSHPD,MORTAMT1,RENT,PERNUM,PERWT,SEX,AGE,MARST,RACE,HISPAN,EDUC,EMPSTAT,OCC2010,IND,INCTOT,FTOTINC,POVERTY,MIGMET1,MIGPLAC1,MIGPUMA1
2006,53,12220,1700,22,0,470,1,55,2,21,6,3,0,7,1,4720,4970,5000,5000,48,4482.0,,
2006,82,13820,904,22,0,650,2,75,1,16,6,2,0,2,2,9920,9920,6900,9890,61,4480.0,,
2006,92,19460,600,13,490,0,2,38,1,35,1,7,1,3,3,4220,7690,8600,25600,127,4482.0,,
2006,92,19460,600,13,490,0,3,124,1,6,6,7,1,1,0,9920,0,9999999,25600,127,4482.0,,
2006,92,19460,600,13,490,0,4,125,1,3,6,7,1,0,0,9920,0,9999999,25600,127,4482.0,,
2006,80,13820,1300,13,610,0,3,57,1,73,6,1,0,6,3,800,9160,85600,145300,501,4480.0,,
2006,68,12220,1700,13,390,0,1,66,1,51,1,6,0,7,1,4500,8970,18000,95400,501,4482.0,,
2006,68,12220,1700,13,390,0,2,34,2,44,1,6,0,10,1,430,7460,55000,95400,501,4482.0,,
2006,104,13820,903,22,0,700,1,104,1,49,3,3,0,0,1,4620,8590,36400,36400,358,4480.0,,
2006,69,13820,800,0,0,0,1,69,1,48,6,2,0,7,3,4900,8560,7200,9999999,0,4480.0,,
2006,365,11500,1200,13,730,0,1,356,2,48,4,2,0,11,2,1820,7860,14600,16200,101,4480.0,,
2006,365,11500,1200,13,730,0,2,679,1,20,6,2,0,6,2,5620,5380,1600,16200,101,4480.0,,
2006,365,11500,1200,13,730,0,3,285,2,17,6,2,0,4,3,9920,0,0,16200,101,4480.0,,
2006,247,33860,2000,22,0,250,1,250,1,48,6,2,0,10,1,220,4870,38000,38000,363,4480.0,,
2006,63,19300,2400,12,0,0,1,63,1,68,4,1,0,6,3,9130,6170,35300,35300,373,4482.0,,
2006,78,33860,1900,22,0,730,1,75,2,76,4,1,0,11,3,9920,0,7800,7800,83,4482.0,,
2006,89,26620,200,22,0,650,1,90,1,29,1,1,0,6,1,9620,6680,39000,46400,294,4480.0,,
2006,89,26620,200,22,0,650,3,80,2,4,6,1,0,0,0,9920,0,9999999,46400,294,4480.0,,
2006,75,38060,106,13,900,0,3,123,2,28,6,7,1,6,3,4720,6290,7320,145860,501,4480.0,,
2006,55,39140,500,22,0,970,1,55,1,51,6,1,0,11,1,1360,670,74020,74020,501,4482.0,,
2006,193,38060,119,13,1300,0,1,193,1,49,4,7,1,6,1,530,9370,30000,30000,294,4480.0,,
2006,88,29420,600,13,850,0,2,112,2,50,4,1,0,6,1,4600,8470,12650,12650,123,4480.0,,
2006,88,29420,600,13,850,0,4,101,2,17,6,1,0,5,1,5400,8470,150,150,1,4480.0,,
2006,286,38060,103,22,0,480,1,287,1,29,6,1,1,6,3,7240,8880,12000,12000,116,4480.0,,
2006,56,38060,115,13,1100,0,4,66,1,10,6,7,1,1,0,9920,0,9999999,123100,457,4480.0,,
2006,79,29420,600,22,0,880,1,76,1,33,4,1,4,6,1,9130,770,35000,65000,411,4480.0,,
2006,141,38060,800,13,1400,0,1,144,1,28,1,1,0,10,1,940,7280,33000,63000,479,4482.0,,
2006,141,38060,800,13,1400,0,2,123,2,25,1,1,0,8,1,730,7270,30000,63000,479,4482.0,,
2006,146,38060,116,0,0,0,1,146,2,18,6,1,0,6,3,5620,5170,40,9999999,0,4480.0,,
