State_FIPS,State_Name,CPUMA0010,PUMA,GEOID,GISJOIN,PUMA_Name
01,Alabama,1,00100,0100100,G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties"
01,Alabama,1,00800,0100800,G01000800,St. Clair & Blount Counties
01,Alabama,1,01400,0101400,G01001400,"Walker, Marion (South & West), Fayette & Lamar Counties"
01,Alabama,1,01500,0101500,G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)
01,Alabama,1,01600,0101600,G01001600,Tuscaloosa & Northport (Southeast) Cities
01,Alabama,1,01700,0101700,G01001700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties"
01,Alabama,2,00200,0100200,G01000200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)
01,Alabama,2,00301,0100301,G01000301,Huntsville (North) & Madison (East) Cities
01,Alabama,2,00302,0100302,G01000302,Huntsville City (Central & South)
01,Alabama,2,00500,0100500,G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)
01,Alabama,2,00700,0100700,G01000700,Cullman & Winston Counties
01,Alabama,3,00400,0100400,G01000400,DeKalb & Jackson Counties
01,Alabama,4,00600,0100600,G01000600,Morgan & Lawrence Counties--Decatur City
01,Alabama,5,00900,0100900,G01000900,Etowah County
01,Alabama,6,01000,0101000,G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties"
01,Alabama,7,01100,0101100,G01001100,Calhoun County
01,Alabama,8,01200,0101200,G01001200,Shelby County
01,Alabama,9,01301,0101301,G01001301,Birmingham City (West)
01,Alabama,10,01302,0101302,G01001302,Birmingham City (East)
01,Alabama,10,01304,0101304,G01001304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities"
01,Alabama,11,01303,0101303,G01001303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities"
01,Alabama,12,01305,0101305,G01001305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities"
01,Alabama,13,01800,0101800,G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties"
01,Alabama,14,01900,0101900,G01001900,Lee County--Auburn City
01,Alabama,15,02000,0102000,G01002000,Montgomery City & Pike Road Town (North)
01,Alabama,15,02100,0102100,G01002100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties"
01,Alabama,15,02200,0102200,G01002200,Southwest Alabama
01,Alabama,16,02300,0102300,G01002300,"Coffee, Covington, Butler & Crenshaw Counties"
01,Alabama,16,02400,0102400,G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties"
01,Alabama,16,02500,0102500,G01002500,"Houston, Dale, Geneva & Henry Counties--Dothan City"
01,Alabama,17,02600,0102600,G01002600,Baldwin County
01,Alabama,18,02701,0102701,G01002701,Mobile City (East)
01,Alabama,18,02702,0102702,G01002702,Mobile City (West)
01,Alabama,18,02703,0102703,G01002703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City"
02,Alaska,19,00101,0200101,G02000101,Anchorage Municipality (North)
02,Alaska,20,00102,0200102,G02000102,Anchorage Municipality (South)
02,Alaska,21,00200,0200200,G02000200,Matanuska-Susitna & Kenai Peninsula Boroughs
02,Alaska,22,00300,0200300,G02000300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska"
02,Alaska,22,00400,0200400,G02000400,Subsistence Alaska
04,Arizona,23,00100,0400100,G04000100,Maricopa County--Gilbert (South) & Queen Creek Towns
04,Arizona,23,00105,0400105,G04000105,Maricopa County--Gilbert Town (North)
04,Arizona,23,00106,0400106,G04000106,Maricopa County--Chandler City (Northeast)
04,Arizona,23,00107,0400107,G04000107,Maricopa County--Chandler City (South)
04,Arizona,23,00108,0400108,G04000108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities
04,Arizona,23,00109,0400109,G04000109,Maricopa County--Tempe City (North)
04,Arizona,24,00101,0400101,G04000101,Maricopa County--Mesa City (East)
04,Arizona,24,00102,0400102,G04000102,Maricopa County--Mesa City (North Central)
04,Arizona,24,00103,0400103,G04000103,Maricopa County--Mesa City (West)
04,Arizona,24,00104,0400104,G04000104,Maricopa County--Mesa City (South Central)
04,Arizona,25,00110,0400110,G04000110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town
04,Arizona,25,00111,0400111,G04000111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town
04,Arizona,25,00112,0400112,G04000112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek"
04,Arizona,25,00113,0400113,G04000113,Phoenix City (Northeast)
04,Arizona,25,00114,0400114,G04000114,Phoenix City (Northeast Central)
04,Arizona,25,00115,0400115,G04000115,Phoenix City (Northwest Central)
04,Arizona,25,00116,0400116,G04000116,Phoenix City (Uptown)
04,Arizona,25,00117,0400117,G04000117,Phoenix City (East)
04,Arizona,25,00118,0400118,G04000118,Phoenix City--Downtown & Sky Harbor International Airport
04,Arizona,25,00119,0400119,G04000119,Phoenix City (South)
04,Arizona,25,00120,0400120,G04000120,Phoenix City--Ahwatukee & South Mountain
04,Arizona,25,00121,0400121,G04000121,Phoenix (Southwest) & Tolleson Cities
04,Arizona,25,00122,0400122,G04000122,Phoenix City--Maryvale (East)
04,Arizona,25,00123,0400123,G04000123,Phoenix City--Maryvale (West)
04,Arizona,25,00124,0400124,G04000124,Maricopa County--Glendale City (South)
04,Arizona,25,00125,0400125,G04000125,Phoenix City (West)
04,Arizona,25,00126,0400126,G04000126,Maricopa County--Glendale City (North)
04,Arizona,25,00127,0400127,G04000127,Maricopa County--Peoria City (South & Central)
04,Arizona,25,00128,0400128,G04000128,Phoenix City (North)
04,Arizona,25,00129,0400129,G04000129,Phoenix (Far North) & Peoria (Northwest) Cities
04,Arizona,25,00130,0400130,G04000130,Maricopa County--El Mirage City & Sun City
04,Arizona,25,00131,0400131,G04000131,Maricopa County--Surprise City (Central)
04,Arizona,25,00132,0400132,G04000132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities"
04,Arizona,25,00133,0400133,G04000133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities
04,Arizona,25,00134,0400134,G04000134,Maricopa County (West) & Gila River Indian Community (Northwest)
04,Arizona,26,00201,0400201,G04000201,Pima County (West)
04,Arizona,26,00202,0400202,G04000202,Tucson (West) & Marana Cities
04,Arizona,26,00203,0400203,G04000203,Pima County (North Central)--Oro Valley Town
04,Arizona,26,00205,0400205,G04000205,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town
04,Arizona,26,00206,0400206,G04000206,Tucson City (Northeast)
04,Arizona,26,00207,0400207,G04000207,Tucson City (Northwest)
04,Arizona,26,00208,0400208,G04000208,Tucson City (South)
04,Arizona,26,00209,0400209,G04000209,Tucson City (Southeast)
04,Arizona,27,00204,0400204,G04000204,Pima County (Northeast)
04,Arizona,28,00300,0400300,G04000300,Navajo & Apache Counties
04,Arizona,29,00400,0400400,G04000400,Coconino County--Flagstaff City
04,Arizona,30,00500,0400500,G04000500,Yavapai County
04,Arizona,31,00600,0400600,G04000600,Mohave & La Paz Counties--Lake Havasu City
04,Arizona,32,00700,0400700,G04000700,Yuma County--Yuma City
04,Arizona,33,00800,0400800,G04000800,"Gila, Graham, Greenlee & Pinal (East) Counties"
