PLUMBNG 026	Plumbing Layout And Estimating I	This course covers fundamentals of blueprint reading for residential plumbing with an introduction to piping layout and design and basic estimating procedures. An overview of piping and fitting nomenclature, measurements, and related calculations,as well as techniques in sketching, along with orthographic, and isometric drawing creation are included.
PLUMBNG 031	Backflow Prevention Devices	This course is designed to prepare student for Backflow Prevention Assembly Tester Certification. Instruction is given in fundamentals of cross-connection control including State, County, Health Department, and Municipal codes. Water Purveyor rules and regulations are reviewed in this course. Emphasis is given to laboratory work in installing, operating, testing, troubleshooting, and maintaining Pressure, Spill Resistant Pressure, and Two Check Type Pressure, Vacuum Breakers as well as Double Check Valve , Double Check Valve-Detector, Reduced Pressure Principle, and Reduced Pressure Principle-Detector Backflow prevention Assemblies.
PLUMBNG 033	Plumbing Code III	This course presents in-depth coverage of plumbing standards, including acceptable installation practices and acceptable materials. All standards are based on the current IAPMO uniform plumbing code.
PLUMBNG 111	Introduction To Plumbing	This course surveys the history of the Plumbing Industry; Highlights occupational information, Evokes job ethics and instructs on career information; The course also covers occupational health and safety hazards,provides an overview of Plumbing systems, and introduces the tools of the trade.
PLUMBNG 112	Fundamentals Of Plumbing	This course studies fundamentals of plumbing calculations and elementary drawings for beginners. Topics include pipe sizes and calculations, flow in pipe, friction design application, Instruction is given in the principles and design of water supply , fuel gas distribution, and D.W.V. (Drain,Waste and Vent).
PLUMBNG 113	Basic Plumbing Principles And Practices	This course introduces the fundamentals of plumbing principals and practices. Topics include installation basics,repair techniques,and nomenclature of pipes, fittings, and fixtures. Instruction is given on elementary drawings, plan reading, general specifications, and trade calculations as related to construction documents.
PLUMBNG 121	Working Drawings And Layout I	This course offers instruction in basic blueprints, estimating and drafting related to the plumbing industry; proper methods and procedures of plan interpretation and application. This course also offers exposure to the plumbing code, manufacturer's data sheets, and plumbing specifications.
PLUMBNG 122	Plumbing Mathematics And Procedures II	This course offers instructions in measuring, material purchases and return procedures, capacity loading, pressure calculations and gas conversions related to the plumbing industry, with emphasis on formulas calculations peculiar to the industry.
PLUMBNG 123	Plumbing Practices And Installation	This course offers the study and practice of the proper methods and procedures used in installing plumbing fixtures and accessories. Installing, fabricating and testing fixtures applicable to residential and commercial plumbing are covered.
PLUMBNG 131	Working Drawing II	This course is a study of blueprints, plans, and drawings as related to the plumbing trade. Skills, including the interpretation of applicable code and standards. Basic principles of estimating, including materials and their quantities are reviewed.
PLUMBNG 132	Plumbing Mathematics And Procedures II	Instruction is given in layout procedures involving applied calculations concerning the plumbing trades. Instruction is also given in layout and design criteria with hands on laboratory procedures.
PLUMBNG 133	Installation And Plumbing Fixtures	This course covers fabrication, erection of piping, layout methods, process piping, blueprint installations and testing of plumbing fixtures and appliances.
PLUMBNG 141	Advance Layout And Procedures	This course covers proper methods of layout and installation procedures, fabrication, and erection of piping in commercial buildings in compliance with local and national codes.
PLUMBNG 142	Servicing Of Plumbing Fixtures And Appliances	This course covers proper methods of repairing plumbing fixtures and appliances, preparing for the repair job, and estimating the job.
PLUMBNG 143	Plumbing Code I	This course covers building codes as they relate to plumbing,with emphasis on the effective use of applicable codes and hands-on laboratory projects.
PLUMBNG 144	Special Purposes Installation	This course covers fabrication and erection of piping for the proper installation of special appliances and fixtures and special methods used in the construction of these fixtures, as well as testing procedures.
PLUMBNG 246	Principles And Practices Of Plumbing Design and Layout	Students are trained on skills such as measuring with an architect's scale, construction drawings that include piping layout, fixture layout, disability requirements, orthographic drawings and basic isometric drawings.
WELDG/E 020	Welding Laboratory - Gas & Electric	In Welding Gas and Electric 020, students refine their hands-on skills with gas cutting, welding, and basic electric arc welding processes. Additionally this course is often used in preparation for outside welding certification exams.
WELDG/E 030	Welding Laboratory - Electric I	In Welding Gas and Electric 030, students pursue additional hands-on time with the electric stick welding process. Additionally, it is often used in preparation for outside welding certification exams.
WELDG/E 040	Welding Laboratory - Electric Ii	In Welding Gas and Electric 040, students pursue additional hands-on time with the electric stick welding process. Additionally, It is often used in preparation for outside welding certification exams.
WELDG/E 050	Welding Laboratory - Electric III	In Welding Gas and Electric 050, students pursue additional hands-on time with electric Mig, Tig, and shielded metal ARC welding processes. Additionally, It is often used in preparation for outside welding certification exams.
WELDG/E 100	Metal Sculpture I	Expand beginning welding skills and metal working techniques into an exploration of metal sculpture. This course covers hot and cold working of steel. Shielded metal arc welding, oxy-fuel and plasma arc cutting, weld design and finishing techniques. Technical skills will be emphasized through hands on instruction and practice. There will be opportunity for creative expression and practical application.
WELDG/E 111	Acetylene Welding, Cutting And Brazing	Basic applications in oxy-acetylene welding, brazing and cutting in flat and vertical positions. Students will perform SMAW on light gauge steel in all positions. Safety procedures and metal welding characteristics.
