ALD HTH 021	Basic Life Support For The Healthcare Provider	This course is designed to teach CPR to healthcare providers and interested students. This course covers infant, child, and both one-rescuer and two-rescuer adult CPR. Treatment of choking the patient and heart disease prevention is also included. Successful course completion earns an American Heart Association Basic Cardiovascular Life Support for the Healthcare Provider card valid for two years.
ALD HTH 025A	QUALIFIED AUTISM SERVICE PARAPROFESSIONAL - DIDACTIC	The Qualified Autism Service Paraprofessional (QAS) is comprised of two required courses (ALD HTH 025A and 025B). These courses prepare students for entry-level positions in the field of behavioral health treatment, providing evidence-based treatment to individuals with autism spectrum disorders (ASD). Students who complete these courses successfully will have the knowledge and experience to become a QAS. This course (ALD HTH 025A) will provide students with foundational knowledge in autism spectrum disorders and applied behavior analysis. The curriculum focuses on two fundamental areas of knowledge: understanding autism and using the principles of applied behavior analysis.
ALD HTH 033	Medical Terminology	This course is designed for students interested in learning more about medical terminology and basic anatomy and applying this knowledge to a variety of allied health professions. Students will develop a comprehensive medical vocabulary applicable to all specialties of medicine through the study of Greek and Latin prefixes, suffixes and root words. Students will also develop a basic understanding of anatomy and the function of major body systems.
ALD HTH 056	Communication & Customer Service Skills In Healthcare	This course will introduce students to the workplace skills necessary to succeed in healthcare professions. The focus will be on professional behavior, communication techniques and HIPPA regulations.
ALD HTH 057	Computers In Health Occupations	This course will introduce students to the use of computers in a variety of health care settings. Students will use software systems used in pharmacies, medical offices, and hospitals.
HLTHOCC 049	Fundamentals Of Elder Care	This course will introduce students to the information about the aging process and related medical, psychological and cognitive changes that is needed to effectively care for the elderly person in a long-term care center or at home.
HLTHOCC 051	Medical Office Microcomputer Management Applications	In this course students learn the essential microcomputer management applications of the medical office. Topics include spreadsheets, accounts receivable, insurance data entry, patient demographic entry and scheduling systems.
HLTHOCC 052	Medical Office Procedures I	This introductory course reviews the role of the Medical Assistant, office operations, communication, professionalism, legal/ethical issues and basic medical office procedures.
HLTHOCC 055	Clinical Assisting Techniques I	This is the first of two courses that use lecture and training lab experiences to teach the clinical skills necessary to successfully perform the role of medical office assistant in a variety of health care settings. In addition, this course covers Occupational Safety and Health Act regulations, medical sepsis and infection control.
HLTHOCC 061	Medical Insurance	In this course students learn the different types of health insurance and billing procedures including procedure codes, international classification of diseases and clinical modifications.
HLTHOCC 062	Skill Set For The Health Care Professional	This course is an introduction of the concepts and skills that serve as a foundation for the health care professions. Topics include hygiene and safety, infection control, basic client monitoring, basic first aid, therapeutic communication and basic health documentation.
HLTHOCC 063	Basic Medical Terminology, Pathophysiology And Pharmacology	This basic medical language course will discuss common diseases and injuries and their pharmacological treatment using medical terminology in English and Spanish, when appropriate.
HLTHOCC 064	Cultural And Legal Topics For Health Care Professionals	This course provides an overview of the concepts of health and illness, cultural diversity and legal issues that affect the health care professional.
HLTHOCC 065	Fundamentals For The Health Care Professional	This course explores career options in the health care industry, healthy behavior for health care workers, work ethics, professional resumes and interviewing skills and personality traits of a health care professional. There will be an internship during which area employers will introduce students to direct and indirect patient care opportunities.
NRSCE 101	Introduction To Nursing	This course introduces the student to the Philosophy of Nursing, Nursing History, Professional Standards, Evidence-Based Practice, Legal and Ethical Issues in Nursing, Maslow's Hierarchy of Human Needs, and the Health Wellness continuum. Concurrent with the theory, the nursing student is introduced to patient-centered care with focus on spiritual-cultural diversity and basic skills in simulation lab/hospital setting.
NRSCE 102	Fundamentals Of Nursing	This entry-level nursing course integrates the components of theory, clinical and simulation that focus on evidence-based, patient-centered basic nursing care of the medical-surgical adult patient's in acute and long-term care settings. Emphasis will be placed on assessment of risk factors affecting patient's health and wellness. Students will begin to utilize the nursing process and begin to integrate Maslow's Hierarchy of Human Needs concept to assess, analyze the needs of patients to formulate and organize a plan of care. Pharmacological principles specific to basic medical/surgical patients are discussed. The course builds upon concepts introduced in NS 101 and NS 103; Professional standards, patient advocacy, spiritual-cultural diversity, legal/ethical issues, effective communication and collaboration with members of the healthcare team.
NRSCE 103	Nursing Process	This course introduces the student to the components of the nursing process: assessment, nursing diagnosis, planning, implementation and evaluation. Course concepts include Maslow's Hierarchy of Human Needs and the utilization of critical thinking to enable the student to apply the nursing process to develop a plan of care.
NRSCE 104	Nursing Communication	This course introduces the student to the elements of the communication process and how communication between the nurse, health care team and patient/family may be affected by culture, gender and developmental level. Content includes: therapeutic and non-therapeutic communication.
NRSCE 105	Nursing Pharmacology	This course introduces the student to concepts related to pharmacological therapy and its effects on the human body. Pharmacological principles of drug therapy, nursing implications and guidelines for safe medication administration are emphasized. The nursing process and patient teaching principles of medication administration are discussed.
NRSCE 106	Medical-Surgical Nursing I	This beginning level medical/surgical-nursing course integrates the components of theory, clinical and simulation that focus on evidence-based patient centered nursing care of medical-surgical adult patients with chronic illness and needs within acute care and community-based settings. Emphasis will be placed on assessment of risk factors affecting patients' health and wellness. Students will implement the nursing process and integrate Maslow's Hierarchy of Human Needs concepts to assess, analyze and prioritize the needs of the adult with chronic illness Pharmacological principles specific to chronically ill clients are discussed. The course builds upon concepts introduced in Nursing Science 101, Nursing Science 102, Nursing Science 103, Nursing Science 104 and Nursing Science 105; Professional Standards, patient advocacy, spiritual-cultural diversity, legal/ethical issues and effective communication and collaboration with members of the healthcare team are also covered.
NRSCE 107	Medical-Surgical Nursing II	This intermediate level medical/surgical-nursing course integrates the components of theory, clinical and simulation that focus on evidence-based, patient-centered nursing care of multiple adult patients with acute illness and needs within a variety of health care settings. Emphasis will be placed on assessment of risk factors affecting patients' health and wellness. Students will implement the Nursing Process and integrate Maslow's Hierarchy of Human Needs concepts to assess, analyze, prioritize, and plan the needs of the adult with acute illness to formulate, organize, implement, and evaluate a plan of nursing care. Pharmacological principles specific to acutely ill patients are discussed. This course builds upon concepts introduced in Nursing Science 106, Nursing Science 109, and Nursing Science 110; professional standards, patient advocacy, spiritual- cultural diversity, legal/ethical issues, and effective communication and collaboration with members of the health care team will be discussed.
NRSCE 108	Medical-Surgical Nursing III	This advanced level medical/surgical-nursing course integrates the components of theory, clinical and simulation that focuses on evidence-based, patient-centered nursing care of adult patients with complex illness and needs within a variety of health-care setting. Emphasis will be placed on assessment of risk factors affecting patient's health and wellness. Students will implement the nursing process and integrates Maslow's Hierarchy of Human Needs concepts to assess analyze, prioritize, plan, and evaluate and modify a plan of nursing care. Pharmacological principles specific to complex patients are discussed. The course builds upon concepts introduced in NS107 and NS 111; Professional Standards patient advocacy, spiritual -cultural diversity, legal/ethical, and effective communication and collaboration with members of the healthcare team will be discussed.
NRSCE 109	Gerontology & Community Based Nursing	This course integrates components of theory, clinical and simulation that focus on evidence-based, patient-centered nursing care of the older adult within acute care and community based settings. Emphasis will be placed on risk factors affecting older patients health and wellness. Students will implement the nursing process and integrate Maslow's Hierarchy of Human Needs concepts to assess, analyze and prioritize the needs of the older adult with normal age related changes and common age-related disorders to formulate, organize and implement a plan of nursing care. Pharmacological principles related to older adult patients are discussed. The course builds upon concepts introduced in Nursing Science 101, Nursing Science 102, Nursing Science 103, Nursing Science 104 and Nursing Science 105; Professional standards, patient advocacy, spiritual-cultural diversity, legal/ethical issues, and effective communication and collaboration with members of the health care team will be discussed.
NRSCE 110	Psychiatric-Mental  Health Nursing	This course integrates components of theory, clinical and simulation that focus on evidence-based, patient-centered nursing care of the patient with mental health needs and disorders within acute care and community based settings. Emphasis will be placed on the assessment of risk factors affecting patients health and wellness. Students will implement the nursing process and integrate Maslow's Hierarchy of Human Needs concepts to assess, analyze and prioritize the needs of the mental health patient to formulate, organize and implement a plan of nursing care. Pharmacological principles specific to patients with mental health disorders are discussed. The course builds upon concepts introduced in Nursing Science 101, Nursing Science 102, Nursing Science 103, Nursing Science 104 and Nursing Science 105; Professional standards, patient advocacy, spiritual-cultural diversity, legal/ ethical issues, and effective communication and collaboration with members of the health care team will be discussed.
NRSCE 111	Reproductive Nursing And Womens Health	This course integrates the components of theory, clinical and simulation that focus on evidence -based, patient centered nursing care of patients in the Reproductive Nursing and Women's Health illness in acute care and community-based settings. Emphasis will be placed on assessment of risk factors affecting patient/families health and wellness. Students will implement the nursing process and integrate Maslow's Hierarchy of Needs concepts to assess, analyze, prioritize and plan the needs of patients with reproductive and women's health illness to formulate, organize and implement a plan of nursing care. Pharmacological principles specific to women's health patients will be discussed. This course builds upon concepts introduced in Nursing Science 106, Nursing Science 109 and Nursing Science 110. Professional Standards, patient advocacy, spiritual-cultural, legal/ethical issues and effective communication and collaboration with members of the health care team will be discussed.
NRSCE 112	Care Of Children And Family	This course integrates components of theory,clinical and simulation that focus on evidence-based, patient- centered nursing care of children and families in acute care and community based settings. Emphasis will be placed on assessment of risk factors affecting patient's health and wellness. Students will implement the nursing process and integrate Maslow's Hierarchy of Human Needs concept to assess, analyze, prioritize, plan and evaluate needs of the care of children and families to formulate,organize, implement, evaluate and modify a plan of nursing care. Pharmacological principles specific to pediatric patients are discussed. The course builds upon concepts introduced in Nursing Science 107 and Nursing Science 111; Professional Standards, patient advocacy, spiritual-cultural diversity, legal/ethical, and effective communication and collaboration with the members of the healthcare team will be discussed.
ALD HTH 021	Basic Life Support For The Healthcare Provider	This course is designed to teach CPR to healthcare providers and interested students. This course covers infant, child, and both one-rescuer and two-rescuer adult CPR. Treatment of choking the patient and heart disease prevention is also included. Successful course completion earns an American Heart Association Basic Cardiovascular Life Support for the Healthcare Provider card valid for two years.
ALD HTH 025A	QUALIFIED AUTISM SERVICE PARAPROFESSIONAL - DIDACTIC	The Qualified Autism Service Paraprofessional (QAS) is comprised of two required courses (ALD HTH 025A and 025B). These courses prepare students for entry-level positions in the field of behavioral health treatment, providing evidence-based treatment to individuals with autism spectrum disorders (ASD). Students who complete these courses successfully will have the knowledge and experience to become a QAS. This course (ALD HTH 025A) will provide students with foundational knowledge in autism spectrum disorders and applied behavior analysis. The curriculum focuses on two fundamental areas of knowledge: understanding autism and using the principles of applied behavior analysis.
ALD HTH 033	Medical Terminology	This course is designed for students interested in learning more about medical terminology and basic anatomy and applying this knowledge to a variety of allied health professions. Students will develop a comprehensive medical vocabulary applicable to all specialties of medicine through the study of Greek and Latin prefixes, suffixes and root words. Students will also develop a basic understanding of anatomy and the function of major body systems.
ALD HTH 056	Communication & Customer Service Skills In Healthcare	This course will introduce students to the workplace skills necessary to succeed in healthcare professions. The focus will be on professional behavior, communication techniques and HIPPA regulations.
ALD HTH 057	Computers In Health Occupations	This course will introduce students to the use of computers in a variety of health care settings. Students will use software systems used in pharmacies, medical offices, and hospitals.
HEALTH 002	Health And Fitness	Students will learn methods of physical, holistic, and psychological wellness, with an emphasis on disease prevention, nutrition, sexuality, reproduction, drugs, alcohol, tobacco, aging, stress management and weight control. Individual improvements using cardiovascular and resistance training, flexibility, and body composition management are emphasized in the physical fitness segment of the course.
HEALTH 003	Cardiopulmonary Resuscitation	Students will learn the current emergency actions steps to follow in life-threatening situations (i.e. unresponsiveness, not breathing, choking, witnessed collapse and severe bleeding) using the current ECC (Emergency Cardiac Care) Guidelines for basic CPR (cardiopulmonary resuscitation) and AED (automated external defibrillator) skills for the adult, child and infant.
HEALTH 006	Nutrition For Healthful Living And Fitness Activities	Students will learn basic nutrition theories, information for healthful food purchasing, and the relationship of nutrition to disease. Class time includes participation in fitness activities including cardiovascular and resistance training, flexibility, and body composition management.
HEALTH 007	Physical Fitness And Nutrition	Students will learn physical fitness and nutritional programs to optimize the physiological, psychological, and social lifelong development of the individual. The course encourages healthy behavior that enhances the role nutrition plays in physical fitness, and overall well-being.
HEALTH 008	Women's Personal Health	Students will learn Socio-cultural influences, 7-dimensions of wellness, holistic health options, and factors that contribute to the overall well-being of women's personal and reproductive health.
HEALTH 011	Principles Of Healthful Living	Students will learn health concepts and values with the goal of promoting a high quality of life. Topics include nutrition, physical fitness, communicable diseases and other major health problems, consumer and environmental health, human sexuality and family life, mental and emotional health, tobacco, alcohol and drugs, aging, and death and dying.
HEALTH 012	Safety Education And First Aid	Students learn the theory and application of first aid care of the injured. Students will practice victim condition assessment and incorporate treatment procedures. Standard first aid, CPR, and AED certification(s) are granted upon successful completion of course requirements.
HEALTH 021	Human Sexuality	Students will learn the cultural, behavioral, biological and psychosocial aspects of human sexuality for health and wellness.
HEALTH 046	Basic Life Support CPR/AED for the Healthcare Provider	This course covers the content of the American Heart Association Basic Life Support (BLS) CPR/AED for the Healthcare Provider. It covers care of the adult, child, and infant
HEALTH 048	Men's Personal Health	Students will learn the knowledge and understandings of men's health issues. Topics include physical, emotional, psychological, and social aspects related to men's health, fitness and wellness.
HLTHOCC 049	Fundamentals Of Elder Care	This course will introduce students to the information about the aging process and related medical, psychological and cognitive changes that is needed to effectively care for the elderly person in a long-term care center or at home.
HLTHOCC 051	Medical Office Microcomputer Management Applications	In this course students learn the essential microcomputer management applications of the medical office. Topics include spreadsheets, accounts receivable, insurance data entry, patient demographic entry and scheduling systems.
HLTHOCC 052	Medical Office Procedures I	This introductory course reviews the role of the Medical Assistant, office operations, communication, professionalism, legal/ethical issues and basic medical office procedures.
HLTHOCC 055	Clinical Assisting Techniques I	This is the first of two courses that use lecture and training lab experiences to teach the clinical skills necessary to successfully perform the role of medical office assistant in a variety of health care settings. In addition, this course covers Occupational Safety and Health Act regulations, medical sepsis and infection control.
HLTHOCC 061	Medical Insurance	In this course students learn the different types of health insurance and billing procedures including procedure codes, international classification of diseases and clinical modifications.
HLTHOCC 062	Skill Set For The Health Care Professional	This course is an introduction of the concepts and skills that serve as a foundation for the health care professions. Topics include hygiene and safety, infection control, basic client monitoring, basic first aid, therapeutic communication and basic health documentation.
HLTHOCC 063	Basic Medical Terminology, Pathophysiology And Pharmacology	This basic medical language course will discuss common diseases and injuries and their pharmacological treatment using medical terminology in English and Spanish, when appropriate.
HLTHOCC 064	Cultural And Legal Topics For Health Care Professionals	This course provides an overview of the concepts of health and illness, cultural diversity and legal issues that affect the health care professional.
HLTHOCC 065	Fundamentals For The Health Care Professional	This course explores career options in the health care industry, healthy behavior for health care workers, work ethics, professional resumes and interviewing skills and personality traits of a health care professional. There will be an internship during which area employers will introduce students to direct and indirect patient care opportunities.
NRSCE 101	Introduction To Nursing	This course introduces the student to the Philosophy of Nursing, Nursing History, Professional Standards, Evidence-Based Practice, Legal and Ethical Issues in Nursing, Maslow's Hierarchy of Human Needs, and the Health Wellness continuum. Concurrent with the theory, the nursing student is introduced to patient-centered care with focus on spiritual-cultural diversity and basic skills in simulation lab/hospital setting.
NRSCE 102	Fundamentals Of Nursing	This entry-level nursing course integrates the components of theory, clinical and simulation that focus on evidence-based, patient-centered basic nursing care of the medical-surgical adult patient's in acute and long-term care settings. Emphasis will be placed on assessment of risk factors affecting patient's health and wellness. Students will begin to utilize the nursing process and begin to integrate Maslow's Hierarchy of Human Needs concept to assess, analyze the needs of patients to formulate and organize a plan of care. Pharmacological principles specific to basic medical/surgical patients are discussed. The course builds upon concepts introduced in NS 101 and NS 103; Professional standards, patient advocacy, spiritual-cultural diversity, legal/ethical issues, effective communication and collaboration with members of the healthcare team.
NRSCE 103	Nursing Process	This course introduces the student to the components of the nursing process: assessment, nursing diagnosis, planning, implementation and evaluation. Course concepts include Maslow's Hierarchy of Human Needs and the utilization of critical thinking to enable the student to apply the nursing process to develop a plan of care.
NRSCE 104	Nursing Communication	This course introduces the student to the elements of the communication process and how communication between the nurse, health care team and patient/family may be affected by culture, gender and developmental level. Content includes: therapeutic and non-therapeutic communication.
