ALD HTH 021,Basic Life Support For The Healthcare Provider,Sa 8:30AM - 1:00PM4Hr 5Min /Wk TBA,02/09/2019 - 02/14/201902/09/2019 - 02/14/2019,Los Angeles Mission College,ALD HTH,"13356 Eldridge Avenue, Sylmar, CA 91342"
ALD HTH 025A,QUALIFIED AUTISM SERVICE PARAPROFESSIONAL - DIDACTIC,We 4:00PM - 7:30PM,03/06/2019 - 06/02/2019,West Los Angeles College,ALD HTH,"9000 Overland Avenue, Culver City, CA 90230"
ALD HTH 033,Medical Terminology,Mo 5:10PM - 9:20PM2Hr 35Min /Wk TBA,02/04/2019 - 03/25/201902/04/2019 - 03/25/2019,West Los Angeles College,ALD HTH,"9000 Overland Avenue, Culver City, CA 90230"
ALD HTH 056,Communication & Customer Service Skills In Healthcare,Sa 9:00AM - 11:50AM,02/04/2019 - 03/27/2019,East Los Angeles College,ALD HTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
ALD HTH 057,Computers In Health Occupations,Sa 9:00AM - 9:50AM,04/08/2019 - 06/03/2019,East Los Angeles College,ALD HTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
ALD HTH 057,Computers In Health Occupations,Sa 10:00AM - 12:05PM,04/08/2019 - 06/03/2019,East Los Angeles College,ALD HTH,"1301 Avenida Cesar Chavez, Monterey Park, CA 91754"
HLTHOCC 049,Fundamentals Of Elder Care,MoWe 8:35AM - 11:40AM,03/11/2019 - 06/03/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 049,Fundamentals Of Elder Care,TuTh 8:35AM - 10:55AM,03/11/2019 - 06/03/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 051,Medical Office Microcomputer Management Applications,Th 5:10PM - 6:00PM,04/08/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 051,Medical Office Microcomputer Management Applications,Th 6:10PM - 9:20PM,04/08/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,MoTu 5:10PM - 8:15PM,03/26/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,MoTu 8:25PM - 10:30PM,03/26/2019 - 06/02/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,Mo 4:30PM - 8:20PM,02/19/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 052,Medical Office Procedures I,Fr 4:00PM - 6:30PM,02/19/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 055,Clinical Assisting Techniques I,Sa 8:00AM - 10:35AM,02/04/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 055,Clinical Assisting Techniques I,Sa 11:15AM - 4:05PM,02/04/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 061,Medical Insurance,We 4:30PM - 8:05PM,02/19/2019 - 06/03/2019,West Los Angeles College,HLTHOCC,"9000 Overland Avenue, Culver City, CA 90230"
HLTHOCC 062,Skill Set For The Health Care Professional,Sa 8:00AM - 9:05AM,02/04/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 062,Skill Set For The Health Care Professional,Sa 9:05AM - 12:15PM,02/04/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 062,Skill Set For The Health Care Professional,TuTh 8:00AM - 8:50AM,02/04/2019 - 03/27/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 062,Skill Set For The Health Care Professional,TuTh 9:05AM - 12:25PM,02/04/2019 - 03/27/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 062,Skill Set For The Health Care Professional,MoTuWeTh 8:00AM - 8:50AM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 062,Skill Set For The Health Care Professional,MoTuWeTh 9:00AM - 11:30AM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",Fr 8:00AM - 1:50PM,02/04/2019 - 03/27/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",Th 3:30PM - 4:30PMSa 8:00AM - 9:00AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,HLTHOCC,"1111 Figueroa Place, Wilmington, CA 90744"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",We 3:15PM - 4:15PMSa 8:00AM - 9:00AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,Los Angeles Harbor College,HLTHOCC,"1111 Figueroa Place, Wilmington, CA 90744"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",TuTh 9:00AM - 9:50AM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,HLTHOCC,"1111 Figueroa Place, Wilmington, CA 90744"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",TuTh 8:00AM - 10:05AM,04/08/2019 - 06/03/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",We 4:30PM - 6:35PM,02/04/2019 - 06/03/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 063,"Basic Medical Terminology, Pathophysiology And Pharmacology",MoTuWeTh 2:50PM - 4:25PM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 064,Cultural And Legal Topics For Health Care Professionals,Fr 1:00PM - 3:50PM,02/04/2019 - 03/27/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 064,Cultural And Legal Topics For Health Care Professionals,TuTh 12:40PM - 1:30PM,02/04/2019 - 03/27/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 064,Cultural And Legal Topics For Health Care Professionals,Fr 8:00AM - 12:15PM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
HLTHOCC 065,Fundamentals For The Health Care Professional,Sa 1:25PM - 3:55PM,02/04/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 065,Fundamentals For The Health Care Professional,Fr 8:00AM - 1:20PM,04/08/2019 - 06/03/2019,Instructional Television,HLTHOCC,Instructional Television
HLTHOCC 065,Fundamentals For The Health Care Professional,TuTh 10:20AM - 12:20PM1Hr 35Min /Wk TBA,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Mission College,HLTHOCC,"13356 Eldridge Avenue, Sylmar, CA 91342"
HLTHOCC 065,Fundamentals For The Health Care Professional,MoTuWeTh 12:30PM - 2:40PM,02/04/2019 - 03/08/2019,LA Trade-Technical College,HLTHOCC,"400 W. Washington Blvd, Los Angeles, CA 90015"
NRSCE 101,Introduction To Nursing,Mo 9:10AM - 11:30AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 102,Fundamentals Of Nursing,Mo 9:10AM - 11:15AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 103,Nursing Process,MoTh 8:00AM - 9:05AM,02/04/2019 - 03/27/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 104,Nursing Communication,MoTh 8:00AM - 8:50AM,04/08/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
NRSCE 105,Nursing Pharmacology,Th 9:15AM - 10:40AM,02/04/2019 - 06/03/2019,Instructional Television,NRSCE,"5800 Fulton Avenue, Valley Glen, CA 91401"
