,0,1,2,3
0,Error loading,Error loading,Error loading,Error loading
1,Error loading,Error loading,Error loading,Error loading
2,Error loading,Error loading,Error loading,Error loading
3,Pediatric Nurse - Travel - (Peds RN - Pedi RN),Onward HealthCare,"Madera, CA","Job Description & Requirements
Pediatric Nurse - (Peds RN - Pedi RN)
StartDate: ASAP Available Shifts: 8 D Pay Rate: $1398.00 - 1542.00

This outstanding Pediatrics unit, based in exciting Madera is looking for the right RN to join their team of compassionate and driven health care professionals.Join this highly motivated team of caregivers and enjoy a challenging and welcoming environment based on optimal patient care.

About the Facility
Founded 60 years ago by 5 civic-minded women, this state-of-the-art children’s hospital has served families in central California with a mission to provide high quality, comprehensive healthcare services to children. It is the first children’s hospital west of the Rockies to receive Magnet designation and is accredited by The Joint Commission. This not-for-profit 348-bed facility is staffed with more than 525 physicians and treats more inpatient cases than any pediatric hospital north of San Diego.

Facility Location
Located in the heart of California, Madera boasts a small-town atmosphere with the convenience of larger cities nearby. Experience the splendor and unabated wilderness of nearby Yosemite National Park or spend some time at one of the parks or golf courses found around town. Enjoy a pleasant climate year round and a great central location close to everything you need.

Job Benefits
Onward Healthcare's travel nursing assignments typically last 13 weeks, and include:
Competitive pay rates and comprehensive benefits
Medical plans with dental and vision
Complimentary, high-quality private housing
401(k) and flex spending options
Life insurance
Accident and short-term disability coverage
Free continuing education (CE) courses
Travel allowances
Guaranteed pay program
Tuition discount program
Referral bonuses


About the Company
Onward Healthcare, an AMN Healthcare company, is a travel nursing company dedicated to moving our nurses careers ""onward and upward."" Our team of expert recruiters connect clinicians with exclusive travel nursing opportunities at the nation’s top hospitals and healthcare facilities. Onward's nursing assignments are part of a larger, comprehensive RN career development and consultation service. Onward/AMN Healthcare is an EEO/AA/Disability/Protected Veteran Employer.

Pediatric licensed practical nurse, pediatric nurse, pediatric, pediatrics, pedi, pedi RN, pedi RN, peds RN, peds RN, RN, R.N., registered nurse, healthcare, health care, medical, hospital"
4,Pediatric Nurse - Travel - (Peds RN - Pedi RN),American Mobile Healthcare,"Madera, CA","Job Description & Requirements
Pediatric Nurse - (Peds RN - Pedi RN)
StartDate: ASAP Available Shifts: 8 D Pay Rate: $1398.00 - 1542.00

This outstanding Pediatrics unit, based in exciting Madera is looking for the right RN to join their team of compassionate and driven health care professionals.Join this highly motivated team of caregivers and enjoy a challenging and welcoming environment based on optimal patient care.

About the Facility
Founded 60 years ago by 5 civic-minded women, this state-of-the-art children’s hospital has served families in central California with a mission to provide high quality, comprehensive healthcare services to children. It is the first children’s hospital west of the Rockies to receive Magnet designation and is accredited by The Joint Commission. This not-for-profit 348-bed facility is staffed with more than 525 physicians and treats more inpatient cases than any pediatric hospital north of San Diego.

Facility Location
Located in the heart of California, Madera boasts a small-town atmosphere with the convenience of larger cities nearby. Experience the splendor and unabated wilderness of nearby Yosemite National Park or spend some time at one of the parks or golf courses found around town. Enjoy a pleasant climate year round and a great central location close to everything you need.

Job Benefits
At American Mobile Healthcare we take care of our travelers! We offer:
Competitive pay rates
Free, quality, private housing
Medical, Dental, Vision
401(k) and Flex Spending
Life Insurance
Accident and Short-term Disability Coverage
Free Continuing Education
Refer a friend and earn extra cash!


About the Company
Since its inception in 1985, American Mobile Healthcare has set the highest standards in professional recruitment for the travel healthcare industry. Our professional staffing team offers unparalleled customer service and industry commitment, as well as top pay and benefits. American Mobile Healthcare is an EEO/AA/Disability/Protected Veteran Employer.  We encourage minority and female applicants to apply


Pediatric licensed practical nurse, pediatric nurse, pediatric, pediatrics, pedi, pedi RN, pedi RN, peds RN, peds RN, RN, R.N., registered nurse, healthcare, health care, medical, hospital"
5,"Registered Nurse -Psychiatric Nursing in Fresno, CA",CoreMedical Group,"Fresno, CA","Job Details
Will train!
RN, Registered Nurse, Psychiatric-Nights
Near Fresno California
Seeking a highly passionate and skilled RN's!
  63 bed adult acute inpatient psychiatric unit.  Majority of patients are admitted on an involuntary basis.  All of the individuals have a diagnosis of severe and persistent mental illness.  Many have comorbid addictive or physical disorders.  Approximately 90% of the hospital population are MediCal and/or Medicare insured.  Typical disorders treated are schizophrenia, bi-polar, psychosis, major depression. The focus of the staff is to create a healing environment, and to facilitate surroundings that are conducive for healing, as well as development of individual’s strengths. The treatment team is multidisciplinary including Nurses (RN, LVN, LPT), Social Workers, Recreation Therapists, Occupational Therapists, Charge Nurse, Impact Nurse, Nurse Educator Mental Health Workers, and Case managers.
 Requirements:  CA RN license, BLS, 1 year acute care experience. Strongly prefer experience in a mental health facility. 
  400 Bed Hospital
Teaching Hospital
Level 3 Trauma 
FINANCIALLY SOUND, Clinical strong
Complete remodel and built out to 74 beds
For more information please contact:          
Nicole Richard
Sales Development Team Lead | Core Medical Group
3000 Goffs Falls Rd., Suite 101, Manchester, NH 03103
p: 800.995.2673 x1534 | f: 866.420.1055
CoreMedical Group is a nationally recognized leader in the medical recruitment and employment industry. Here are some of the FREE & CONFIDENTIAL services you will receive when searching for that next permanent position.
We will provide you with input, advice and expertise during the discovery phase in finding your new position.
We will help you customize your resume for maximum effect.
We will be your agent during the, often uncomfortable ""marketing"" phase of your search.
We will set up your interview, while providing you tips and suggestions tailored towards winning you the position.
We will provide you with streamlined communication and feedback from, sometimes hard to contact, hiring managers.
We will provide you with market input for offer consideration.
At CoreMedical Group, we will prep you for your interview, negotiate the best rate, assist in the state licensing process, provide local realty contacts, and do our best to ensure your interview/relocation experience is stress-free."
6,+LVN Licensed Vocational Nurse Full Time Nights,Vibra Healthcare,"Fresno, CA","Come grow with Vibra Healthcare, where we manage from the bedside up every day. Join a strong, knowledgeable company that values each employee as an individual. Our expanding organization wants compassionate healthcare professionals like you to help us get our patients back to better.

San Joaquin Valley Rehabilitation Hospital, part of the Vibra Healthcare system, offers both inpatient and outpatient rehabilitation services to a diverse patient population. San Joaquin Valley Rehabilitation is well-known and respected within the local health care community. If you are from this area, chances are you know someone - a former patient, family member or friend, perhaps - who has something very positive to say about San Joaquin. And our reputation is growing. In 2011, San Joaquin recertified the CARF accreditation for our stroke rehabilitation program and comprehensive integrated inpatient rehab program and was granted an additional certification for the amputee specialty program. We feature competitive salary programs and a location that is just a short drive to the mountains, the ocean, and some of the nations most spectacular scenery.

San Joaquin Valley Rehabilitation Hospital is seeking Full Time Licensed Vocational Nurses LVNs to join our team!
Responsible for clinical functions on the unit, including all aspects of patient care incorporating the nursing
process in accordance with the applicable Nurse Practice Act. The staff LPN/LVN shall ensure that the unit to
which assigned shall function in a smooth, organized, and efficient manner as directed by the Registered Nurse.
The provision of care includes direct care along with the delegation and supervision of all nursing care. Specific
components of the licensed practical/vocational nurse role include demonstrating clinical competence, managing
patient care, improving quality of care, establishing professional relationships and utilizing professional skills,
fulfilling responsibilities of the role of the hospital, and developing clinical expertise per specialty.
Qualifications:
Current, valid, and active license to practice as a Licensed Practical/Vocational Nurse in the state of
employment required.
Current BLS certification from a Vibra-approved vendor required.
IV Certification required.
Additional Qualifications/Skills:
One (1) year of clinical experience in a health care setting preferred.
Three (3) years medical/surgical experience preferred.
One (1) year of area specific experience preferred.
Ability to project a professional image.
Knowledge of regulatory standards and compliance requirements.
Strong organizational, prioritizing and analytical skills.
Ability to make independent decisions when circumstances warrant.
Working knowledge of computer and software applications used in job functions.
Freedom from illegal use of and effects of use of drugs and alcohol in the workplace.
Our recruitment team wants to get to know you. Share your passion!
Please complete our online application and submit your resume for immediate consideration.
Thank you for taking the time to consider a career opportunity with our hospital."
7,Bilingual Licensed Vocational Nurse- Fresno,MedZed,"Fresno, CA","MedZed is re-imagining the house call. Will you innovate with us? MedZed is a fast-paced organization focused on inspiring and enabling better health. We are seeking exceptional LVNs to join our team. MedZed utilizes technology to bring healthcare to complex patients in their homes. Our LVN team travels to patients’ homes to treat them in place and facilitate a connection to a remote PCP via telemedicine.
  
MedZed LVNs perform in-home care as part of a proactive, multi-disciplinary approach to manage complex and chronically ill patients. This role is ideal for a passionate clinician who wants to shape the future of healthcare delivery for complex medical/social needs.
 Specific tasks include:
Prepare patients by reviewing current medications and taking appropriate vital signs for the provider consult during visit.
Perform designated blood draws/diagnostics, prepare lab work and drop off specimens as necessary.
Administer immunization, injections, oral or IV medications as necessary.
Coordinate follow-up resources/scheduling for patients.
Communicate all significant clinical findings to clinical leadership.
 
We are looking for clinicians who have two or more years of experience in an out-patient or home setting.
Candidates must have certification from accredited school and current California LVN licensure along with an active California driver's license with good driving record and a safe, reliable vehicle.
The ideal candidate will be an excellent clinician, technology savvy, phlebotomy certified, CPR certified, with strong communication and customer service skills.
We are seeking someone who is comfortable visiting patients in their home or elsewhere, is compassionate, creative, organized, and flexible with a can-do attitude. 
Spanish language skills are highly preferred.
  "
8,Licensed Vocational Nurse - LVN - Madera,Avalon Health Care Group,"Madera, CA","Avalon Health Care is seeking a dependable, organized and dedicated Licensed Practical/Vocational Nurse to join our outstanding team!
Under the supervision of the registered nurse, advanced practice registered nurse, licensed physician or other health care provider authorized by the state; the Licensed Practical/Vocational Nurse (LPN/LVN) will participate in the development, implementation and modification of the comprehensive plan of care for facility residents.  He/She will practice within the legal boundaries for practical nursing authorized by the state for the delivery of patient care and related services.
Candidates must have a current nursing license as well as a positive attitude! Today's aging population means there's a growing demand for healthcare professionals in post-acute care, and a wave of career opportunities available at Avalon Health Care!  
We are looking for individuals who embrace a reverence for life and a heart for healing. With enthusiasm and compassion, our Avalon family works with our patients and their families as well as with our communities to celebrate life every day!
If you seek to use your mind and your heart to improve lives on a daily basis, come join our team! We offer great challenges, a rewarding career and opportunities for advancement! 


Job Requirements:
Must hold and maintain a current license to practice as a Licensed Practical/Vocational Nurse in practicing state.
Demonstrates understanding that state and Federal rules and regulations govern the practices within the facility.
Ongoing pursuit of Continuing Education Credits in clinical subjects, management, personal growth and development.
Demonstrates working knowledge of infection control principles and practices.
Proven ability to communicate effectively and positively with staff, residents and family members.
Basic computer knowledge and ability with an aptitude to learn company software.
Must be capable of maintaining regular attendance.
Must meet all local health regulation and pass post-employment physical exam if required. This requirement also includes drug screening, criminal background investigation and reference inquiry.
Recent clinical experience, education, or specialty skills specific to geriatrics.
Please contact Brenna Monsen, Healthcare Recruiter to schedule an interview today!
 Brenna Monsen
801.325.0161
brenna.monsen@avalonhealthcare.com"
9,Licensed Vocational Nurse,Blue Harbor Senior Living,"Clovis, CA","You know that feeling you get when you make someone’s day a little better? It feels great, right? Well, that feeling is available all day, every day at Blue Harbor communities. We are looking for patient people with great big hearts. Our Licensed Vocational Nurses are known for their compassion, dedication, and commitment to making a positive impact on others. If that sounds like you, we want you to join our team.
 At Blue Harbor Senior Living our mission is to celebrate the unique qualities of our Residents by providing personalized care and exceptional service in a compassionate environment.

 of the LVN include the following:
Provide all care that falls beyond the skills of the Resident Assistant or which is restricted by law to those licensed to practice nursing
Ensure proper and timely records reporting in your department
Supervise and coordinate admissions, assessments, and care plans to assure accuracy and completeness
Serve as contact individual for family members and/or responsible parties under your department
Flex work schedule including on-call, weekends, holidays, evenings, or nights as dictated by the needs of the Community
Present a professional demeanor that communicates a corporate philosophy of service, goodwill, and genuine interest in each resident’s needs
Observe residents’ ability to perform daily ADL’s and social skills, communicate potential difficulties or opportunities to the appropriate team member
When called upon, participate in care planning and other meetings, formal and informal

Education and Requirements include the following:
Minimum of two years clinical nursing practice, long term care administration or supervision
State Nursing License, LVN
CPR/First Aid Certified
 We offer a competitive compensation package including:
Medical, dental, & vision benefits
401 (k) with generous company match
Vacation, Sick & Holidays
  Based in Portland, Oregon, Blue Harbor Senior Living is a growing senior living company, currently operating communities across the United States. Blue Harbor’s home office provides top-level support services for all of our senior living communities. The Licensed Vocational Nurse position presents an outstanding opportunity to join the team of our growing and dynamic organization.
 Blue Harbor Senior Living is an Equal Opportunity Employer.

 "
10,Full-Time & Part-Time Licensed Vocational Nurse wanted at Cottonwood Court,Westmont Living,"Fresno, CA","Cottonwood Court is an Assisted Living facility located in Fresno, California that offers its employees and residents, friendliness, a homelike setting, and an inspiring environment.  We believe that purposeful lives are meaningful lives and we strive to do our best and to continuously improve.
Our mission is to provide inspiring life experiences that enable our residents and their families to lead full and enriching lives.
We offer a competitive pay and benefits package which includes the following: medical, dental vision, 401(k) with match, voluntary life insurance and an EAP program.
We also are a company dedicated to quality and built on a strong foundation of family, community, long-term commitment and entrepreneurial spirit.
We’re looking for Full-Time & Part-Time Licensed Vocational Nurses to join this amazing team of compassionate individuals!
Requirements:
Must have current, unencumbered nursing license for California.
Current first aid and CPR certification
Knowledgeable of state and federal regulations
Must be 21 years of age
Responsibilities:
Completes assessments
Provides first aid and emergency assistance
Monitors and records blood glucose readings
Administers medications per resident services plans
Why Should You Apply?
Great Benefits
Competitive Pay
Homelike setting 
Work for a company dedicated to quality and built on strong foundation of family, community, long term commitment,and entrepreneurial spirit!
Cottonwood Court is an equal opportunity employer; however, all candidates must complete a post offer employment physical, TB test, drug testing, fingerprinting/criminal background check, and reference checking to meet licensing regulations within our industry."
