,0,1,2,3
0,Skilled Nursing Facility- Physical Therapist Assistant,Prime HealthCare Staffing,"Fresno, CA","Prime HealthCare Staffing is currently seeking a travel PTA for a contract position located in Fresno CA. In a SNF setting, the therapist will treat patients with a diverse range of orthopedic and neurological diagnoses. The schedule will be Monday-Friday, 32-40 hours per week. At least one year of experience in SNF is preferred."
1,Certified Occupational Therapist Assistant / Travel / SNF,"MAS Medical Staffing, Inc.","Fresno, CA","COTA for Fresno, CA. SNF setting.
Experienced COTA treating patients with various conditions; this will provide you with a wide range of expertise and career development.
Requirements:
Associates Degree in Occupational Therapy
1 plus years of experience as a COTA preferred
Must have active COTA license
Benefits:
MAS Medical Staffing has hundreds of diverse and rewarding positions throughout the country for Allied Health Professionals. Our clients are a mix of large, prestigious healthcare organizations and small, private facilities.
MAS Medical Staffing employees enjoy industry leading compensation packages and benefits, including:
Coordinated housing paid for by MAS, or generous housing stipends
Health Insurance coverage
Travel Reimbursement
Licensure Assistance & Reimbursement
Referral Bonus Program
Loyalty Bonus Program
Recruiters on call 24/7 via Text, Email, or Phone
...Plus much more, just ask!
If you are looking for a staffing agency that has your best interest at heart and a recruiter that will work 1 on 1 with you to find the best assignment available, please reach out to us today!"
2,Error loading,Error loading,Error loading,Error loading
3,Certified Nursing Assistant,Adventist Health Physicians Network - North Glendale,"Selma, CA","Certified Nursing Assistant - 11665 
Organization
: Adventist Health Hanford 
Primary Location
: United States-California-Selma 
Position Status: Full-time regular 
Job Posting
: Sep 5, 2018, 11:09:53 PM 
Shift
: Night Shift 
 Nursing Support 
Description
: 
Adventist Health is more than an award-winning health system. We provide whole-person care to our communities and champion the greater good - from the operating room to the boardroom, we are driven by our unique passion to live God's love through health, wholeness and hope. From Oregon to Oahu, we have a calling to always do more. Now is your chance to apply your passion to our mission.
 We're looking for someone to join our team as a Certified Nursing Assistant who:
Provides personal nursing care to the patient under the direction of a licensed registered nurse (RN). Performs tasks associated with activities of daily living including self-care needs. Performs routine assigned tasks and reports patients' status and concerns to the Registered Nurse (RN).
 Essential Functions:
Performs tasks associated with activities of daily living, including assisting with nutrition and hydration, elimination, personal care, positioning devices, restraints and restorative care.
Performs tasks associated with technical skills including, pyloric, jejunostomy, gastrostomy tube feedings, warm and cold therapies and finger stick capillary blood testing.
Takes vital signs including, pulse and blood pressure.
Helps patients with their basic needs, i.e., bathing, dressing and feeding.
Performs a variety clerical duties, which include but are not limited to routing patient reports as appropriate.
Uses organizational skills to keep unit running smoothly and uses prioritization skills to meet deadlines as indicated. Provides assessment data.
other job-related duties as assigned.
  Qualifications
: 
You'll be successful with the following qualifications:
 Education: 
High School Education/GED or equivalent: Preferred
Bachelor's Degree or equivalent combination of education/related experience: Preferred
 Required Licenses/Certifications: 
Certified Nursing Assistant (CNA) certification: Required
Basic Life Support (BLS) Health Care Provider certification: Required
Phlebotomy certificate: Preferred
 "
4,"Nursing Assistant, FT80 - Surgical Unit 5M6N",Trinity Health,"Saint Agnes Medical Center - Fresno, CA","Department:
CA401_30040 5M 6N Surgical
Expected Weekly Hours: 
40
Shift:
Rotating Shift
Position Purpose:
SUMMARY

Reporting to the Practice Coordinator, 5M 6N Surgical, this position is responsible for performing patient care activities to meet the personal needs and comfort of patients, assisting members of the health care team, and maintaining a clean, safe environment.
Job Description Details:
REQUIREMENTS
1. High school diploma or equivalent is required.
2. Certification from an accredited nurse aid training program and/or two years experience in an acute or skilled care facility is required.
3. Current American Heart Association (AHA) Healthcare Provider CPR card is required.
4. Well developed interpersonal skills with the ability to communicate effectively/professionally with the medical center staff, patients, family, visitors, and physicians under routine and stressful situations are required.
Trinity Health's Commitment to Diversity and Inclusion

Trinity Health employs more than 120,000 colleagues at dozens of hospitals and hundreds of health centers in 21 states. Because we serve diverse populations, our colleagues are trained to recognize the cultural beliefs, values, traditions, language preferences, and health practices of the communities that we serve and to apply that knowledge to produce positive health outcomes. We also recognize that each of us has a different way of thinking and perceiving our world and that these differences often lead to innovative solutions.

Trinity Health's dedication to diversity includes a unified workforce (through training and education, recruitment, retention and development), commitment and accountability, communication, community partnerships, and supplier diversity."
5,Certified Nursing Assistant,Genesis Healthcare,"Fresno, CA","Genesis is one of the nation's leading providers of post-acute healthcare services from short-term to long-term care and a wide variety of living options and professional clinical services.

We are changing how care is delivered by bringing together people like you -- passionate, highly skilled and motivated to make a difference.

A Certified Nursing Assistant (CNA) puts resident service first and ensures that residents and families receive the highest quality of service in a caring and compassionate atmosphere, which recognizes the individual's needs and rights. Will work with a Licensed/Registered Nurse to directly impact the resident's quality of life through assisting with caregiving:


* Handling and serving residents in a manner conducive to their safety and comfort
* Activities of Daily Living (ADLs) and vitals
* Coordinating schedules for residents requiring rehabilitation therapy
* Receiving and escorting visitors
* Orienting and mentoring new nursing assistants
* Maintaining linens, supplies, and equipment


ACN1



SPECIFIC EDUCATIONAL/VOCATIONAL REQUIREMENTS:1. A minimum of a high school education or high school equivalency diploma is preferred for this position.2. It is mandatory that the candidate is able to read, write and understand the English language.3. Previous experience preferred but not essential4. The employee is required to attend 12 hours of inservice training per year, as per state regulations.

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
6,Certified Nursing Assistant (CNA),Covenant Care - Resource Center,"Fresno, CA"," Do you Love Serving residents and having relationships with their families?
 Do you take pride in knowing you are providing top quality care to your patients?
 Do you want to work at an organization that values treating all people with dignity and respect?
 
 Pacific Gardens Nursing and Rehabilitation Center in Fresno, CA is looking for an experienced Certified Nursing Assistant (CNA) to be part of their team.  If you answered “yes” to the questions above we want to meet with you today!  We are Families serving Families and our nurses are a valued piece of that vision.
 This position is to work on a Full-Time  basis on the Days, Evening, NOC  shift.  The hours for that shift are 7:00am - 3:00pm, 3:00pm – 11:00pm or 11:00pm – 7:00am. 
 We are a member of Covenant Care, and our “family” includes over 8,500 professionals in 7 states running 53 skilled nursing facilities, 4 residential care facilities, a therapy services company, and a home health company.  Managing risk has been critical to our success in the dynamic long-term care industry.  We have a strong commitment to providing our residents with excellent care and service in a pleasant, comfortable setting.
  POSITION SUMMARY:  The primary purpose of this position is to provide each of your assigned residents with routine daily nursing care and services in accordance with the resident's assessment and care plan, and as may be directed by your supervisors.
 KEY JOB FUNCTION:
Maintain and use current, appropriate clinical knowledge of all required nursing policies and procedures.
Provide the clinical and support services needed to meet all physical and psycho-social needs of the residents and patients.
Know and follow the law and company policy about promptly reporting accidents/incidents, injury, or suspected abuse.
Provide support and assistance with grooming, including shower as scheduled, oral care, hair care and nail care.
Provide patient and resident summary of condition at change of shift.
Proper use of techniques and equipment to ensure safe movement of patient/resident and prevent employee injury.
Notifies charge nurse/supervisor of significant changes in condition or concerns promptly including but not limited to: Resident incidents, safety concerns, skin changes, equipment malfunction, and resident health/status change.

Must possess, at a minimum High School diploma or equivalent.
Must possess a Certified Nurse Assistant (CNA) certification in accordance with State law.
Must meet the general health requirements set forth by the policies of the facility or department which may include a medical and physical examination."
7,Certified Nursing Assistant CNA,Avalon Health Care Group,"Madera, CA","Avalon Health Care in Madera is now hiring CNAs for full-time day and evening shifts!
 Use your nursing skills to serve others in our fantastic facility.
Avalon offers great pay with career growth opportunities including tuition reimbursement and career advancement courses.
Develop lasting relationships with your patients and the staff in our building. The valuable work we do makes a difference in the lives of our patients and their families.
 Apply today for a fulfilling and worthwhile career with Avalon!

Ensure residents’ comfort while assisting them in achieving their highest practicable level of functioning as follows:
Assist residents with their activities of daily living.Provide oral care and hygiene pursuant to plan of care.
Provide nail care pursuant to plan of care.
Assist residents with dressing and grooming according to their needs, wishes and desires.
Bathe residents with attention to privacy, respecting dignity and providing a safe and relaxing experience.

Must be a Certified Nursing Assistant in good standing with the State. Must maintain a current certification in the state throughout employment.
Must achieve 12 hours of in service education annually as required by federal regulations (as well as meet state requirements, if exceeds federal).
Must have ability to read, write and follow oral and written directions at a level necessary to accomplish the job.
Must be able to relate positively and favorably to residents and families and to work cooperatively with co-workers and supervisors.
Must be willing to assist others, including co-workers.
Must maintain regular attendance.
Must meet all local health regulations, pass post-employment physical exam if required. This requirement also includes drug screening, criminal background investigation and reference inquiry.
Recent clinical experience or education is required.
For additional information, please contact Brenna Monsen, Healthcare Recruiter, at 801.325.0161 today!"
8,Certified Nursing Assistant CNA - Contract and Per Diem,B2B Staffing Services,"Playa Del Rey, CA","Certified Nursing Assistant - Contract and Per Diem
Playa Del Rey, CA
Excellent local hourly pay
Traveler Tax Advantage Program
Contract Completion Bonus
Day One medical/dental/vision benefits – $25 per week out of pocket 
Weekly direct deposit
Position Details
1 - 3 month full time contract positions available now
Or work per diem (flexible scheduling / part time)
Start ASAP
Day shift
8 hour shifts
Position Requirements
California Nurse Assistant Certification (CNA)
One year of experience in skilled nursing or sub-acute or rehab environment"
9,"RN needed for CNA Skill Evaluator - PTOC - Fresno, CA",American Red Cross,"Fresno, CA","Please use Google Chrome or Mozilla Firefox when accessing Candidate Home.
By joining the American Red Cross  you will touch millions of lives every year and experience the greatness of the human spirit at its best.  Are you ready to be part of  the world's largest humanitarian network?

 Job Description:
The mission of the American Red Cross is to prevent and alleviate human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.  We help increase the preparedness of our communities by offering courses in First Aid, CPR/AED, Babysitter’s Training, Lifeguard Training, Certified Nurse Aid Training and other certification courses. American Red Cross Health and Safety instructors are an elite group of professionals who teach valuable lifesaving skills to 12 million people each year in businesses, schools and communities.
We are seeking a Part time on Call (19 hours week or less) RN needed for CNA Skills Evaluator for our Fresno, CA location. This position works 2-3 days a week, during the day, during the week to administer the state CNA/GNA assessment.
This position requires a minimum of 1 year or 2000 hours required work in a LONG TERM CARE Skilled Nursing Facility as a treatment RN. This does not include, home health, hospice, PRN or Agency work. We must be able to prove the hours for the state requirements.
Responsibilities
· Accurately evaluates nurse assistant candidate’s performance using the format prescribed by the state. Administers the State Nurse Assistant Training Competency Exam using Pearson Vue Nurse Aide Examination (NNAAP) if applicable.
· Maintains confidentiality, test security, and quality assurance according to the state testingprogram’s requirements.
· Completes and maintains confidential, accurate and complete records and reports as required by state and federal regulations, vendor contracts and the American Red Cross policies.
· Successfully manages operation of test site and maintains a cooperative working relationship with testing sites and staff to provide a comprehensive and safe testing environment for applicants.
· Responsible for efficient and effective use of all testing supplies, materials and equipment maintaining appropriate controls for loss reduction. Submits supply requisition forms as needed to maintain testing supply inventory.
· Attend grievance committee meetings biweekly and perform committee duties. (California only)
· Performs other duties as may be assigned.
The above statements are intended to describe the general nature and level of work being performed. They are not intended to be an exhaustive list of all responsibilities and duties required.
2
Qualifications
Education: Registered Nurse in the state(s) where evaluating occurs. BSN preferred.
Experience: Two years’ experience as a registered nurse with a minimum of one years’ experience working in a long term care facility.
Skills and Abilities:
· Must maintain a current active RN license without restriction or probation in the state(s) where evaluating occurs.
· Ability to represent the American Red Cross in a professional manner.
· Knowledge of federal and state requirements governing Certified Nurse Assistant training and testing.
· Professional written and oral communication skills. Strong interpersonal skills.
· Knowledge of the state or vendor requirements related to documentation and report preparation.
· Proficiency in a variety of computer software, including Microsoft Office.
· Superior organizational, planning and problem solving skills. Ability to work independently.
· Ability to travel to multiple testing site locations within a geographical area and work various hours (days, evenings and weekends).
· Bilingual (Spanish or other language) skill helpful. (California only)
· Essential Functions/Physical Requirements: For Chapter, NHQ and PHSS jobs: Depending on work assignment, may require ordinary ambulatory skills sufficient to visit other locations; or the ability to stand, walk, and manipulate (lift, carry, move) light to medium weights of up to 50 pounds. Requires good hand-eye coordination, arm, hand and finger dexterity, including ability to grasp, and visual acuity to use a keyboard, operate equipment and read technical information. Overall mobility is essential. May include sitting for long periods of time, driving a vehicle and working under challenging conditions.
Exposure levels are based on the essential functions as stated in this position description; however, in some instances, variances may occur due to the applicable nature of this position within a particular work site.  Therefore the work site may determine the exposure level to be greater than or less than the below stated level.
This position is an exposure determination 1 in view of the fact that normal work involves potential exposure to blood or blood components and/or human body fluids or tissue samples as a result of splashes, spills, and/or needlesticks or performance of or assistance in first aid.
Apply now!  Joining our team will provide you with the opportunity to make a difference every day.
The American Red Cross is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

The American Red Cross is a diverse nonprofit organization offering its employee’s professional development and growth opportunities, a competitive salary, comprehensive benefits, and a collaborative team spirit environment. To be considered for this position, please visit www.redcross.org/jobs to apply.To view the EEOC Summary of Rights, click here:  Summary of Rights "
