,0,1,2,3
0,Travel Registered Nurse RN Pediatric Intensive Care Unit PICU,OneStaff Medical,"FRESNO, CA","Date Posted:2018-12-05
Occupation Category: 29-1141.03 Critical Care Nurses
JOB DESCRIPTION
Travel Registered Nurse RN Pediatric Intensive Care Unit PICU
Location:FRESNO, California
Shift:  CRMC PICU 1 Day and 1 Night 36 gte 13 weeks BLS, PALS MUST BE WILLING TO FLOAT TO NICU
Start Date:  12/25/2018
Speciality:  RN - PICU - PEDIATRIC INTENSIVE CARE
Hiring Organization:   OneStaff Medical

Description:

We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we’re here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help.

Now back to what you’re here for; we’re looking for a Travel Registered Nurse RN Pediatric Intensive Care Unit PICU to join our family, and well, that’s you! So check this out…

A Pediatric Intensive Care Nurse provides care for children and adolescents with life-threatening or high-acuity conditions that require constant monitoring. Working in the pediatric intensive care unit (PICU), a high-tech children’s services area for critically ill, medically complex and/or post-surgical patients, pediatric intensive care nursing jobs also involve collaboration with families, physicians and other healthcare professionals or clinicians to determine the best course of patient care and recovery.
Experience Requirements:
Minimum 1 year of current work experience in Travel Registered Nurse RN Pediatric Intensive Care Unit PICU
California state Healthcare Provider license or willing to obtain
This position may require one or more of these certifications: BLS, NRP, PALS, ACLS & possibly others
Benefits:
Are you in? Do we need to further convince you why OneStaff Medical is your ideal travel partner? How about:
A dedicated expert (our recruiter) to be by your side 24/7; every step of the process, and to ensure you get exactly what you are looking for!
All the good stuff like; Medical/Dental/Vision Insurance & 401K
Dream assignments all across the country; from sunny California, down to sun-kissed Florida, we got ‘em!
Travel reimbursement as part of your weekly pay!
Licensure and certification reimbursement to our return travelers, when needed for new assignments!
Some hot-hot-hot referral bonuses! (uh hum, so travel w/ an amigo(a) and get paid $500!)

…and FREE super soft premium scrubs through our partners, FIGs scrubs, to all of our loyal return nurses!
If you have questions about details on this assignment, fill out a QUICK APPLY and one of our recruiting specialists will reach out promptly to talk you through it all.
Contract"
1,"RN Case Manager - Nights - Casual (CA, Fresno)",AseraCare,"Fresno, CA","*This is a per diem, night shift position to assist with on-call coverage.*
As a Registered Nurse Case Manager at AseraCare Hospice your commitment is not only quality care but providing heartfelt comfort and compassion to patients and their families during a time in their lives that is like no other. Not every RN is called to work with hospice patients, however, if your passion is to work with patients as they embark on this precious and sometimes challenging journey, your knowledge, support and compassion will make moments matter for each patient you care for. Our RN Case Managers focus on helping patients experience high- quality care at the end of while also facilitating the inter-disciplinary team?s approaches in addressing the patients? and their loved ones emotional and spiritual needs. What greater gift is there than helping someone approach their final days with comfort, peace and dignity?
ABOUT THE ORGANIZATION
Our mission at AseraCare Hospice is to share our passion for improving quality of life through innovative healthcare, one person, one family and one community at a time."
2,Error loading,Error loading,Error loading,Error loading
3,Travel Nurse - ICU RN - Intensive Care Unit Registered Nurse,ADEX Medical Staffing,"Fresno, CA","ADEX Travel Nursing has been employing and servicing nurse travelers, sending them to great destinations around the country. Our vast networking affords us exclusive relationships at top facilities offering you unique career opportunities. Call us for more positions, 866-341-2339!
 
Benefits:
- Hundreds of locations
- Day One Major Medical and Dental
- Top Pay
- Custom pay package                                   
- Fully furnished housing or housing stipend
- Weekly direct deposit and weekly pay
- $750 referral bonuses"
4,Error loading,Error loading,Error loading,Error loading
5,Registered Nurse (RN) (New Center),"Octapharma Plasma, Inc.","Clovis, CA","Want to be a part of something exciting? Help Octapharma Plasma open our next Donor Center! At Octapharma Plasma you can channel your passion for helping others into a medical career that is fast-paced and personally and professionally rewarding.
We are seeking a Registered Nurse (RN) to join our growing biopharmaceutical company and assist in opening our newest Donor Center. At Octapharma Plasma you can channel your passion for helping others into a medical career that is fast-paced and personally and professionally rewarding. Recent medically trained graduates as well as experienced healthcare professionals are welcome to apply. We offer exciting career advancement opportunities throughout the country!
RN Registered Nurse - Pharmaceutical - Healthcare
Job Responsibilities
As a Registered Nurse on staff you are responsible for the medical evaluation of potential donors for automated plasmapheresis procedures. You will confirm donor suitability in a timely manner, consulting with a donor center physician as needed. You will provide limited emergency care including the administration of any medications or treatments in accordance with your certification, training and standard operating procedures.
Additional responsibilities of the RN role include:
Determining donor suitability of new applicants
Conducting evaluations to ensure criteria of normal plasma donors are met
Reviews medical histories and performs physical examinations
Maintains communication logs regarding any communications with the licensed physician regarding donor suitability
Reviews all normal and abnormal test results and determines continued donor eligibility
Counsels donors with abnormal test results and defers donors accordingly
 
 
  
 
 
 
 RN Registered Nurse - Pharmaceutical - Healthcare
Qualified candidates of this nursing role must be graduates of a recognized healthcare educational program. You must be organized, team-oriented, flexible and comfortable working with a diverse range of people in a very busy medical environment.
Other requirements of the RN role include:
Licensed as a Registered Nurse
Specific State licensing must be met per location
1+ year of hospital, field care or plasma center experience, preferred
Blood bank or plasma center experience, highly preferred
Must maintain current certification in CPR
Ability to educate donors, staff, and community regarding plasma donation program
Must possess basic computer knowledge and skills (Microsoft Word and Excel preferred)
RN Registered Nurse - Pharmaceutical - Healthcare
Benefits
At Octapharma Plasma we believe in our employees who have the passion and ability to make a difference to the quality of life of their communities. The individual growth and success of each and every employee at Octapharma Plasma is an integral part of our continued growth and success. We offer competitive compensation and a comprehensive benefits package.
Other benefits of the LPN/EMT role include:
Medical, Dental and Vision Insurance
Life Insurance
401(k) contribution and matching program
Flexible Spending Accounts
Tuition Reimbursement
Team-oriented environment
Recognition programs
 
 
 
 
 
 RN Registered Nurse - Pharmaceutical - Healthcare"
6,Registered Nurse (RN),American Renal Associates,"Kerman, CA","American Renal Associates, a national provider of quality dialysis services with the highest retention rate in the industry, is accepting applications for the following position in Kerman, CA:

Registered Nurse

We are seeking a qualified Registered Nurse to provide excellent patient care on a full-time basis. Dialysis experience is preferred. Must be a graduate of an accredited school of nursing. Current CPR certification and CA state nursing license required.

Why Choose American Renal Associates:
We do not cap salaries
Annual raises above industry average
American Renal Associates recognizes your most recent dialysis experience in calculating your paid time off accrual meaning no loss of vacation time for longevity
Starting salaries for experienced staff above the industry average

We offer competitive salaries, plus excellent health, company paid life insurance, and no charge disability benefits (long term and short term) as well as a generous paid time off policy that recognizes your most recent, direct dialysis experience.


Please e-mail or fax resume to:
Edith Tabucao, Clinic Manager
E-mail: etabucao@americanrenal.com
Fax: 559-846-0024


DFWP/ EOE. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, citizenship, disability or protected veteran status.

All inquiries will be held in strict confidence.

www.americanrenal.com"
7,Error loading,Error loading,Error loading,Error loading
8,"Registered Nurse -Psychiatric Nursing in Fresno, CA",CoreMedical Group,"Fresno, CA","Job Details
Will train!
RN, Registered Nurse, Psychiatric-Nights
Near Fresno California
Seeking a highly passionate and skilled RN's!
  63 bed adult acute inpatient psychiatric unit.  Majority of patients are admitted on an involuntary basis.  All of the individuals have a diagnosis of severe and persistent mental illness.  Many have comorbid addictive or physical disorders.  Approximately 90% of the hospital population are MediCal and/or Medicare insured.  Typical disorders treated are schizophrenia, bi-polar, psychosis, major depression. The focus of the staff is to create a healing environment, and to facilitate surroundings that are conducive for healing, as well as development of individual’s strengths. The treatment team is multidisciplinary including Nurses (RN, LVN, LPT), Social Workers, Recreation Therapists, Occupational Therapists, Charge Nurse, Impact Nurse, Nurse Educator Mental Health Workers, and Case managers.
 Requirements:  CA RN license, BLS, 1 year acute care experience. Strongly prefer experience in a mental health facility. 
  400 Bed Hospital
Teaching Hospital
Level 3 Trauma 
FINANCIALLY SOUND, Clinical strong
Complete remodel and built out to 74 beds
For more information please contact:          
Nicole Richard
Sales Development Team Lead | Core Medical Group
3000 Goffs Falls Rd., Suite 101, Manchester, NH 03103
p: 800.995.2673 x1534 | f: 866.420.1055
CoreMedical Group is a nationally recognized leader in the medical recruitment and employment industry. Here are some of the FREE & CONFIDENTIAL services you will receive when searching for that next permanent position.
We will provide you with input, advice and expertise during the discovery phase in finding your new position.
We will help you customize your resume for maximum effect.
We will be your agent during the, often uncomfortable ""marketing"" phase of your search.
We will set up your interview, while providing you tips and suggestions tailored towards winning you the position.
We will provide you with streamlined communication and feedback from, sometimes hard to contact, hiring managers.
We will provide you with market input for offer consideration.
At CoreMedical Group, we will prep you for your interview, negotiate the best rate, assist in the state licensing process, provide local realty contacts, and do our best to ensure your interview/relocation experience is stress-free."
9,Nurse Director Hospice,Clinical Management Consultants,"Selma, CA","A well respected acute care hospital in Central California is looking for a Nurse Director Hospice to lead their Hospice Department. The Hospice Nurse Director will report to the hospital Chief Nursing Officer and will have the support of a Hospice Nurse Manager, Hospice Assistant Nurse Managers, and experienced hospice staff.
The Hospice Director will be in charge of the Hospice department operations, budget, quality and compliance, policies and procedures, and department growth. The Hospice RN Director will have both strong Nursing Leadership and strong hospice nursing experience in order to lead this dedicated team continue to make substantial impacts in the lives of their community members.
The Nurse Director Hospice will join an acute care Hospital that is a strong and stable hospital organization in Central California and has been recognized frequently for their excellence in overall quality and in specialty areas. This hospital has strong leaders that have been with the organization for numerous years and they encourage career growth and development for their employees.
The Hospice Director will work with an interdisciplinary team of Nursing Directors, Executive Hospital Leadership, Hospice Medical Director, Physicians, and Nurse Practitioners to achieve Hospice Department goals. The Hospice RN Director will lead this not for profit hospice program that provides services to both adult and pediatric patient populations and has been a beacon in the community for decades.
The Hospice Nurse Director will not only work for a great hospital but will live in a great community as well. With low cost of living, a strong sense of community, low commute times, and nearby hiking and outdoor activities, there are always great family friendly things to do!
This hospital will offer their Nurse Director Hospice a competitive salary, excellent full suite of benefits, and relocation assistance to the area. Apply today for this wonderful Hospice Nurse Director opportunity in charming Central California!

monsterboost9999"
