,0,1,2,3
0,Construction Manager,Randstad,"Fresno, CA","Contract position: Construction Supervisor opportunity with a client located in the Fresno, CA area. This position is for someone to assist the Project Manager in managing the installation and completion of energy saving improvements at a federal facility. Mechanical background (boiler, chiller, air handlers, plumbing) preferred. Per Diem will be considered for candidates that are eligible.
Responsibilities for the Construction Manager
•Assists PM to schedule and manage pre-construction meetings, subcontractor and owner's meetings
•Monitor quality and safety of the subcontractors on various sites, adhering to OSHA standards
•Work daily with customer and subcontractors to resolve unforeseen issues with the project
•Coordinate collection of sign off sheets as well as collect and write daily reports of project progress
•Keep projects running on schedule, coordinate with other subcontractors, order inspections, etc.
•Ensure installed work meets specifications and resolve punch list items upon project completion
•Performs other duties as deemed necessary by Project Manager
Requirements for the Construction Manager
•Approximately 3 or more years related construction experience (preferably in performance contracting)
•Experience with HVAC, electrical, power generation, steam, chilled water, hot water, control design, and/or mechanical systems
•OSHA 30 Hours Mandatory, Federal and State safety regulations experience is a plus
•Ability to read, analyze and interpret mechanical and engineering periodicals and schematics, professional journals, technical procedures, and governmental regulations
•Maturity and professionalism to effectively handle frequent exposure to senior management, as well as with external organizations, customers, and the public
Benefits
Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

Qualified applicants in San Francisco with criminal histories will be considered for employment in accordance with the San Francisco Fair Chance Ordinance.

We will consider for employment all qualified Applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance."
1,WELDERS/FABRICATORS,Denham Resources,"FRESNO, CA","Denham Resources has an excellent opportunity for several experienced welders. We are working with multiple companies throughout the Central Valley to pair your talent with these rewarding careers. Salary is based on experience.

-Read blueprints and drawings and take or read measurements to plan layout and procedures
-Determine the appropriate welding equipment or method based on requirements
-Set up components for welding according to specifications (e.g. cut material with powered saws to match measurements)
-Operate angle grinders to prepare the parts that must be welded
-Align components using calipers, rulers etc. and clamp pieces
-Weld components using manual or semi-automatic welding equipment in various positions (vertical, horizontal or overhead)
-Repair machinery and other components by welding pieces and filling gaps
-Test and inspect welded surfaces and structure to discover flaws
-Maintain equipment in a condition that does not compromise safety
Requirements:
-Proven experience as welder
-Experience using a variety of welding equipment and procedures (TIG, MMA etc.)
-Experience in using electrical or manual tools (saws, squares, calipers etc.)
-Ability to read and interpret technical documents and drawings
-Knowledge of relative safety standards and willingness to use protective clothing (face-shield, gloves etc.)
-Deftness and attention to detail
-Proficient in English
-Successful completion of a relevant apprenticeship program is required
-Professional Certification (e.g. an AWS welding certificate) will be a plus

Send your resume in MS Word format to Sheri Bashian at sheri@denham.net or call (559) 222.5284 if you have any questions. All candidates with the above listed qualifications will be considered and contacted. Compensation commensurate with qualifications.

Visit www.denham.net to see other job listings. All inquiries will be held in the strictest confidence."
2,Construction Builder,Symbia Logistics,"Fresno, CA","Description
Symbia Logistics is a fast pace, fast growing company that is searching for extremely driven Pallet Repairman to join our team. Are you the type of person that likes to be in control of how much you earn? Are you looking for a company that provides great opportunities for upward mobility and at the same time provides you competitive wages and salary? Become a Pallet Repairman for endless possibilities!
Pallet Repairman Summary:
The repairing of damaged pallets that weighs 75 to 85 lbs. using speed, accuracy, and detail that meet safety, security, productivity and quality standards.
Ability to utilize various tools, such as crow bar, hammer, jig saw, grinders, pneumatic nail gun
Perform simple math skills by adding or subtracting number of pallets repaired.
Restocks building supplies at the end of shift.
May be required to work frequent overtime, weekends, or rotating shifts.
Manually lift 75-pound pallets to inspect product to make sure they meet quality criteria.
Qualifications:
Some experience in construction and/or related field.
Ability to operate electrical power tools.
Ability to lift 75+ pounds
Benefits:
Full time Permanent Work
Vacation and Holiday Pay
Medical, Dental, Vision Available
Construction, Pallets, Pallet Repair, Framing, Carpentry, Power Tools"
3,Civil Project Engineer,"Blair, Church & Flynn","Clovis, CA","Blair, Church & Flynn Consulting Engineers is a nationally recognized, award winning, multi-discipline consulting group committed to designing safe, sustainable and economical infrastructure solutions for a diverse group of clients and markets. We have built a company culture that emphasizes teamwork and collaboration, all in a concerted effort to make clients a genuine priority. Talented People. Successful Projects. Since 1958.
 Civil Project Engineer
5+ Years Experience
Licensed Professional Engineer with Emphasis in Civil
 Responsibilities:
Develops conceptual designs to satisfy project objectives
Oversees and participates in the preparation of construction documents including specifications, plans, cost estimates and related documents
Coordinates with Project Manager to ensure scope, schedule, and budget are satisfied
Mentors and develops engineering and CAD staff
Attend meetings, job walks and observes construction activities
Performs Quality Control processes and verifies deliverables satisfy scope and technical requirements
Blair, Church & Flynn offers competitive compensation packages that include comprehensive benefits, generous 401(k), and a great environment for professionals to thrive. "
4,Commercial Roofer,D. C. Taylor Co.,"Fresno, CA","Commercial Roofer
JOB SUMMARY
A D. C. Taylor Co. Roof Technician is involved in all aspects of the roofing trade, from tear-off to repair and maintenance. Primary roofing systems installed include TPO, PVC, modified bitumen, and EPDM. A roof technician installs roof-related sheet metal including gutters and downspouts, gravel stop, drip edge, gable trim, and copings. The Roof Technician’s duties may include, but are not limited to:
Remove and install commercial roofing systems in a safe and efficient manner.
Ensure that the project is completed according to D. C. Taylor Co. policies under the direction of the Project Supervisor (Foreman).
Assure that all work is completed per code and per customer requirements
Keep the work area safe and maintained with good housekeeping practices.
Attend regular meetings to discuss the weekly schedule and stress the importance of jobsite safety.
REQUIREMENTS/QUALIFICATIONS
Roofing field experience, formal education, or a combination of these desired.
High school education or GED required.
Knowledge of OSHA safety requirements and other job-related responsibilities; OSHA 10-Hour certification a plus.
Current, valid driver’s license required.
Must be capable of the strenuous activity required to tear off, carry, and dispose of roofing material.

D. C. Taylor Co. is an equal opportunity employer.
 JB.0.00.LN"
5,BUILDING INSPECTOR,City Of Selma,"Selma, CA","BUILDING INSPECTOR 
 City of Selma. 
 Salary $3,864 - 4,697/mo. plus exclnt. benefits. Requires min. two yrs. bldg. exp. & must possess ICBO Certs. and valid CDL. Job flyer & appl. avail. at City Hall, 
 1710 Tucker St. or at www.cityofselma.com.
 (559) 891-2200. 
 Apply by 10/19/18. EOE."
6,Engineering Estimator/Electrical Designer,"Blair, Church & Flynn","Clovis, CA","Blair, Church & Flynn Consulting Engineers is a nationally recognized, award winning, multi-discipline consulting group committed to designing safe, sustainable and economical infrastructure solutions for a diverse group of clients and markets. We have built a company culture that emphasizes teamwork and collaboration, all in a concerted effort to make clients a genuine priority. Talented People. Successful Projects. Since 1958.
 Engineering Estimator/Electrical Designer
5+ Years Experience in Civil, Electrical, or Mechanical or Bachelors Degree in Electrical Engineering
Designs construction documents in AutoCAD including layout, specifications, plans, and fee schedules
Reviews construction documents to ensure standards and quality are met
Communicates with project manager, design technicians, CAD technicians, and estimators to collaborate on design
Ability to reason and problem solve through design issues
Communicate effectively and work at a fast pace accurately and efficiently
Experience with 120v, 240v
Blair, Church & Flynn offers competitive compensation packages that include comprehensive benefits, generous 401(k), and a great environment for professionals to thrive. Position pays $30-35 an hour depending on experience."
7,"AUTO CAD, STEEL CONSTRUCTION",Denham Resources,"FRESNO, CA","Auto Cad, Steel Construction, Greater Fresno Area

If you are a CAD Technician, with steel construction experience and would like to utilize engineering building design documents, produce shop drawings for manufacturing. We have a professional home for you. The Detailer ensure architectural and structural drawings are correct. This ensures successful production of the building or component. Will work in steel, cold-formed steel and on occasion reinforced concrete. You will also develop architectural / structural drawings for submittal to building jurisdictions for approval as needed.

DESCRIPTION

Key items of what you will do:
-Convert building design drawings to shop drawings for manufacturing using AutoCAD
-Revise and finalize shop drawings provided from the building design software
-Detail all structural building components, all building trims and accessory items
-Provide Shipping Lists
-Edit building design software inputs to improve efficiency of detailing
-Interact well with engineering, manufacturing, purchasing and other department teams and personnel
-Prepare and finalize building design drawings for submittal to building departments for approval
-Be primary author of effective product designs and shop drawings by leveraging their understanding of engineering and manufacturing techniques
-It would be a significant advantage if you could utilize prior experience and knowledge of pre-engineered steel buildings
-It would be a significant advantage if you could utilize prior experience in Project Management related to steel buildings
-Demonstrate strong mathematics and computer skills
Requirements:
-Graduate of a technical college or institution in engineering or related field and have a minimum of 3 years of experience
-Three years of experience in steel detailing

Send your resume in MS Word format to Steve Wilson - steve@denham.net or call (559) 222.5284 ext 104 if you have any questions. All candidates with the above listed qualifications will be considered and contacted. Compensation commensurate with qualifications.

Visit www.denham.net to see other job listings. All inquiries will be held in the strictest confidence.
 "
8,Assistant Surveyor,"Blair, Church & Flynn","Clovis, CA","Blair, Church & Flynn Consulting Engineers is a nationally recognized, award winning, multi-discipline consulting group committed to designing safe, sustainable and economical infrastructure solutions for a diverse group of clients and markets. We have built a company culture that emphasizes teamwork and collaboration, all in a concerted effort to make clients a genuine priority. Talented People. Successful Projects. Since 1958.
 Assistant Surveyor
0 to 5+ Years Experience
Land Surveyor in Training
Develops technical drawings and all elements of parcel maps, topographic maps, legal descriptions, record of surveys, boundary and ALTA maps using AutoCAD Civil 3D and/or Microstation
Perform surveying calculations, researches maps and reviews technical information
Prepares supporting documents and technical directions for field activities
Performs land surveys to measure and collect topographical, utility and boundary information using Leica Survey Instruments
Interacts with outside agencies, other consultants, contractors and client representatives for permitting, approvals and coordination
Performs Quality Control processes and verifies deliverables satisfy scope and technical requirements
Blair, Church & Flynn offers competitive compensation packages that include comprehensive benefits, generous 401(k), and a great environment for professionals to thrive."
9,Construction Project Manager,Sebastian,"Fresno, CA","Sebastian is a premier provider of communications and construction services in California s Central Valley. With more than 70 years of continuous service, Sebastian is passionate about providing people with a great place to work. Our high growth and dynamic model offers employees the opportunity for career advancement. As a family company we value the expertise and experience of our team.

The Project Manager participates in the conceptual development of a construction project and oversees its organization, scheduling, budgeting, and implementation. This position directs and supervises project leads and foremen.
The successful candidate must have a high sense of urgency, high attention to detail, and the ability to meet deadlines. This role requires a technical focus and leadership skills that encourage result-driven, task-oriented collaboration. Must be adaptable to changing conditions and priorities.
Job Requirements:
An ideal candidate must have a minimum of three years project management experience in electrical, low voltage, or underground projects.
A college degree in Construction Management or a related field is preferred.
This position is full-time and may require travel.
We are proud to offer you:
Sebastian covers the cost of health, vision, dental, long term care, and life insurance for our employees
401k match up to 4%
Paid holidays and paid time off
Annual performance-based bonus
Paid training and tuition reimbursement program
Company events to recognize outstanding performance and promote fellowship"
10,Construction Manager,Lennar,"Fresno, CA","Construction Manager - (18000780)
 CONSTRUCTION MANAGER
 POSITION SUMMARY:             
 Supervise and direct all aspects of the community from inception to move-in.  Responsible for quality control in construction. Coordinate with office and maintain accurate written records.
 ESSENTIAL DUTIES AND RESPONSIBILITIES:
 Supervise and direct all aspects of construction which includes off-sites and on-sites
Responsible for schedules and insure the workmanship of all work by inspecting and approving trade partner’s work
Responsible for safety and correcting issues as delegated within assigned communities
Insure that the work is in compliance with City or County requirements and building codes
Maintain records of all changes in the community, such as change orders and/or purchase orders
Responsible for inspections and corresponding paperwork
Approve all trade partner’s invoices with regard to work completion and quality
Maintain BuildPro scheduling, ICE report and community center status of closing dates
Coordinate with Purchasing Department regarding budgets and quality of trade partner
Coordinate with various managers/departments regarding plans and specifications
Coordinate with Customer Care Representative on quality and walk-through preparation of home sites for move-in
Responsible for the community and Inventory Homes
Insure timely home completions and deliveries based on posted COE dates
Coordinate with New Home Consultants on delivery schedule
Coordinate compliance with Conditions of Maps and Conditions of Occupancy
Participate in emergency on-call rotation as scheduled
Perform all other duties as assigned
 EDUCATION AND ADDITIONAL REQUIREMENTS:
 Six (6) years minimum experience in residential home construction
High school diploma or GED preferred, but will accept equivalent work experience
Valid driver’s license
Basic skills in Microsoft Office
High degree of construction knowledge and management skills
Good writing skills and detail oriented
Strong work ethic and integrity
Accepts constructive feedback
Team player
 PHYSICAL REQUIREMENTS:
 The ability to operate a motor vehicle, read plans, climbs stairs, climb ladders, bend, stoop, reach, lift, and move and/or carries equipment which may be in excess of 50 pounds, occasionally operate construction equipment.  Finger dexterity may be required to operate a computer keyboard and calculator.

    Primary Location: California-Fresno
Job: Construction
Organization: [LAM] Central Valley
Schedule: Full-time
Employee Status: Regular
Job Posting: May 25, 2018, 12:07:53 AM"
11,Construction Manager,Century Communities,"Fresno, CA","Primary Responsibilities:
Coordinates and supervises all construction activities.
Directs all field personnel to achieve completion of the project on schedule, within budget and with quality workmanship that conforms to original plans and specifications.
Maintains construction schedule, identifies problems and provides solutions, with great emphasis on Cycle Time adherence.
Orders materials and schedules inspections as necessary throughout the process.
Executes house starts within prescribed budgets, validating work completion prior to vendor payment. Properly negotiate best value when Variance Purchase Orders (VPOs) are required, along with obtaining authorization for reporting manager for any indirect construction expenses required to manage the job site.
Ensures compliance of development, architectural and engineering plans and specifications.
Maintains positive relationships with customers, contractors, suppliers, municipality inspectors, and employees.
Prepares, schedules, and supervises completion of final punch lists.
Promotes job site safety, encourages safe work practices and rectifies job site hazards immediately. Ensures job trailers are in compliance with company's safety standards. Ensures all company employees and contractors are adhering to the company safety policy.
Maintains a clean and organized community to include- but not limited to- homes under construction, finished inventory homes, model homes, empty lots, common areas, and construction office.
Oversees erosion control in conformance with SWPPP regulations.
Eliant Customer Satisfaction- ensure high levels of satisfaction in Home Delivery, Overall Construction, and Workmanship Material categories, along with both timely home delivery and cleanliness.
Performs other duties as assigned.
 QUALIFICATIONS:
Bachelors degree preferred, but not required. Desirable emphasis in Construction Management.
Three plus years experience in project management with production residential homebuilder or multi-family.
Experience in scheduling, ordering, field supervision, quality control and production of all phases of residential construction.
Highly proficient in Microsoft applications (Excel, Word).
Familiarity with Hyphen Solutions applications (BuildPro/SupplyPro) preferred, but not required.
 KNOWLEDGE, SKILLS, AND ABILITIES:
Ability to handle multiple projects and work in a fast paced environment while remaining calm and positive.
Ability to effectively work with managers and employees at all levels and develop positive relationships and a productive culture.
Well-developed interpersonal skills and the ability to get along with diverse personalities.
Has a ""roll-up-your-sleeves"" personality and is comfortable working “hands-on.”
Excellent written and verbal communication skills.
Ability to adapt to changing environments.
Attention to detail
Very organized with systematic approach to achieve accuracy and efficiency"
12,Construction Manager,jobid,"Fresno, CA","Contract position: Construction Supervisor opportunity with a client located in the Fresno, CA area. This position is for someone to assist the Project Manager in managing the installation and completion of energy saving improvements at a federal facility. Mechanical background (boiler, chiller, air handlers, plumbing) preferred. Per Diem will be considered for candidates that are eligible.

Responsibilities for the Construction Manager
Assists PM to schedule and manage pre-construction meetings, subcontractor and owner's meetings
Monitor quality and safety of the subcontractors on various sites, adhering to OSHA standards
Work daily with customer and subcontractors to resolve unforeseen issues with the project
Coordinate collection of sign off sheets as well as collect and write daily reports of project progress
Keep projects running on schedule, coordinate with other subcontractors, order inspections, etc.
Ensure installed work meets specifications and resolve punch list items upon project completion
Performs other duties as deemed necessary by Project Manager
Requirements for the Construction Manager

Approximately 3 or more years related construction experience (preferably in performance contracting)
Experience with HVAC, electrical, power generation, steam, chilled water, hot water, control design, and/or mechanical systems
OSHA 30 Hours Mandatory, Federal and State safety regulations experience is a plus
Ability to read, analyze and interpret mechanical and engineering periodicals and schematics, professional journals, technical procedures, and governmental regulations
Maturity and professionalism to effectively handle frequent exposure to senior management, as well as with external organizations, customers, and the public
Benefits

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

Qualified applicants in San Francisco with criminal histories will be considered for employment in accordance with the San Francisco Fair Chance Ordinance.

We will consider for employment all qualified Applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance."
