,0,1,2,3
0,Travel Licensed Practical Nurse LPN Skilled Nursing,OneStaff Medical,"LOS ANGELES, CA","Date Posted:2018-10-29
Occupation Category: 29-1141.00 Registered Nurses
JOB DESCRIPTION
Travel Licensed Practical Nurse LPN Skilled Nursing
Location:LOS ANGELES, California
Shift:  3:00 PM - 11:30 PM
Start Date:  11/17/2018
Speciality:  LPN - Skilled Nursing
Hiring Organization:   OneStaff Medical

Description:

We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we’re here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help.

Now back to what you’re here for; we’re looking for a Travel Licensed Practical Nurse LPN Skilled Nursing to join our family, and well, that’s you! So check this out…

Works with complex wound dressings, rehabilitation, tube feedings or rapidly changing health status. A number of patients may have a health status that changes quickly.
Experience Requirements:
Minimum 1 year of current work experience in Travel Licensed Practical Nurse LPN Skilled Nursing
California state Healthcare Provider license or willing to obtain
This position may require one or more of these certifications: BLS & possibly others
Benefits:
Are you in? Do we need to further convince you why OneStaff Medical is your ideal travel partner? How about:
A dedicated expert (our recruiter) to be by your side 24/7; every step of the process, and to ensure you get exactly what you are looking for!
All the good stuff like; Medical/Dental/Vision Insurance & 401K
Dream assignments all across the country; from sunny California, down to sun-kissed Florida, we got ‘em!
Travel reimbursement as part of your weekly pay!
Licensure and certification reimbursement to our return travelers, when needed for new assignments!
Some hot-hot-hot referral bonuses! (uh hum, so travel w/ an amigo(a) and get paid $500!)

…and FREE super soft premium scrubs through our partners, FIGs scrubs, to all of our loyal return nurses!
If you have questions about details on this assignment, fill out a QUICK APPLY and one of our recruiting specialists will reach out promptly to talk you through it all.
Contract"
1,LVN Regional Float,AltaMed,"Los Angeles, CA","Overview:
Under the direct care supervision of a Registered Nurse or physician, the Regional Float LVN provides nursing care within licensed scope of practice.
 As a regional float, assignment locations will vary depending on business need and may be within either Los Angeles or Orange County. Assignments will vary in length and can range from a few weeks to a few months depending on the reason for supplemental coverage.
 

Responsibilities:
Performs related patient care functions such as taking temperature, pulse, respiration & blood pressure readings; 12-lead EKG’s; applying & removing dressings; may instruct patient in various self-administered treatments or procedures; obtains specimens; assures correct culture collection.
The Regional Float LVN may administer intramuscular, subcutaneous or intradermal injections and may perform skin tests, administer oral medication, venipunctures and capillary skin punctures for blood specimens.
Assists physician with procedures and treatments and/or carries out medical provider’s orders by performing requested tests.
Ability to perform accurate quality control and patient sample testing for waived tests.
Performs medication/vaccine verification with medical assistants.
Performs Medication reconciliation.
Documents patient signs, symptoms, observations and therapeutic treatments to patient’s electronic medical record and reports finding to the medical provider.
Interviews patients and/or family, reviews patients charts and progress notes to determine prior visits to the clinic, history, status of follow-up on physician’s orders and definition of problems.
Instructs patient and/or family on follow-up care.
Follow standard infection control procedures
Provides excellent customer service at all times, to internal and externalcustomers.
Determines specific needs for each clinic and prepares area with appropriate supplies, equipment, etc.
Communicates, coordinates and consults with members of the health team while performing nursingresponsibilities.
Participates in staff meetings and ongoing clinical skills competency testing.
Provides nursing staff coverage in clinics as assigned.
Assists any and all internal or external consumers with any problems they may have in a pleasant and cooperative manner.
Does not make independent medical or healthcare decisions.
Assists with special projects as assigned.
Assist with referrals asneeded.
Responsible for assisting with the completion of all calibration of medical equipment and ensuring logs are up to date.
Responsible for maintaining current knowledge of all back office policies and procedures.
Handles client health information at a minimum necessary to document data, access, and carry out responsibilities of the position.
Participates in activities which promote own professional growth and development.
Performs other duties as assigned.
 

Qualifications:
Graduation from an Accredited LVNSchool.
Current LVN license issued by the State of California Vocational Nursing and Psychiatric Technicians.
Current CPR/First Aid training.
A minimum of 1 year Healthcare experience. Ambulatory care experience within the last 6 months, preferred.
2-3 years’ experience in Family Practice, Internal Medicine, Pediatrics, Woman’s Health and Urgent Care, Preferred.
Bilingual: (English/Spanish) preferred.
 "
2,Licensed Vocational Nurse LVN,Brookdale Senior Living Inc.,"Alhambra, CA","Full Time Licensed Vocational Nurse LVN First Shift
Brookdale Alhambra 1 E Commonwealth Alhambra, CA 91801
Job #: BSL71585

Brookdale. Bringing new life to senior living.

We're looking for a nurse (LPN or LVN) who's ready to make an impact at our senior living community. This position offers work/life balance, opportunities for advancement, and the chance to form meaningful bonds with our residents and their families. 
Forget those 12-hour shifts and the stress of a hospital setting. You'll experience life affirming moments as you ensure our residents receive the best care possible. You'll assist with writing care plans, administering medication and treatments, reviewing treatment sheets for accuracy, and supervise nursing assistants. You'll help our residents look and feel their best. 

Required skills and qualifications:
* Current vocational nursing licensure within the state of practice
* Current CPR and first aid certifications a plus 
* One year of relevant nursing experience
* Flexible schedule, including availability to work evenings, weekends and holidays as needed
* Must enjoy working with the senior population 

If you're a Brookdale associate, please consider referring someone through the Good People Program! 

Brookdale is an EOE-(Equal Opportunity Employer) and drug-free workplace. 

Benefits: Brookdale offers a number of benefits to full-time associates including, but not limited to: medical, dental, vision, disability, life, paid time off, educational reimbursement. All associates, age 21 and older, are eligible to participate in the 401(k) retirement savings plan. "
3,Licensed Vocational Nurse (LVN),ALL's WELL,"Los Angeles, CA","Job Description:
A well known non-profit Health Center organization with over 300+ employees and multiple locations in the Los Angeles County area has an immediate need for a Licensed Vocational Nurse (LVN).

? Full-time
? Salary up to: $27.00 per hour (DOE)
? (Monday - Friday: 8am - 5pm)

Primary Responsibilities:

?Assisting doctors with examinations and other nursing procedures; Collecting and labeling laboratory specimens in accordance with laws and policies.
?Maintaining complete and accurate patient records.
?Data entry thru EHR.
?Administering EKG?s, IV therapy, checks patient?s vital signs, catheterization and irrigation.
?Strictly adhering to universal precautions as established by the Center for Disease Control and Prevention, Occupational Safety and Health Administration, DHS/OA and clinic standards.
?Other duties as assigned.

Minimal Requirements:

?A Valid Licensed Vocational Nurse license issued by the State of California is required.
?Working knowledge of direct patient care methods and practices in a community clinic setting.
?LVN's are preferred to be bilingual
?CPR/BLS from AHA (in person)
?CA license (valid)

For more information regarding this great LVN Opportunity or for more details please contact Diana Moreno to discuss!
We are an equal employment opportunity employer and will consider all qualified applicants without regard to race, color, religion, sex, sexual orientation, age (40 and over), gender identity, national origin, protected veteran status, disability or any other protected classification under federal and state law. You can view all of our jobs online at http://www.allswell.net/?sc=11&id=1296704

Job Experience:
,"
4,Clinic LVN- WeHo,Los Angeles LGBT Center,"LOS ANGELES, CA","JOB SUMMARY: Nursing skills will be monitored by Director of Nursing for quality assurance under the direct supervision of the SHEP Nursing Manager and LVN Supervisor, the LVN shall:

ESSENTIAL FUNCTIONS:
1) Provide Skill nursing care to STD patients in a clinical setting at the Center WeHo and the STD Clinic if primary STD LVN is out of the office; monitor and respond to patient portal messages to provider.
2) Assist in the coordination of patient flow through the STD clinic to maximize the time of service providers; triage and triage patients to provider/nursing as appropriate, room and vital patients as needed.
3) Contact all client including those tested at offside locations and clients testing during clinic hours regarding positive STD test results, disclose results and make appointment, respond to patient’s inquiries regarding lab results by phone, email or patient portal.
4) Follow-up calls to pharmacy if electronic submission is not received, call in verbal orders, call in prescriptions needing verbal order, check fax refills request, print and take to provider to sign and fax back. Assist with prior authorization. Respond to patient questions about refills and pharmacy requests, including patients accessing prescription through PAP.
5) Update pharmacy log book, restock med cabinet, and deliver medication orders to pharmacist.
6) Before each clinic session, stock and set up exam room; monitor refrigerators, prepare equipment for procedures/treatments.
7) During STD clinic, administer medications to clients within scope of practice of the license, provide patient education regarding medications, diagnosis and prevention with specific regards to STDs, provide patient referrals, book follow-up appointments when necessary and assist provider when necessary.
8) Document medication administered, observe patients, document and reports any medications side effects.
9) Assist physicians and mid-level providers in performing specialized procedures.
10) Assist in lab as needed, oversee PrEP Medical Assistant and duties performed.
11) Administer vaccines. Complete necessary documentation regarding vaccinations.
12) Collaborate with staff on literature and other written information.
13) Attend offside testing efforts at festivals and health fairs.
14) Participate in staff meetings, agency meetings, planning meetings and other meetings as needed;
15) Other duties as assigned;

JOB QUALIFICATIONS AND EXPERIENCE:
1) Knowledge of or experience working with the LGBTQ community and familiarity with issues of particular relevance to LGBTQ people;
2) A passion for the Center’s work and its mission to make the world a better place for LGBTQ people;
3) Requires current California LVN License;
4) Current AHA CPR certification;
5) STI and HIV/AIDS healthcare and treatment/adherence experience preferred;
6) Basic knowledge of infectious diseases and state/federal reporting requirements;
7) Ability to handle multiple tasks, is detail oriented and maintains strict confidentiality of medical information;
8) Excellent verbal and written communication skills, including strong organizational, detail and interpersonal skills;
9) Computer skills and knowledge including word processing, database operations, spreadsheets, and other software systems;
10) Bilingual (English/Spanish) skills, a plus;
11) Demonstrated ability to work effectively with people of diverse races, ethnicities, nationalities, sexual orientations, gender identities, gender expression, socio-economic backgrounds, religions, ages, English-speaking abilities, immigration statuses, and physical abilities in a multicultural environment.

To Apply: Please submit a cover letter and resume.

The Los Angeles LGBT Center is an Equal Opportunity Employer and is committed to fostering diversity within its staff. Applications are encouraged from all persons regardless of their race, color, ancestry, religious creed, national origin, sex, sexual orientation, gender identity, gender expression, medical/physical/mental condition, pregnancy/childbirth and related medical condition, age, marital status, or veteran status."
5,LPN / LVN Licensed Vocational Nurse,Anaheim Terrace,"Anaheim, CA","We offer a competitive Salary for a LVN (Charge Nurse)!
We are a Skilled Nursing Facility in Anaheim/Buena Park area, looking for a Licensed Practical Nurse/ Licensed Vocational Nurse that helps change the lives of patients and residents each day. A LPN/LVN is responsible for providing a full range of nursing care in an interdisciplinary environment including:

* Medication Administration
* Treatments
* Bedside Nursing
* Resident Evaluation
* Care Planning
* Provision of Direct Patient Care
* Monitoring Patient Care provided by unlicensed staff
* Problem Solving

We require an experienced LVN for a fast paced environment with leadership qualities.
LVN License and CPR are necessary.
PCC knowledge is preferred.
Competitive Salary offered."
6,LVN / LPN,Belmont Village Senior Living,"Los Angeles, CA","LVN / LPN
Belmont Village Senior Living
Los Angeles, CA

On-call LVN position
Shifts: 1st (6:30am-3pm), 2nd (2:30pm-11pm) &3rd (10:30pm-7am)

Belmont Village Senior Living is a certified GREAT PLACE TO WORK® and ranked #15 on FORTUNE’s Top 50 Best Workplaces in Aging Services! Our employees say the reasons why are a positive company culture, competitive pay, excellent benefits, bonuses and career growth opportunities. Join our dedicated team to help make Belmont Village Hollywood a Great Place to Work and Live!

Belmont VillageHollywood is hiring experienced LVN’s/LPN’s for all shifts. Prior nursing experience in a fast paced setting such as a Hospital, Skilled Nursing Facility (SNF), Assisted Living Community or Memory Care Community is strongly preferred.
At Belmont Village, our goal is to build dedicated teams who provide excellent care and services for our residents with knowledge, compassion, respect and a commitment to working with seniors. As a Licensed Nurse at Belmont Village Hollywood, you will play a critical role in helping achieve that goal through the supervision of caregivers and med techs, accurate administration of medications, and communication with physicians and family members related to changes in resident care needs.
Belmont Village Senior Living is an EOE/Drug Free work place. #MON
PURPOSE
Provides medication administration & personal care services, assistance, support and supervision to residents.
Coordinates and schedules work and supervises delivery of Caregiver service.
ESSENTIAL FUNCTIONS
Establishes relationships with family and residents and promotes resident satisfaction by:
following the resident’s individual service plan in providing services to residents
promoting safety and well-being of residents
Provides medication administration for residents as specified in individual service plan.
Communicates with physicians and families regarding resident change of condition or variance.
Communicates to Director of Nursing or Executive Director changes in residents’ condition and/or family concerns
Performs duties in accordance with Belmont policies, procedures and practices, and, within the scope of the Nurse Practice Act.
Oversees Caregivers to include development of daily work schedules and daily staffing exceptions.
OTHER DUTIES
Participates in collection of information related to well-being of residents.
Maintains supportive environment in dementia neighborhoods.
Assists in the maintenance of infection control and hazard communication program for the Community.
Assists in development and updating of each resident’s individual service plan.
SUPERVISORY RESPONSIBILITIES
Position serves as Lead in the oversight of Caregivers
MINIMUM QUALIFICATIONS
Active CA LVN License
Proficient in verbal and written English
Experience or education that has provided the opportunity to develop good organizational skills as well as an understanding and sensitivity to the needs of the aging population
Desire and experience working with residents with cognitive impairment/dementia
Ability to work in a fast paced environment
Ability to work schedules as assigned in a 24-hour operation
Telephone skills
Leadership skills
Must successfully complete:
TB skin test or chest x-ray
State fingerprint and FBI background check
Health Screening for this position
CPR Certification
PREFERENCES
Direct supervisory experience
One plus year of medication administration experience
Personal Computer skills
Observation and assessment skills
Founded in 1997, Belmont Village is a leading developer, owner, and operator of premier senior living communities. Our footprint includes more than two-dozen communities in the U.S. and in Mexico City. Belmont Village’s services include short stays, independent living, assisted living, and Alzheimer’s care. Our well-trained and dedicated staff includes licensed nurses on-site 24/7, caregivers, sales and marketing support, executive leadership, food servers and chefs and more. At Belmont Village, we are committed to fostering an environment where seniors, their families, and our staff and partners can learn, live well, thrive, and grow.

Belmont Village will consider all qualified applicants with criminal histories in a manner consistent with the requirements of the law."
7,Licensed Vocational Nurse / Licensed Psychiatric Technician,Special Service for Groups - Alliance,"LOS ANGELES, CA","Special Service for Groups, incorporated in 1952, is a nonprofit health and human service organization dedicated to building and sustaining community-based programs that address the needs of vulnerable communities.
SSG operates more than 25 divisions and programs across Southern California and in San Francisco that provide linguistically and culturally competent services to address the social, health, behavioral health and economic needs of our richly diverse multi-ethnic communities.
We are looking for a full-time LVN/LPT to work with adults with mental illness that are living in the community. You will provide basic nursing care, taking vital signs such as temperature, blood pressure, pulse, and respiration. Also, prepare and give injections and enemas, monitor catheters, apply dressings, treat bedsores, and give alcohol rubs and massages among other responsibilities. You will have the opportunity to work with a multidisciplinary team.
Requirements: Current license, Legal status to work, have own transportation, basic computer skills
Preferred: One year of direct service experience in a hospital or mental health setting.
Job Type: Full-time
Salary: $19.00 to $23.00 /hour
Job Type: Full-time"
8,"LPN and LVN CM - Cypress, CA",All's Well,"Cypress, CA","A well-known, established, medical group who provides medical services to over 80,000 subscribers throughout the greater Los Angeles and Orange Counties areas is looking for a Superstar LVN Utilization Management-Case Manager to ensure the Member receives the benefits in accordance of their individual coverage.

Full-Time position.

QUALIFICATIONS:
An Active LVN License with minimum of 3 years experience in the following: Managed Care and or Acute Care Hospital setting, IPA, Medical Group, or Health Plan environment. • Knowledge of Miliman, Interqual, Medicare, Medi-Cal, NCQA guidelines. • Home Health or Hospice experience preferred. • California driver license.• Outreach background highly preferred. • Bilingual: Spanish preferred, but not required.

DUTIES:
• Initiate a case management screening assessment, reviewing claims history, encounter history, chronic conditions etc. • Develop an initial intake & care plan based on screening and or referral to Case Management. • Schedule and conduct an initial assessment to include: medical history, medications, DME, support systems, barriers to compliant behaviors, educational needs, and significant impairments of ADL's, behavioral and or social barriers, cognitive barriers. • Develops an evidence based plan of care that is member centric and based on risk and acuity. • Implement plan of care, document all patient encounters and contacts made on behalf of the patient in the case management system. • Communicate and coordinate care with ancillary providers, PCP, Specialists, or other involved members of the healthcare delivery team. • Identify patients that meet criteria for extended benefits or programs offered by the Health Plan or other programs such as State or Federal programs and refer as appropriate. • Identify and enroll members in Health Plan disease management programs as appropriate. • Collaborate with the hospital, SNF, IPA & Health plan while coordinating care. • Manage and coordinate care for high risk patient's discharged from skilled nursing.

To apply for this great opportunity as a LVN or for more details please contact Diana M. of All's Well today!"
9,LVN Theory/Clinical Instructor,NORTH-WEST COLLEGE,"Van Nuys, CA","Become an Education Leader and join our team of dedicated Professionals.
North-West College is part of a stable and growing system of nine campuses in California and Nevada. Which is a leader in Medical Career Training since 1966.
Our everyday mission is to train students in short term programs for gainful employment.
POSITION:Vocational Nursing Instructor (THEORY/CLINICAL)-teaching experience in clinical or theory.
LOCATION: Van Nuys - Full time Theory/Clinical
POSITION SUMMARY:
Plans, teaches, directs, and supervises all student learning experiences in the classroom, skills lab, and clinical areas, following the curriculum of the school as approved by the California State Board of Nursing.
RESPONSIBILITY:
This is a faculty position directly reporting to the Director of Nursing at North-West College
PERSONAL:
•Willingness to provide a professional role model for students•Ability to work effectively with others.
•Demonstrates pleasant and effective verbal and written communication.
•Demonstrates integrity and progressive self-improvement.
FUNCTIONS:
•Teaches and implements the total curriculum, as assigned by, and under the direction and supervision of the DON (Director of Nursing).
•Plans and assigns student activities in the classroom and/or clinical settings.
•Is instrumental in identifying individual and collective learning needs of assigned students, being cognizant of the physical, mental and emotional status of the learners.
•Maintains records of student progress and performance, attendance and grades.
•Prepares, administers, and grades, written and practical examinations during course of study.
•Devises written lesson plans and implements them through lecture, demonstration, discussion, etc.
•Provides a copy of all lesson plans to the Director of Nursing.
•Discusses with students their concerns and/or problems directly or indirectly related to learning experience.
•Participates in regularly scheduled meetings with Program Director or her designee.
•Is responsible to assist the student to develop an understanding of values, attitudes, and ideals appropriate to the health care profession.
•Participates in the selection and preparation of instructional materials.
•Provides a professional role model for students.
REQUIREMENTS AND EDUCATION:
•RN with BSN + 5 years experience
•Teaching experience preferred
•Variety of experience in the field"
