,0,1,2,3
0,"CNAs, Certified Nursing Assistants",Kindred Healthcare,"La Mirada, CA","Description:
Kindred Transitional Care Hospitals has a career opportunity for you as a Certified Nursing Assistant! As a division of Kindred Healthcare, we play a vital role in the recovery process for chronic, critically ill and medically complex patients who require acute care and rehabilitation over an extended period.
 
 Your career growth begins when you join an interdisciplinary team, where doctors, nurses, therapists and other experts work together to form individualized care plans for our patients and residents. Opportunities through our development programs, training seminars and university partnerships, not only allow for continual career growth but emphasize our commitment to investing in our employees and developing future healthcare leaders.
 
 The goal of our team is to deliver intensive, multidisciplinary care and transition patientsâ home or to a lower level of care as quickly and safely as possible. Each employeeâs dedication is essential to meet and exceed the needs of each patient, resident and family we serve. Ranked as one of Fortune magazineâs âMost Admired Healthcare Companyâ for 8 years, Kindred welcomes you to join our team and build a career that touches lives.
 
 As a Certified Nursing Assistant / CNA you will\:
Assist nursing staff with patients' personal care, emotional support, and activities of daily living.
More complex duties performed under supervision of professional nursing personnel.

Qualification:
As a Certified Nursing Assistant / CNA you will have\:
Completion of course for nursing assistants.
Current Nursing Assistant Certification.
BCLS Certification.
Minimum six months experience in acute or long term care facility.
 If you are a current Kindred/RehabCare employee Click Here."
1,Certified Nursing Assistant (CNA),St Vincent Health Care,"Pasadena, CA","Looking for PART TIME CNA's for ALL SHIFTS : 7-3 / 3-11 / 11-7

Come in and apply/interview today!


Job Purpose:
Helps patients by supporting personal hygiene and daily living needs; providing comfort, transportation, and vital sign monitoring.

Duties:
* Provides patients' personal hygiene by giving bedpans, urinals, baths, backrubs, shampoos, and shaves; assisting with travel to the bathroom; helping with showers and baths.

* Provides for activities of daily living by assisting with serving meals, feeding patients as necessary; ambulating, turning, and positioning patients; providing fresh water and nourishment between meals.

* Provides adjunct care by administering enemas, douches, nonsterile dressings, surgical preps, ice packs, heat treatments, sitz and therapeutic baths; applying restraints.

* Maintains patient stability by checking vital signs and weight; testing urine; recording intake and output information.

* Provides patient comfort by utilizing resources and materials; transporting patients; answering patients' call lights and requests; reporting observations of the patient to nursing supervisor.

* Documents actions by completing forms, reports, logs, and records.

* Maintains work operations by following policies and procedures.

* Protects organization's value by keeping patient information confidential.

* Updates job knowledge by participating in educational opportunities; reading professional publications; participating in professional organizations; maintaining licensure.

* Enhances nursing department and reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments.

Skills/Qualifications:
Multi-tasking, Medical Teamwork, Bedside Manner, Infection Control, Nursing Skills, Health Promotion and Maintenance, Creating a Safe, Effective Environment, Informing Others, Judgment, Pain Management, Acute/Critical Care"
2,Error loading,Error loading,Error loading,Error loading
3,Certified Nursing Assistant (CNA),Villa Elena Healthcare,"Norwalk, CA","CNA's
The Nursing Assistant assists the resident in performing activities of daily living, provides a clean and safe living environment, gathers data on the resident’s physical and emotional state, and reports observations to the nurse in charge.

• Assists the resident with activities of daily living:
A. Bathes or assists resident to bathe, provides evening care, and incontinence care.
B. Grooming; including care of hair and fingernails.
C. Assists in dressing and undressing.
D. Assists with meal tray, feeds resident as needed, and provides between meal nourishments and fluids as assigned.
E. Toilets resident.
F. Positions resident for comfort, using principles of body mechanics and repositions when necessary.
G. Provides or assists with oral hygiene.
H. Answers signal lights in a prompt manner.

• Recognizes resident’s strengths and uses rehabilitative nursing techniques to restore or maintain the resident's independence:
A. Range of motion exercises.
B. Supervises and/or assists with ambulation, transfer, etc.
C. Assists with bowel and bladder training.
D. Participates in reality orientation.
E. Provides for residents’ privacy when appropriate.
F. Ensures the resident's rights are maintained.
G• Assists in provision of a safe and clean environment:

 QUALIFICATIONS:
• Certified Nurse Assistant Certification (Active)
• High school Diploma required.
• Ability to read, write, and follow directions in English for business necessity.
• Must be able to communicate effectively with residents and staff.
• Interest in the geriatric patient necessary.


 Benefits
Vacation, Medical & health, Dental, 401K"
4,Certified Nursing Assistant,Motion Picture & Television Fund,"Woodland Hills, CA","MPTF (Motion Picture & Television Fund) is a 96 year-old charitable organization dedicated exclusively to the health and well-being of entertainment industry workers and their families. MPTF provides social and charitable services, quality healthcare, senior care and services, and much more. We are currently seeking CNA’s.
 Psychiatric C.N.A.
Full-time/Night-11-7
On-call/Evenings-3-11
 Must be able to work every other weekend
Current, active CA C.N.A., Fire Safety, BLS and MAB certificates
1 year experience in a psych unit with geriatric patients
 Long Term Care C.N.A’s-
On-call/Nights-11-7
On-call/Evenings-3-11
 Must be able to work every other weekend
Current CA CNA cert, BLS, Fire Safety card
1 year experience in long-term care/skilled nursing preferred
 We offer a unique and professional environment. website: www.mptf.com  Send resume to:
Tara.piazza@mptf.copm
Equal Opportunity Employer"
5,"$500 SIGN-ON BONUS: CERTIFIED NURSING ASSISTANT (CNA): ALL SHIFTS - SNF, LOS ANGELES",Interim HealthCare of Pasadena,"Los Angeles, CA","**** $500 SIGN-ON BONUS ****

Seeking Certified Nursing Assistants (CNA) for full-time work 1st or 2nd Shift at our Skilled Nursing Facilities (SNF) in Los Angeles.

BENEFITS OF CERTIFIED NURSING ASSISTANT (CNA):
- $500 Sign-On Bonus
- Competitive Wage
- Paid Orientation
- Employee of the Year Contest: Paid Tropical Vacation for Two
- Employee of the Month Contests: Gift Cards, Dinners, Movie Tickets, etc.
- $250 Bonus per Employee Referral
- 401k with Matching
- Weekly Pay by Direct Deposit, Debit Card or Check
- Continuing Professional and Clinical Training

RESPONSIBILITIES OF CERTIFIED NURSING ASSISTANT (CNA):
- Assist patient with personal care and hygiene
- Operate patient care equipment
- Read and interpret technical instructions
- Assist with meal prep and feeding
- Ensure a safe environment for patients
- Comply with all documentation and record keeping requirements

REQUIREMENTS OF CERTIFIED NURSING ASSISTANT (CNA):
- Have successfully completed a Certified Nursing Assistant program
- Pass drug screen & criminal background check
- Communicate with all levels of clinical and non-clinical individuals
- Current CPR/BLS training
- Meet applicable health requirements (TB)

Founded in 1966, Interim HealthCare is a multi-national billion dollar organization. With over 300 locations across the US, we provide a wide array of healthcare services. At Interim HealthCare of Pasadena, we specialize in helping facilities throughout the greater Los Angeles area identify talented medical personnel for temporary & permanent placement.

If you meet these qualifications, we want to hear from you! Please submit your resume today."
6,Certified Nursing Assistant,ATC Healthcare Services,"Downey, CA","ATC WEST Healthcareis currently hiring for a PER DIEMCNAassignment for a prominent facility in Downey,CA.
JOB DETAILS
Location - Downey, CA
Profession: - CNA
40hrs a week
8 Hr Shifts : 3p -11p; 11p - 7a
Pay - $15/hr
Start date: 11/26/2018
job requirements,
1 yearAcute care experience
Updated Resume
CNA License
BLS card required
The qualified candidate will be required to submit the following documents by email, and complete an online skills checklist that will be assigned once the application has been reviewed.
*One can only start work after he/she is fully compliant . ( All required paperwork and health documents must be provided ASAP.)*
1. Current Work History/Resume Please indicate month & year chronologically (Required Immediately!!)
2.Clear copy of CNA license & BLS card
3. 2 professional references from your last two years of employment. their names & tittle, phone number and facility you worked at with them, and the month/year of the start and end of your assignment there with them.
*For more information, please call 310-776-7089 and speak with Carolyne"
7,"Certified Nurse Assistant, CNA, $1500 sign-on bonus",Tarzana Health and Rehabilitation Center,"Tarzana, CA","In this role, you will provide personal care to our residents and patients within a skilled nursing facility. You will have the responsibility of assisting with daily living activities such as turning and positioning, toileting, bathing and grooming, feeding, mobility and obtaining and recording vital signs and weight.

In return for your exceptional service, we're committed to our employees and making a great place to work even better."
8,CNAs Certified Nursing Assistants DAY SHIFTS and Weekend Shifts! New Grads Welcome!,Monrovia Post Acute,"Duarte, CA","Job Opening:  CNAs Needed

Location:  Monrovia Post Acute, Convalescent Hospital

Location:  Duarte, California

Schedule:  3 day shift openings (Monday-Friday 7 AM-3 PM) and 2 weekend openings (Saturday and Sundays 7 AM-3 PM)
 
Requirements:

1.  Valid CNA 
2.  Ability to pass a criminal background check and drug test

Compensation:  

$14-$14.25 per hour plus medical, dental and vision insurance

Weekend positions pay $15 an hour"
9,CNA 11-7,Alamitos West Health Care Center,"Los Alamitos, CA","Job Description
Do you love connecting with those in need and their families? Are you caring and passionate? Are you ready to make a difference? Consider joining our team as a CNA. We are closely knit and highly functioning team committed to making every moment matter in our residents' lives. With a rich history of compassion and a heart for delivering superior service, our campus and life care centers are dedicated to serving seniors with a complete continuum of social, spiritual and health-related care. As a CNA, you will help our residents live as comfortably and independently as possible while providing the daily help they need. Life in our communities is rooted in dignity and respect for those we serve. We need a CNA who can assist residents with the activities of daily living including dressing, eating, grooming, moving, toileting and personal hygiene according to the resident's care plan. Click the Apply button to submit your resume.
Job Requirements
The ideal candidate is an active CNA in this state and has a passion to deliver quality care."
