,0,1,2,3
0,Registered Nurse (RN) - Travel - Med/Surg Tele,HealthTrust Workforce Solutions,"Los Angeles, CA","Job Description
 
 Registered Nurse (RN) - Travel - Med/Surg Tele
 
 Entrust Your Career to HealthTrust
 
 CHAT LIVE NOW!
 
 As HealthTrust Workforce Solutions, we focus on a healthcare facility's most valuable resource for delivering exceptional patient experiences – its people. We believe healthcare isn't defined by the four walls in which it's practiced. It's defined by the people for whom and by whom it is delivered.
 
 With HealthTrust you'll have opportunities to work in some of the nation's leading facilities, further develop your skills, train on new technology and more. While you are advancing your career, you will also enjoy the many benefits of being a healthcare traveler. Best of all, you'll make lasting friendships with other passionate health professionals wherever you go!
 
 HealthTrust travelers enjoy competitive pay as well as:
 
 * Fully furnished housing or subsidy
 * Weekly deposit options
 * 401(k) retirement programs
 * Travel reimbursements
 * Healthcare insurance
 
 To get started you will need:
 
 * A degree from accredited school of nursing
 * Minimum 1 years acute care experience in a hospital setting
 * Current State Nursing License
 * Current BLS and all other appropriate certifications for specific specialty
 
 Together with our healthcare facility partners, we ensure that our clinical and non-clinical healthcare professionals have the skills, tools and support needed to fulfill their mission of delivering exceptional patient experiences. This means taking a holistic, long-term view of your career options and taking as good a care of our people as our hospital partners take of their patients. When healthcare professionals are empowered with the right skills, tools and employment opportunity to fulfill their mission – something incredible happens. Patient satisfaction soars, employee collaboration takes hold and healthcare organizations deliver high quality, sustainable access to care.
 
 Apply today.
 
 Click to chat with someone about this position!
 
 CHAT LIVE NOW!
 
 Chat hours are M - F 8:30am - 4pm
 
 Click the apply button to apply now."
1,Travel Nurse - ER RN - Emergency Room Registered Nurse,ADEX Medical Staffing,"Los Angeles, CA","ADEX Travel Nursing has been employing and servicing nurse travelers, sending them to great destinations around the country. Our vast networking affords us exclusive relationships at top facilities offering you unique career opportunities. Call us for more positions, 866-341-2339!
 
Benefits:
- Hundreds of locations
- Day One Major Medical, Vision, and Dental
- Top Pay
- Custom pay package                                   
- Fully furnished housing or housing stipend
- Weekly direct deposit and weekly pay
- $750 referral bonuses"
2,Travel Registered Nurse RN Oncology,OneStaff Medical,"LOS ANGELES, CA","Date Posted:2018-11-14
Occupation Category: 29-1141.00 Registered Nurses
JOB DESCRIPTION
Travel Registered Nurse RN Oncology
Location:LOS ANGELES, California
Shift:  8.00 hr - AM Shift
Start Date:  11/17/2018
Speciality:  RN - ONCOLOGY
Hiring Organization:   OneStaff Medical

Description:

We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we’re here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help.

Now back to what you’re here for; we’re looking for a Travel Registered Nurse RN Oncology to join our family, and well, that’s you! So check this out…

An Oncology Nurse provides care for cancer patients and those at risk for getting the disease. They monitor physical conditions, prescribe medication, and administer chemotherapy and other treatments. Oncology is one of the most challenging and rewarding fields in nursing and no two days on the job are ever the same.
Experience Requirements:
Minimum 1 year of current work experience in Travel Registered Nurse RN Oncology
California state Healthcare Provider license or willing to obtain
This position may require one or more of these certifications: BLS, ONS, ACLS, CHEMO CERT & possibly others
Benefits:
Are you in? Do we need to further convince you why OneStaff Medical is your ideal travel partner? How about:
A dedicated expert (our recruiter) to be by your side 24/7; every step of the process, and to ensure you get exactly what you are looking for!
All the good stuff like; Medical/Dental/Vision Insurance & 401K
Dream assignments all across the country; from sunny California, down to sun-kissed Florida, we got ‘em!
Travel reimbursement as part of your weekly pay!
Licensure and certification reimbursement to our return travelers, when needed for new assignments!
Some hot-hot-hot referral bonuses! (uh hum, so travel w/ an amigo(a) and get paid $500!)

…and FREE super soft premium scrubs through our partners, FIGs scrubs, to all of our loyal return nurses!
If you have questions about details on this assignment, fill out a QUICK APPLY and one of our recruiting specialists will reach out promptly to talk you through it all.
Contract"
3,"Director, Complex Case Mgmt-CA (RN, LCSW, LMSW)",Corporate,"Los Angeles, CA","Under the direction of the Vice President Performance Excellence and reporting directly to the Performance Excellence Policy & Education Director, the Performance Excellence (PE) Director Complex Case Management is responsible to oversee complex case management in collaboration with hospital case management, the Chief Nursing Officer and Chief Financial Officer. Serves as a member of the  Performance Excellence team to improve patient throughput and implement standard work, aka Tenet Operating System (TOS) with specific focus on complex case management initiatives.  Leads continuous improvement initiatives and case management revenue cycle and patient throughput best practice strategies in the assigned hospitals to achieve organizational goals through standardized processes.
  
 Key focus on designing complex case management work to improve quality, patient experience and throughput  while achieving cost efficiency and productivity targets in Tenet hospitals. Facilitates the assessment, planning and implementation of consistent standardized processes based on identified opportunities that drive improved patient care and capacity. This  leadership position builds strong performance based relationships, manages through roadblocks and barriers to success, and builds processes and protocols to ensure continued sustainability of initiatives and business processes.
This position will partner with the market and hospital Administrative leaders to ensure complex case management strategies are executed at the local level. He/She will work directly with Tenet and Conifer leaders to develop market strategies and tactics that are in alignment with company goals.
 
 Uses lean tools in conjunction with the PE Management Engineers to lead the conception, issue identification, hypothesis formation, planning and conducting interviews. Develops and implements best practices to achieve organizational goals through effectively leading and managing change in a matrix environment.  Develops and implements patient centered complex case management action plans.  Monitors progress toward goals and addresses barriers and challenges while making adjustments as needed in a supportive, synergistic manner. Collaborates with legal, medical and nursing leadership, PE team members, resource management, case management/social work, discharge planning and utilization management to develop and implement methods to optimize use of hospital services.
Develops and implements Tenet complex case management program  by utilizing excellent communication and servant leadership skills to challenge status quo and positively influence change processes to improve performance.  Provides guidance to ensure patient throughput goals - including length of stay and care variation - are met by working with interdisciplinary teams and entities to coordinate patient flow into and through the hospital.  Fosters  an environment that promotes team member support, partnership, growth and development by assessing the needs of the team and implementing programs to meet those needs. Provides analysis and education regarding regulatory and clinical changes impacting complex case management process and hospital reimbursement.  Provides education and tools for educating physicians and staff regarding complex case management process standards. 
Works in alignment with assigned leadership teams and consistently demonstrates ability to:
Lead and collaborate with teams
Build trusting relationships with hospital and regional leaders
Build collaborative partnerships
Identify process inefficiencies via root cause analysis and design work flow to address
Conduct financial analysis and provide budget input as needed
Develop and implement action plans managing follow up to achieve outcomes
Implement targeted process changes including ongoing metric monitoring and management to achieve goals and drive improvement
Overall responsibility for the management of medically and/or socially complex patient populations for assigned hospitals to promote effective utilization of hospital resources, ensure processes support appropriate reimbursement for services rendered, support efficient patient throughput, and ensure compliance with all state and federal regulations related to case management services.
Responsible for oversight to integrate  national standards for case management scope of services including:
Utilization Management supporting medical necessity and denial prevention
Transition Management promoting appropriate length of stay, readmission prevention and patient satisfaction
Care Coordination by demonstrating throughput efficiency while assuring care is the right sequence and at appropriate level of care 
Compliance with state and federal regulatory requirements, TJC accreditation standards and Tenet policy
Education provided to physicians, patients, families and caregivers
Up to 50% travel - as travel is required, we will run a MVR on the final candidate.


Qualifications:
Current RN license, LCSW or LMSW and bachelor's degree required. A minimum of 7 years Case Management leadership experience in an acute setting required. Accredited Case Manager (ACM) preferred.  Multi-site leadership experience preferred.  Change and Project management experience; strong analytical skills including use of Excel and PowerPoint, and the ability to manipulate and analyze data preferred.  Strong Presentation skills a must– development and presentation of content. Advanced degree in Business, Nursing and/or Health Care Administration preferred. 
 
 Job:  
 Corporate
Primary Location:  
 Los Angeles, California
Facility:  
 984-Fort Lauderdale, FL
Job Type:  
 Full-time
Shift Type:  
 Days

Employment practices will not be influenced or affected by an applicant’s or employee’s race, color, religion, sex (including pregnancy), national origin, age, disability, genetic information, sexual orientation, gender identity or expression, veteran status or any other legally protected status. Tenet will make reasonable accommodations for qualified individuals with disabilities unless doing so would result in an undue hardship."
4,RN Obstetrics FT Nights Los Alamitos,Los Alamitos Medical Center,"Los Alamitos, CA","The dedicated staff, highly-skilled physicians and surgeons, and advanced technology combine to make working at Los Alamitos Medical Center a personally-rewarding work environment.  Nursing staff often hold advanced degrees, are dedicated to caring for others in both their personal and professional lives, and work side-by-side with talented colleagues and medical staff. The hospital has an advanced bi-plane catheterization lab, robot-assisted surgery capabilities, an Orthopedic Destination Center, and the radiation oncology physician services are provided by UCLA Health.  Outpatient services are provided in a colorful patient setting in our Total Care Pavilion and there will soon be nurse navigators to assist orthopedic and cancer patients.  The hospital’s quality indicators reflect the hard work of physicians and staff. LAMC awards and distinctions include an A on the Leapfrog Hospital Safety Score, American Heart Association Get with the Guidelines Gold+ Performance Achievement Award for Heart Failure, American Stroke Association Get with the Guidelines Gold+ Performance Achievement Award for Stroke, American Stroke Association Target Stroke Honor Roll, and is a Joint Commission Advanced Primary Stroke Center.  Los Alamitos Medical Center is a great place to work. There are more than 150 staff members who have been here over 20 years and the hospital has been in the community for nearly 50 years treating generations of families.
 The Perinatal Level I RN under the supervision of the Charge Nurse, Unit Charge Nurse or Perinatal Director is responsible for total care of the obstetrical patient during antepartum, labor, birth, postpartum and for the care of the neonate. S/he must be able to assess, plan, provide and evaluate this care in a safe, organized and efficient manner while upholding the standards of nursing practice as detailed by current policies, procedures and safety practices.


Qualifications:
Required:
California Registered Nurse
CPR Certification
Neonatal Resuscitation Certification
Basic Fetal Monitoring Course
ACLS Certification
AWHONN Fetal Monitor Course with update every two years
Job:  Obstetric/Women Wing/Labor & Delivery
Primary Location:  Los Alamitos, California
Facility:  Los Alamitos Medical Center
Job Type:  Full-time
Shift Type:  Nights

Employment practices will not be influenced or affected by an applicant’s or employee’s race, color, religion, sex (including pregnancy), national origin, age, disability, genetic information, sexual orientation, gender identity or expression, veteran status or any other legally protected status. Tenet will make reasonable accommodations for qualified individuals with disabilities unless doing so would result in an undue hardship."
5,RN Endoscopy PD Rotate,Lakewood Regional Medical Center,"Lakewood, CA","Lakewood Regional Medical Center is proud to be an integral part of the Orange County community. From orthopedics to cardiac care to urology, we’ve received many designations for quality care. Although we appreciate these prestigious honors, we are most honored by the opportunity to serve you and your loved ones. We’re committed to finding new ways to improve and make our hospital the best place for patients, physicians and employees. We appreciate the opportunity to serve you, and we are here any time you need help.
We offer competitive salaries and benefits including a matching 401(k), several health & dental plans to choose from, generous tuition assistance plans, and relocation assistance for select positions.
Job Summary: 
The Registered Professional Nurse is responsible for the delivery of patient care, utilizing the nursing process for assessment, planning, implementation and evaluation while meeting competently all safe expectations of a nurse.



Qualifications:
 Training and Experience:
Mandatory:
Current RN License
Current BLS Provider
Preferred:    Acute hospital experience
Job:  Nursing
Primary Location:  Lakewood, California
Facility:  Lakewood Regional Medical Center
Job Type:  PT2Y
Shift Type:  Rotate

Employment practices will not be influenced or affected by an applicant’s or employee’s race, color, religion, sex (including pregnancy), national origin, age, disability, genetic information, sexual orientation, gender identity or expression, veteran status or any other legally protected status. Tenet will make reasonable accommodations for qualified individuals with disabilities unless doing so would result in an undue hardship."
6,"RN, Utilization Management Compliance",DaVita Medical Group,"El Segundo, CA","OVERVIEW OF POSITION:
Responsible for educating the individual Care Management regional departments on the regulatory requirements from all regulatory organizations (CMS, NCQA and contracted Health Plans) and for assisting the regions in maintaining regulatory compliance of Care Management processes.  Acts as a resource in the areas of referral processing, denial letter processing and clinical decision-making.
ESSENTIAL FUNCTIONS:
Consistently exhibits behavior and communication skills that demonstrate HealthCare Partners’ (HCP) commitment to superior customer service, including quality, care and concern with each and every internal and external customer.
Conducts regional-based training to educate Care Management staff on health plan regulatory procedures and processes.
Acts as a central resource with regards to regulatory requirements from participating regulatory agencies, health plan clinical review criteria and HMO benefits.
Contributes pertinent utilization-related materials to the departmental intranet site.
Assists in preparing the department for annual health plan audits.
Conducts review of procedures related to referral processing including oversight of denial letter processing.
Performs reviews as needed on other related Care Management processes including retrospective and prospective review of referrals and appeals review.
Demonstrates a thorough understanding of the cost consequences resulting from Care Management decisions through utilization of appropriate reports (Health Plan Eligibility and Benefits, Division of Responsibility (DOR)).
Communicates authorization/denial for services to appropriate parties including patient (or agent), attending/referring physician, facility administration and HCP Claims Department as necessary.
Participates as requested in assigned Care Management Committee meetings.  Addresses pertinent regulatory information to all members of the health team when appropriate.
Contributes to current Care Management programs within the policies and procedures set by the Care Management Department.
Contributes to team decisions in the development and enhancements to the Electronic Referral Management system.
Maintains effective communication with the health plans, physicians, hospitals, extended care facilities, patients and families.
Initiates or oversees data entry into IS systems within the parameters of Care Management policies and procedures.  Maintains accurate and complete documentation of services requested including CPT code, ICD-9, referral type, date, etc.
Uses, protects, and discloses HCP patients’ protected health information (PHI) only in accordance with Health Insurance Portability and Accountability Act (HIPAA) standards.
Performs additional duties as assigned.
EDUCATION:
Bachelor’s degree from a four-year college and/or a professional certification requiring formal education beyond a two-year college.
Current California RN license.
Graduation from an accredited school of Nursing.
Bachelor’s degree in Nursing preferred.
EXPERIENCE:
Minimum:
Over 1 year and up to and including 3 years of experience.
1 year of recent clinical experience.
Preferred:
3 to 5 years of acute nursing experience preferably in critical care.
Care management, utilization review or discharge planning experience.
HMO experience.
KNOWLEDGE, SKILLS, ABILITIES:
Computer literate.
Knowledge of Microsoft Word.
Ability to type 25 wpm.
Knowledge of current standards of patient care.
Thorough understanding of the RN scope of practice.
Ability to effectively communicate and collaborate with physicians, patients, families and ancillary staff.
Ability to make sound, independent judgments and act professionally under pressure."
7,Hemodialysis Registered Nurse - RN - Beverly Hills - West Los Angeles - Dialysis Training Program - Full Time,DaVita,"Beverly Hills, CA","Job Description
In Center- RN
DaVita is seeking a Registered Nurse who is looking to give life in an outpatient dialysis center.  You can make an exceptional difference in the lives of our patients and their families dealing with end-stage renal failure or chronic kidney disease.
If you haven’t considered Nephrology before, read on as we think that you should. Dialysis Experience is NOT required.
What you can expect:
Long term patient relationships. Build meaningful relationship with patients and their family in an intimate outpatient setting.
A team that feels and functions like a family. Staff RNs are a central part of a small interdisciplinary team of clinicians. Work alongside technicians, nurses, dietitians, social workers, physicians and the center manager.  
Fun is one of our core values.  Happier nurses = healthier patients.
Specialized, complex care. RNs deliver care to patients who are often dealing with multiple co-morbidities which require unique treatment plans and the ability to leverage a broad range of nursing skills and knowledge.  
Fast paced. Our RNs oversee up to 12 patients at a given time, and up to 3 Patient Care Technicians who assist with patient observations, measuring stats and machine set-up. You will work hard with your head, heart and hands each day.
Schedule. Shifts are typically 12 hours, 3 days/week, Mon-Sat (closed Sundays). Schedule times will vary by location but most of our RNs work early morning or day shifts between 4am-10pm. Some holidays required.
Clinical leader: DaVita has the highest percentage of facilities meeting or exceeding CMS’s standards in the government’s two key performance programs. We expect our nurses to commit to improving patient health through clinical goal setting and quality improvement initiatives.
What we’ll provide:
In-classroom and hands on training: if you are new to dialysis, we’ll provide a 9-12 week paid training and the support to guide you through to becoming a nephrology nurse. 
Opportunity for a nursing career for a lifetime. DaVita is committed to providing robust development and experience for nurses. Whether you chose to remain in a patient facing/caregiving role or grow (leadership operations, corporate functions, integrated care, clinical research), we can guide you on that journey.
Education assistance and license reimbursement: annual $3,000 tuition reimbursement and potential $25,000 scholarship opportunity. CNN and CDN certification reimbursement.  
3000+ locations across the U.S. for wherever life may take you.
Comprehensive benefits package: including medical, dental, vision, 401k plan, $2,500 cash gift for new parents, back-up child and elder care and so much more
Some details about this position:
Your 9-10 weeks of training will include a combination of classroom and hands-on learning, through DaVita’s award-winning training programs
Training may take place in a facility or a training clinic with a class of new teammates other than your assigned home clinic
Hours of work may vary during the training period; however, you will typically be working between 32-40 hours per week during training
You must be flexible on the final home clinic placement it may be in a different location; there is also the potential to float to various clinics during and after your training
You must have a flexible schedule and be able to work mornings, evenings, weekends, and holiday 
Current Registered Nurse (RN) license in the state of practice; Graduate Nurse pre-licensure available in some locations
A desire to deliver care in an empathetic, compassionate way. You know, the way you’d want your own care to be 
Experience assessing, trouble shooting and making sound recommendations in stressful situations 
Excellent communication skills to listen and communicate with patients and teammates 
Associates Degree in Nursing (A.D.N) from accredited school of nursing required; Bachelor of Science in Nursing (B.S.N);  three-year diploma from accredited diploma program may be substituted for nursing degree
Basic computer skills and proficiency in MS Word and Outlook
You might also have (a.k.a. nice-to-haves):
Intensive Care Unit (ICU), Critical Care Unit (CCU), Emergency Room (ER), or Medical Surgical (Med Surg) experience
Certified Nephrology Nurse (CNN) or Certified Dialysis Nurse (CDN)
Ready to make a difference in the lives of patients? Take the first step at https://careers.davita.com"
8,"Experienced Registered Nurse (RN) - Located in Yuma, AZ",Yuma Regional Medical Center,"Los Angeles, CA","Yuma Regional Medical Center offers fulfilling careers in a state-of-the-art medical facility surrounded by a community of caring professionals. Plus, being located in one of the Southwest's greatest areas means perfect weather all year round. As our community continues to grow, we seek dedicated seasonal RNs to meeting the changing medical needs of our community. The ideal candidate will have nursing experience in a clinic, have a passion for providing care, prompting wellness, be able to evaluate patient responses, and have the following: Arizona or compact state RN License; BCLS; Advanced Life Support Certification(s) as appropriate & required for assigned department. Hiring for Emergency Services, ICU, and many other departments!"
9,"Nurse Reviewer (Recent RN Grads and Experienced RNs) - AIM Specialty Utilization - Glendale, CA (...",Anthem,"Glendale, CA","Description
Your Talent. Our Vision. At AIM Specialty Health (AIM), a proud member of the Anthem, Inc. family of companies, it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will drive the future of health care. This is an exceptional opportunity to do innovative work that means more to you and those we serve.
If you are enthusiastic about making a difference in the lives of patients, pursuing a rewarding career, and enjoying more free time with family and friends to explore your interests outside of work - consider a career as a Nurse Reviewer at our Glendale, CA, contact center.
Nurse Reviewer (Recent Grads and Experienced RNs) - AIM Specialty Utilization - Glendale, CA
Nurse Reviewer I and Nurse Reviewer Associate are responsible for conducting pre-authorization, out of network and appropriateness of treatment reviews for diagnostic imaging and other services by utilizing appropriate policies, clinical and department guidelines. They collaborate with healthcare providers to promote the most appropriate, highest quality and effective use of diagnostic imaging to ensure quality member outcomes, and to optimize member benefits.
If you just graduated and have your RN License OR if you are a RN with many years of experience, we want to consider you! These are in-office positions located in Glendale, CA, with a set schedule of Monday - Friday, 9:30am to 6pm.
Primary duties may include, but are not limited to:
Receives pre-authorization requests from front-line intake
Conducts initial medical necessity clinical screening
Determines if initial clinical information presented meets medical necessity criteria or requires additional medical necessity review
Conducts initial medical necessity review of out of network pre-authorization requests for services requested outside of the client health plan network
Notifies ordering physician or rendering service provider office of the pre-authorization determination decision
Documents the results of the initial clinical review and determination in the pre-certification computer system
Maintains confidentiality of patient and provider specific information
Develops telephone service standards to meet departmental performance metrics
Qualifications
Nurse Reviewer I & Nurse Reviewer Associate SHARED qualifications:
Registered Nurse with a current, valid unrestricted license in the State of California
Candidates must have good computer skills and solid typing speed and accuracy
Knowledge of managed healthcare programs - HMO, PPO, and POS are preferred
Familiarity with Utilization Management Guidelines preferred
Familiarity with ICD-9 and CPT 4 coding preferred
Nurse Reviewer I specific qualifications:
3 + years recent clinical nursing experience in an ambulatory or hospital setting
Previous utilization and/or quality management and/or call center experience is helpful
Nurse Reviewer Associate specific qualifications:
Graduate of an accredited school of nursing
Any experience in clinical nursing experience is a plus
Customer service experience is preferred
Quality management and/or call center experience is a plus
AIM- A Leading Employer of Choice, Benefits at a Glance
Along with a dynamic, entrepreneurial work environment, AIM offers competitive compensation, a generous benefits package and the opportunities for career progression you'd expect from an industry leader.

These benefits include:
An array of Health, Dental and Vision Care Insurance plans
Term Life Insurance
Short- and Long-term Disability Insurance
401(k) Employee Savings Plan with company match
Employee Stock Purchase Plan
Paid Time Off
Tuition Reimbursement
Tax-advantaged health care and dependent flexible spending plans
Health club reimbursement allowance
Licensure reimbursement for medical professionals
Anthem, Inc. is ranked as one of America's Most Admired Companies among health insurers by Fortune magazine and is a 2017 DiversityInc magazine Top 50 Company for Diversity. To learn more about our company and apply, please visit us at antheminc.com/careers. EOE. M/F/Disability/Veteran."
