Job_name,Company_name,Location_name,Job_description
Construction Senior Superintendent,Webcor,"Los Angeles, CA"," Who We Are:
Webcor employs people of integrity and passion to build diverse, high-profile, and innovative structures for our clients. Webcor was founded in San Francisco in 1971. We are still headquartered in San Francisco and are committed to growing throughout California (and beyond). Through career development and employee-specific rotation plans, we foster collaboration across our construction management divisions (Core & Shell and Special Projects) and self-perform groups (Concrete, Interior Construction Group, and Paramount Drywall). We provide craft professionals, experienced professionals, and new graduates with financial, health, and wellness benefits that encourage and reward individual contribution.
Why Join Us?
We love to build for both public and private owners. We don’t shy away from what we have never done before.
We are deeply connected to continuous improvement. We welcome better ways of doing things.
The U.S. GREEN BUILDING COUNCIL has recognized us with multiple LEED PLATINUM awards for our commitment to sustainable design, communities, and construction.
Career tracks are clear and we encourage employee mobility and development.
We pay an average of over 85% of the cost of medical benefits for employees and their families. We cover the total cost of dental, vision, life, and disability insurance. We offer a generous 401(k) match. And we offer a range of other benefits, from a wellness program to legal assistance.
What You’ll Do:
The Site Safety Manager is responsible for promoting and ensuring site safety and has a comprehensive knowledge for the day to day safety field operations for their assigned project(s) including planning, coordinating, and enforcing safety regulations and codes while serving as the company’s point of contact for owners, subcontractors, regulatory agencies and Webcor team for all safety related matters.
 Other responsibilities include:
Manage new hire safety orientation program and provide ongoing job specific safety training
Perform daily site safety inspections and the inspection of safety equipment; removal of any defective equipment and manage the fall protection equipment inspection procedures
Establish a schedule for the preparation, submittal, review, and acceptance of Job Hazard Analysis
Participate in safety pre-construction meetings and pre-work meetings
Serve as liaison for worker’s compensation reporting, case management, and recordkeeping and participate in Webcor claims management process
What You Need to Succeed:
Bachelor’s degree with an emphasis in Industrial Safety, Occupational Safety and Health, Industrial Hygiene, or related field preferred
Minimum of five years full-time safety experience, preferably in construction industry. Federal construction project experience preferred
Extensive working knowledge of OSHA regulations, NFPA standards or other applicable codes
Demonstrated construction safety experience with solid industrial hygiene field skill set
Advanced Safety/Industrial Hygiene Certifications (CSP, ASP, CIH, OHST, and CHST) preferred
Experience in dealing with regulatory agencies, safety and health professionals and legal representatives
Intermediate to advanced computer skills with the ability to use MS Office with proficiency (Word, Excel, Outlook, Project, and PowerPoint)
 The Legal Stuff:
Performance of the required duties will require physical ability to climb permanent and temporary stairs, passenger use of construction personnel hoists, ability to climb ladders and negotiate work areas under construction.  Specific vision abilities required by this job include close vision, peripheral vision, depth perception, and the ability to adjust focus.  Performing this job requires use of hands to finger, handle, or feel objects, tools or controls, sit, talk, hear, stand, climb, balance, stoop, kneel, crouch, or crawl.  While performing the duties of this job, the employee regularly works on-site at the construction work site where the employee is exposed to moving mechanical parts; high precarious places; fumes or airborne particles; outside weather conditions; and risk of electrical shock.  The noise in these work environments is usually moderate to very loud. 
 Webcor Builders is AN EQUAL OPPORTUNITY EMPLOYER.
#MON123
#KRT
BackShare
Apply Now"
Error loading,Error loading,Error loading,Error loading
Error loading,Error loading,Error loading,Error loading
Construction Project Manager,LavaRock LLC,"Los Angeles, CA","Join one of the Top Growing General Contractors in the Los Angeles Area. They have the area's most high profile projects and an Awesome company Culture.
Led by some the most highly successful industry veterans this opportunity will offer Top Compensation and benefits and excellent growth opportunities.
The Senior Project Manager is responsible for planning, organizing, and controlling of a project.
The Senior Project Manager will supervise a project team
Job Responsibilities includes (but may not be limited to):
Sets safety, quality, schedule, cost and owner relationship goals.
Provides input and supervises all pre-construction services such as purchase orders, subcontracts, schedules, job cost set-up, bid packages and project pre-planning.
Works with the VP of Operations to obtain the personnel resources required to properly staff the project.
100% Detailed/hands-on knowledge of Project Scope.
Reviews project proposal or plans to determine time frame, procedures for accomplishing project, staffing requirements and allotment of available resources to various phases of the project.
Manages the financial aspects of contracts; assures job margin analysis is completed on a regular basis.
Develops baseline project schedule with assistance from Superintendent and/or VP of Operations.
Monitors and reports project cost and schedule performance; recommends corrective actions if needed
Proactively identify changes in work scope and ensure appropriate planning measures are taken with internal and external project team members to reassess and amend the scope of work requirement and timeline.
Analyze and resolve issues that have the potential to jeopardize the ability to meet agreed upon deliverables.
Reviews change orders for accuracy.
Reviews and takes action on contractor pay requests and invoicing.
Reviews status reports prepared by project personnel and modifies schedules or plans as required; prepares project reports
Manages claims; identifies and resolves potential claims with subcontractors/suppliers.
Participates in project coordination meetings.
Ensures adherence to insurance, safety, labor relations, EEO and tax regulations.
Monitors and ensures quality control.
Works with Safety Director to ensure jobs have safe working conditions and safe work practices are in place.
Establishes and maintains positive relationships with key owners and architects.
Accountable for project completion and financials, Critical Success Factors, Customer Satisfaction Results.
Directs and ensures timely completion of project close-out activities.
Qualifications:
Bachelor’s degree in Construction Management, Engineering, Architecture, or related field.
Strong experience in project management for the construction industry.
Proficient computer skills in Microsoft Office Suite, Project Management software (Viewpoint or similar) and Scheduling software (Primavera or similar).
Extensive knowledge of construction methods and materials, costing, scheduling and estimating.
Demonstrated ability to lead people and get results through others.
Ability to organize and manage multiple priorities.
Problem analysis and problem resolution at both a strategic and functional level.
Excellent interpersonal and communication skills.
 Keywords: Construction Project Manager,  Project Manager in Los Angeles, Project Manager LA,  Commercial Construction Project Manager, Southern California Construction Project Manager, Mixed Use Project Manager, K-12 Project Manager, DSA Project Manager, OSHPD Project Manager, Multi Family Project Manager, MOB Project Manger, Corporate Office Construction Project Manager, Ground up Construction Project Manager, TI Project Manager"
Construction Project Manager,Michael Page USA,"Los Angeles, CA","Global civil construction firm based in Los Angeles seeking experienced Construction Manager to lead large transportation project.
Generous compensation package with competitive benefits
Excellent opportunity to join a market leading construction firm


Client Details

Client is a global civil construction company specializing in the transportation and infrastructure industries.

Description
Organize overall planning and executive of all activities to prioritize and meet critical deadlines to ensure maxium efficiency and productivity
Experience in usage of sound construction practices to attain required quality at minimum cost
Critical thinking - provides clear resolutions of difficult and complex issues during course of the project
Obtain accurate budget estimats and staffing requirements for entire project length
Prepares reports summarziing progression of all construction activities for higher-level management and clients
Monitor quality control


Profile
7+ years of infastructure heavy construction
Worked as superintendent or construction manager on civil construction projects
B.S. in engineering or other related field
Extensive experience leading teams of estimators, engineers
Experience preparing scope of work/budgets for proposals
Comfortable leading a team of 5-7


Job Offer
Competitive Base Salary
401K
Paid vacation"
Senior Construction Project Manager,Goldrich Kest,"Culver City, CA","The Senior Construction Project Manager is responsible for providing leadership and management to assigned projects in a safe, profitable, and timely manner. Manages the work in a manner consistent with standards of quality and integrity. Participates as requested in the marketing, estimating, bidding, and contract negotiation phases of the projects assigned. Primary function is to serve as champion for the execution of the work - preconstruction (when assigned) and construction.
Responsibilities
Has overall responsibility for project success, including profitability, safety, schedule, quality and customer satisfaction as well as responsibility for personnel decisions that impact the project. Plans, acquires, reviews, develops and manages the project team to ensure relentless execution of the project.
Establishes the project charter and a comprehensive project management plan (PMP) including the project scope management plan, procurement plan, environmental plan, time management plan, financial plan, quality management and safety plans and risk management plan to ensure successful project execution. Demonstrates a thorough understanding of the change management process.
Participates in the business development process including client contacts, relationships, proposals, presentations, and negotiations for selected projects.
Responsible for understanding and administering prime contract terms and conditions, contract documents, subcontract agreements, purchase order agreements, insurance, etc. Oversees and ensures all the processes involved in budgeting and controlling costs so that the project can be completed within the approved budget. Demonstrates business acumen within area of responsibility.
Participates in preparation and review of estimates with attention to the following: adherence to cost control system, equipment requirements and utilization, constructability, formwork, materials, manpower, general conditions, schedule, insurance, etc.
Champions the orderly, timely transition of projects from the estimating phase to the field. This transition shall include project review meetings, which encompass a review of contract requirements, general conditions, schedules, budgets, subcontracts, and purchase order agreements.
Supervise Project Managers and coordinates with the Project Superintendent the means and methods required for the successful and profitable execution of the work. Reviews and monitors manpower, equipment, and material resources to accomplish this goal.
Manages the development of the overall CPM schedule and assures coordination with the Project Superintendent and the procurement schedule with the Project Engineer. Ensures that as many levels of detailed schedules are prepared and distributed as required to support the project schedule. Pays special attention to prevention and documentation of delays or changes. Ensures that the Lean process is effectively utilized for all scheduling activities.
Responsible for the preparation of Monthly Progress Report including accurate cost projections.
Reviews, negotiates, and executes all change orders, supplements, and cost control budget adjustments.
Manages all billings to ensure timely submission of payment applications and collection of payments from the owner in order to maintain a positive cash flow position. Manages the overall payment process and follows all prompt pay laws with the subcontractors.
Responsible for the timely preparation and execution of purchase order agreements and subcontracts with respect to insurance certificates, bonds, and the appropriate lien waivers.
Completes close-out requirements and punch lists in a timely manner. Manages warranty callbacks quickly to maintain owner/client relationships.
Prevents claims, identify potential claims, quantify, mitigate/resolve the effects of those that do occur on a timely basis.
Requirements
6 - 10 Years’ experience in hands-on construction, operations and management.
Experience in preconstruction and in managing construction projects.
Thorough knowledge of contract documents, materials, equipment utilization, scheduling systems, productivity analysis, construction operations, and cash flow procedures is essential.
Proficient use of all Microsoft Office Suite and Outlook Programs.
Bachelor Degree strongly preferred and/or equivalent combination of technical training and related experience.
Goldrich Kest provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, veteran status, or any other consideration made unlawful by federal, state, or local laws. Goldrich Kest is committed to providing reasonable accommodation for qualified applicants, and employees with disabilities to ensure they enjoy equal access to all employment opportunities and benefits of employment as required by the Americans with Disabilities Act.
 "
Construction PM - Commercial/Industrial/Institutional!,CyberCoders,"Tarzana, CA","Based in beautiful Los Angeles, CA, we are a General Contractor that has been impressing our clients for over 60 years! We are both a General Building Contractor and a General Engineering Contractor with amazing clientele! Some of our clients are: BMW, Warner Brothers, Universal Studios, and Columbia/Sony Studios just to name a few! We provide many services including ground-up shell and core office, tilt-up, auto dealers, institutional, pre-engineered structures, industrial, aviation, structural steel, concrete and wood frame construction! We are a firm that puts our people before our business, because our people are what makes our business! You will be working with dynamic teams of professionals who are passionate about their careers as much as they are about the Clients we work with. We have an immediate need for a Construction Project Manager who has 15-20+ years of experience and wants to leave a lasting legacy in the Southland!
What's In It for You
- Excellent Compensation! ($110,000-$120,000 + incentives, bonus program, PROFIT SHARING)
- Company vehicle!
- Family First Culture!
- Complete Benefits!
- Medical, Dental, Vision!
- Long/SHort term disability!
- 401(k) Matching!
- Generous PTO!
- Aggressive Growth!
What You Will Be Doing
- Manage the development of multiple project delivery documents from pre-construction through close-out
- Collaborate with other Senior Team members to establish the program requirements for all areas of the project
- Work closely with other other managers, project engineers, and discipline leads to develop budgets, schedules, and plans
What You Need for this Position
15-20 Years of experience and knowledge of:

- Commercial/Industrial/Institutional Construction
- General Contractors
- Bidding
- Integrated Building Systems
- Tenant Improvements
So, if you are a Construction PM with Commercial/Industrial/Institutional experience, please apply today!"
Construction Site Manager,"EPCM-RMS, Inc","Carson, CA","Job Title:                              Construction Site Manager
 Reporting to:                       Project Manager Job Summary
The Construction Site Manager coordinates with the Project Manager, reviewing specifications and construction procedures and exercises functional authority for all scope of works and related construction activities. They will also coordinate directly with the Principle-in-Charge of overseeing the environmental risk management and compliance of the operation and maintenance of the landfill operations and maintenance systems.  
 Scope
 The Construction Site Manager reports to the Project Manager and is responsible for coordinating and reporting all construction activities on the designated project site.
 Task and Responsibilities
 Ensure that all construction activities within the designated areas are well planned, coordinated and be able to utilize all available resources in coordination with other functional Managers in directing and supervising all involved site personnel, contractors and
Confirm that all work is properly guided, in close cooperation with the projects plans and requirements to sustain the work efficiency and productivity through the completion of the
Reviews work in progress to ensure conformity with QA/QC specifications and requirements, Industry Codes, Standards and Procedures, mitigation measures, client requirements and provides technical insight to resolve
Advises the Project Manager in determining the need and procurement of services required to conform to the requirements, workloads, plans and
Interact with general contractors and their supervisors, discusses and review the project Key Performance Indicators to determine accurate status of the project and actions required to maintain the project on
Review reports from general contractors and their supervisors, and forward to Project Manager for corrective actions if project becomes behind schedule or over the
Ensure the accurate and timely collection and recording of quality and work progress. (photos, daily reports, QA/QC reports etc.)
Ensure the weekly reporting of progress to the Project Manager.
Perform on‐boarding and induction relevant to procedures, guidelines, policies,
 Complies with the highest level of quality, health, safety and environmental standards during all stages of project execution and pro‐active with safety groups and subcontractors to promote safe and hazardous free work within all the designated
Liaise with HASP representatives to ensure functional and complete functioning of HASP within all activities. Assist the HASP representatives with regards to site
Support and assist staff with skills training programs (if required), with the aim of increasing worker skills and personnel
Conduct regular performance appraisals with
Ensure that all personnel needed on site is communicated in a timely fashion with the Project Manager.
Ensure that all equipment, plant, machinery and vehicles on site have relevant certificates, tests, services, inspections, etc. as required by projects requirements.
Ensure all personnel on site have had the required training, induction, clearances, etc. to carry out their
 Required Knowledge, Skills and Abilities
 Competence and knowledge in the construction and monitoring thereof of
Competence in Construction Management skills, motivated, has strong leadership, able to encourage subordinates and other work groups to work as a
Knowledge of civil and structural codes and other associated codes used in the project, excellent technical background and skills in site master planning and development.
Able to coordinate a multi‐faceted workforce in a dynamic
Understanding of other disciplines like Electrical, Mechanical, Street Improvements, Utility Infrastructure, and Communication from site activities point of view.
Possess negotiation and influence skills, innovative, creative thinker, flexible and excellent organizer.
Has excellent oral & written communication in English and interpersonal skills.
Can work with less supervision and even under extreme pressure.
 Experience, Education and Formal Training es
 Minimum of 10 years’ experience in Project/Construction Management.
Minimum of 10 years’ experience in General Contracting.
Degree in Project Management, Civil Engineering; or equivalent.
Experience with Land-fill Operations and Brownfield Development a plus.
HAZWOPER 40 Certification
Certified Quality Storm Practitioner (QSP)
Must have advanced skills in Microsoft Office
California Driver’s license"
Residential Construction Project Manager/RELOCATION FOR THIS ROLE IS ACCEPTABLE,ACT-1,"Santa Monica, CA","Job Description:
MASSIVELY EXPANDING RESIDENTIAL CONSTRUCTION OPPORTUNITY AVAILABLE. This Employer focuses on executing and being fully integrated on all aspects of their projects from inception to full execution. As a KEY PARTNER TO THIS WELL KNOWN CO. you will be executing the: ?Overall responsibility for the successful initiation, planning, design, execution, monitoring, controlling and overall closure of residential high rise projects. Scheduling: ?Developing, tracking, and maintaining project schedules ?Reviewing critical path, and quickly adapting or accelerating projects to meet deadlines ?Reporting, and updating directors of project schedule Management and Leadership: ?Oversee tendering process and contract administrator ?Overall planning and defining of project scope for all subcontractors, and employees ?Project resource allocation from internal and external resources. ?Project documentation, communication and reporting ?Cost estimating, and budget development in collaboration with senior directors ?Oversee project team including Project Coordinators, Superintendents and Project Engineers ?Ensure project is built on budget, on schedule and on drawing specifications. For immediate, and confidential consideration, please forward your resume through a Microsoft Word document, and contact Gladys Beltran at the Act1 Los Angeles office after forwarding the profile.
We are an equal employment opportunity employer and will consider all qualified applicants without regard to race, color, religion, sex, sexual orientation, age (40 and over), gender identity, national origin, protected veteran status, disability or any other protected classification under federal and state law. You can view all of our jobs online at http://www.act-1.com/?sc=11&id=1281732

Job Experience:
,, Individuals that possess an industry track record are highly encouraged to apply. Actively interviewing for this great career role."
Construction Project Manager & Estimator,Exbon Development Inc.,"GARDEN GROVE, CA","Choosing The Most Ethical Way, Not The Fastest Way to Success.
As a general contractor providing commercial and public building-related construction, our dedication to quality, efficiency, and safety has made us a leader in the general construction industry. We are an organization where your career success lies in your own hands with proven talent and performance.
Currently recognized employees at EXBON got to be in the driver seats by as early as their second year. We look to fill our future open roles from within and this is a great way to get your foot in the door and continue to grow within the company. Therefore, we are looking for individuals with passions and commitments parallel to our culture.
Establish A World-Wide Recognition As A Dominating Construction Company.
With our proven record of successfully working at various constructions sites for the past decades, we now have the resources, knowledge, and experiences to undertake ANY JOB, ANYWHERE around the world. We also have been continually completing many projects for U.S. government agencies throughout the country, seamlessly utilizing our integrated construction system tools that allow for sophisticated work sharing, fast and reliable communications and sequencing.
 Benefits
As an Exbon team member, not only will you benefit from the invaluable insight and experience gains but you will also benefit from undeniably competitive compensations for your loyalty and dedication.
 Prestigious Compensation
401K Plan
Incentives
Vacation & Sick Day
Medical Insurance by one of premier insurance companies (Family Plan Included after a period of employment)
PTO (One Day every other week. Only for those who travel)
All paid family invited annual company trips
Lunch
Cell phone Bill Reimbursement (Exceptions Apply)

Position: Construction Project Manager
 Job Description:
At Exbon, Project Managers are responsible for all project phases including scheduling, cost control, and field coordination.
Most important functions include oversight of the successive phases of projects, managing resources, managing client expectations, providing unequivocal leadership, and complying with Exbon’s business and legal policies and protecting the Company from unnecessary risks.
Project Manager ensures the overall safety scheduling and team development of his/her assigned project, with an eye to meeting customer expectations and in keeping with Exbon’s standards of excellence.
Project Manager must also be able to understand the contract and scope of work thoroughly, establish project objectives, policies, procedures and performance standards within the boundaries of Exbon’s policy, and effectively communicate them to the project team including any subcontractor for the project.
 Project Manager will work closely with the client, Exbon management team, project leads and superintendents, and Senior Project Managers, and provide clear directions and coordination to all project team members.
 Job Requirements
Strong Communication Skills in verbal and written
Strong Team Leadership
Ability to multi-task under time constraints
Proficiency in MS Office, Project, Auto CAD and etc.
Unit Price book estimate experience (e.g. eGordian or RSMeans) is a plus
Flexibility with travel requirements & overtime as necessary
US citizenship preferred for government security clearance
Bachelor's Degree in Architecture, Civil Engineering or other Engineering
3 or more years of public construction work experience is a plus

Position: Estimator
 Job Description
As an Estimator at Exbon, you will develop budget estimates by performing accurate take offs with given specs and information. You will review the scope of assigned work and provide accurate estimate. Estimator will assist you with all phases of the bidding process as needed such as prepping bid invitations and sub call-outs. Moreover, you will collect subcontractor bids or vendor quotations and evaluate with all phases of construction work in mind. 
 Responsibilities
Establish bid strategy
Identify risk and advantage of the bid
Analyze competitors, trend, locality, owner's characteristics, etc
Review and finalize SOW and RFP
Develop and analyze value engineering and management option
Prepare conceptual budget based on minimal information
Analyze estimate vs actual construction cost
Prepare estimate checklist and timeline
Maintain and communicate data on construction and material cost trends
Job Requirements
5+ years of estimating, cost management, and/or project management experience in public works
Degree or Certificate in Civil Engineering, Construction Management, Construction Engineering, Structural Engineering, Architecture or other field of Engineering preferred
Strong proficiency with : RSMeans, E4Clicks, eGordian and Multiple Trades
Intermediate to Advanced level in MS Office (Word, Excel and MS Project)
Experience in BIM, LEAN and LEED practices is a plus
Knowledge of On-Screen Take-off software is a plus
Strong Organizational skills, flexibility, and ability to priopritize work assignements
Ability to work outside year-round in all types of weather conditions and travel throughout construction sites during all phases of construction
Extreme attention to detail
Excellent written and oral communication skills
======================================================================================================
Email Resume : hr14@exbon.com
Please visit our website, www.exbon.com to learn more about our company and values.
Exbon Development, Inc. is committed to the principles of EEO (Equal Employment Opportunity)"
