,0,1,2,3
0,Certified Nursing Assistant (CNA),Pacific Coast Health Care,"San Diego, CA","We are looking to hire CNA's to work in a hospital setting. Any one interested must have experience in either a skilled nursing setting, assisted living setting, or in a hospital setting. You DON'T have to have hospital experience in order for us to get you the position at the hospital we are recruiting for. This is Full Time work and you must be able to book yourself for 3 twelve hour shifts a week and be able to work 1 Saturday or Sunday 3 times a month. These are 12 hour shifts so you do get paid time and half for the last 4 hours of each 12 hour shift worked! Also, once you become eligible we do offer healthcare benefits and 401K. If this is something you are interested in please respond back to this ad with your resume attached. Once we receive your resume someone from our team will give you a call. Thanks again for your interest and we look forward to speaking with you."
1,CNA for Assisted Living/Per Diem,Seacrest Village Retirement Communities,"Encinitas, CA","WE ARE ABOUT PASSION.PEOPLE.PURPOSE. WE ARE Seacrest Village Retirement Communities andhave been serving the SD community for 70+ years as a not-for-profit senior housing organization with 4 levels of care; Skilled Nursing, Assisted Living, Memory Care, and Independent Living. Our reputation is known nationally & particularly at home in San Diego. Monumental support comes from a community of donors who wants only the best for our residents and for our employees.
Dear Applicant:
Thank you for your interest in working for one of the Best Places to Work in San Diego County! This honor is proven each year by our employees voting us as a TOP WORKPLACE Award Winner.
In order to be considered for a position with Seacrest Village Retirement Communities all candidates must complete the online application located on our website. Resumes only will not be accepted without completing the online application. EOE"
2,Caregiver and CNA,Coast Care Partners,"La Mesa, CA","Coast Care Partners provides quality care to Adults and Seniors all throughout San Diego County. Our company has been growing! WE ARE NOW HIRING Certified Nursing Assistants and Caregivers for In Home Private Clients as well as Skilled Nursing Facilities (SNF), Assisted Living (ALF), Independent Living (IL) and Senior Living Communities.


To apply now, please click here! →  https://coastcare.clearcareonline.com/apply/


Any candidate with experience in Home Health Aide (HHA), Medical Assistant (MA), Personal Care Assistant, Caregiver, in Nursing School or have a Healthcare background you are encouraged to Apply Today. Experience is not required, our trained staff will help you grow and develop.

What We Offer:

Flexible Hours-- MAKE YOUR OWN SCHEDULE!! 
Full Time or Part Time hours available
Sick Time
On-the-Job Training is available from our Care Managers, including Registered Nurses (RN) and Licensed Clinical Social Worker (LCSW) 

What We Do:

We provide the following services for our clients:
Dementia, Alzheimer's, Parkinson's, Companionship, Hospice, Sitter Service, Housekeeping, Activities of Daily Living (ADL's), Stroke, Post Surgery, Respite Care, Incontinence Care, Medication Reminders, Bathing, Fall Prevention, 

Our clients are located all over San Diego including but not limited to the following locations:
San Ysidro, National City, Chula Vista, Imperial Beach, Ocean Beach, Pacific Beach, El Cajon, Spring Valley, Lakeside, Santee, Alpine, Ramona, Mira Mesa, Mission Valley, Clairemont, La Jolla, Del Mar, Solana Beach, Poway, Escondido, Vista, Oceanside, Carlsbad, Encinitas, Fallbrook

Why Choose Us?

We are truly glad that you are interested in joining our team. This is why you're going to want to complete our application:
You want a career instead of a temporary, dead-end job
You want to be in a stable and growing company, where you will start working quickly and will continue to be matched with clients with whom you can thrive
You want benefits such as health insurance and sick pay so that you are able to care for yourself first
You want to be supported by a team with Unmatched Expertise: nurses, social workers, and senior care specialists to help you develop as a professional Caregiver and to ensure our clients receive the best care possible

What We Need:

California State Requirements Include: State Background Check (LiveScan), Negative TB Test and Home Care Aide Registration. Successful completion of these requirements are required before you actually start working. 
If you have the above requires completed you can attend our next available Information Session and begin working the next day! 


To apply for this available position, please click here to be directed to our online care giver application  https://coastcare.clearcareonline.com/apply/

Please feel free to visit our website for more information about Coast Care Partners: https://www.coastcarepartners.com/"
3,CNA for Skilled Nursing FT/Per Diem,Seacrest Village Retirement Communities,"Encinitas, CA","WE ARE ABOUT PASSION.PEOPLE.PURPOSE. WE ARE Seacrest Village Retirement Communities andhave been serving the SD community for 70+ years as a not-for-profit senior housing organization with 4 levels of care; Skilled Nursing, Assisted Living, Memory Care, and Independent Living. Our reputation is known nationally & particularly at home in San Diego. Monumental support comes from a community of donors who wants only the best for our residents and for our employees.
Dear Applicant:
Thank you for your interest in working for one of the Best Places to Work in San Diego County! This honor is proven each year by our employees voting us as a TOP WORKPLACE Award Winner.
In order to be considered for a position with Seacrest Village Retirement Communities all candidates must complete the online application located on our website. Resumes only will not be accepted without completing the online application. EOE"
4,Certified Nursing Assistant - CNA - Arroyo Vista Nursing Center,Ensign Services,"San Diego, CA","Certified Nursing Assistant
Shifts: AM - PM -- NOC
Licensure: California Certified Nursing Assistant License
We are looking for CNAs to join our amazing team here at Arroyo Vista Nursing Center! Please apply and become part of the family!
New grads welcome!
In addition to hiring Certified Nursing Assistants (CNA) who exhibit the below qualities that help us create a world-class culture, we offer competitive wages, mentorship & training for new graduates, tuition reimbursement, dependent care, public transportation FSAs, cell phone and movie ticket discounts, 401(k) w/matching contributions, career advancement opportunities, medical, dental & health insurance.
Are you ready to discover the world of limitless possibilities that come with being a member of our culture? Are you a Certified Nursing Assistant who is eager to make a difference? Explore more about this opportunity and how you can help us write a new chapter in our story of providing exceptional care and making a positive impact in the lives of everyone we serve.
Living CAPLICO
Customer Second: When we take care of our team first, it reflects positively on our customer care.
Accountability: We strive for quality of life and reach for high standards as a team.
Passion For Learning: We want to be at the forefront of change; there is always something we can learn.
Love One Another: Treat others the way you want to be treated. Its simple, yet effective.
Intelligent Risk Taking: If something makes sense, were willing to give it a try.
Celebration: We celebrate life every day of the year with our teammates and residents.
Ownership: When everyone on the team is encouraged to take ownership of the care that they give, it positively improves their attitude, which affects everyone around them, from teammates to residents.
We are looking forward to hearing from you!
Arroyo Vista Nursing Center
3022 45th Street
San Diego, CA 92105
http://arroyovistacare.com/
The employer for this position is stated in the job posting. Ensign Services, Inc. provides recruiting services for operations in the skilled nursing, assisted living, home health and hospice industries.
Back to Jobs

Ensign Services provides recruiting and placement support services to operations in the health care industry. These employers all offer a work environment where local leaders and teams are empowered to achieve superior clinical outcomes, high patient and family satisfaction, operating efficiencies, and financial performance. We engage in a collective quest to develop and support employees so they can deliver dignified, quality health care experiences to patients in the communities they serve.
It is the policy of the Company to be an equal opportunity employer. The Company is committed to ensuring that all conditions and privileges of employment, including recruitment, hiring, evaluation, transfer, promotion, discipline, determination of compensation and/or benefits, and termination of employment, for all job classifications, are based on qualifications and work record. No employment decision is made, nor does the company discriminate, on the basis of race, color, religion, creed, sex/pregnancy, sexual orientation, gender identity, gender expression, age, national origin, ancestry, citizenship, veteran status, or disability.


Posted 5 Days Ago

Full time

JR15767"
5,Certified Nursing Assistant,Kaiser Permanente,"San Diego, CA","Description:
The Certified Nursing Assistant (CNA) assists licensed nursing personnel in the provision of nursing care. They will complete their tasks/duties under the supervision & direction of an assigned Registered Nurse (RN) and/or the Charge RN. CNA works with and supports the nursing team in providing services, which meets the patient's & unit needs.All tasks will be carried out according to patient & family needs in relation to age-specific & age-appropriate levels of care.


Essential Functions:
- Under the supervision of a licensed nurse the CNA can provide care & assist patients with the following tasks:
- Patient care tasks safety needs - Use of: Hourly Rounds; participate in Unit fall prevention program; participate in workplace Safety program; patient mobility safety alarms; lifting equipment; bed rails; bed level; Isolation & Personal Protective Equipment; chemotherapy precautions; oral pharynx suctioning; patient surveillance assignment; restraints.
- Personal Hygiene Needs: Oral/mouth care; bed bath; shower; sitz bath; A.M./P.M. care; Peri-Care; routine skin care, applying over-the-counter creams & ointments for prophylactic treatment of skin conditions; apply pediculocides & comb hair to remove nits.
- Comfort Measures: Passing & refilling water pitchers; catheter care, including applying & removing condom catheter; daily linen change; post-mortem care, as assigned; use of nursing comfort skin care products (NOTE: Does not include products obtained from Pharmacy ); unhooking & re-hooking of NG tubes during ADL's; warm & cold therapies including warm & cold compresses, ice bag, ice collar, ice glove, dry code pack, heated soaks & whirlpool or sitz bath.
- Nutritional Needs: Preparation of patient meal trays, snacks & fluids as directed by the RN; feeding techniques; weighing (standing, chair scale, bed scale, sling scale).
- Patient Transport: To procedures, to other units & for discharge as directed by Primary Nurse and/or Charge RN.
- Patient Equipment: Apply sequential compression devices, assist patients in & out of Continuous Passive Motion machines; pelvic traction; cervical collar; charnley pillow; overhead frame/trapeze, vital sign monitoring equipment; patient lift and/or transfer equipment (Hover Mats, Sara Lift, Cardiac Chair).
- Other Tasks/Duties: Bladder scanning; collect clean catch urine specimen; obtain a sterile urine specimen from the port of a catheter; assist patient with coughing & deep breathing; suction oral pharynx; equipment cleaning; battery changes of equipment; specimen collection & transport; unit duties as assigned.
- Data collection vital signs: Temperature, pulse & respirations; blood pressure - manual & electronic on upper arm, thigh, & lower leg, including orthostatic blood pressure readings; pulse oximetry; height & weight; measure, record and/or empty output from drainage devices & closed drainage systems.
- Documentation: CNAs are to record data collected & duties performed on the following documents according to hospital policy: intake & output sheet; calorie count sheet; flow sheets as appropriate (for example, restraint flow sheet, 24-hour flow sheet); graphic sheet; signature ID sheet; admitting database (profile, day of event summary, outpatient procedure form; document flow sheet for patients under 1:1 observation.
- Communication: Utilizes appropriate verbal & nonverbal skills which demonstrate respect for patients, patient's
property & coworkers; notifies RN of patient need for modification devices for decreased sensory or cognitive function (glasses, hearing aid, TDD, closed caption TV).
- This job description is not all encompassing.
Basic Qualifications:
Experience
- Current Certified Nursing Assistant (CNA) and minimum of six (6) months experience as a Certified Nursing Assistant in an acute care hospital, skilled nursing, extended care, or clinical outpatient setting.Education
- High school diploma or GED.
Licenses, Certifications, Registrations
- Current CNA certification by the State of California.

- Valid BLS card.
 
Additional Requirements:
- N/A.

 
 
Preferred Qualifications:
- N/A.



Notes:

- Works Non-Payday weekends. 

- Scheduled work hours per week will be 20-32. "
6,Certified Nursing Assistant,NursingJobs,"San Diego, CA","Certified Nursing Assistant opportunities at all local St Joseph’s hospitals
Mission Hospital Laguna Beach
St. Joseph Hospital Orange
St. Jude Medical Center
Mission Hospital Mission Viejo
St. Mary Medical Center
These facilities pride themselves on the compassionate caregivers, clinical excellence, and award-winning care. The patients and families are the center of every thought, communication and action that takes place in this healing space.
 all shifts available
per diem and block booking

Required Qualifications:
1 year of acute care experience in the last 3 years
active unrestricted license
Current BLS
please call for more details"
7,Certified Nursing Assistant Part Time Days San Diego - (Job Number: 349273),Kindred Healthcare,"San Diego, CA","Description

Kindred Transitional Care Hospitals has a career opportunity for you as a Certified Nursing Assistant! As a division of Kindred Healthcare, we play a vital role in the recovery process for chronic, critically ill and medically complex patients who require acute care and rehabilitation over an extended period.

Your career growth begins when you join an interdisciplinary team, where doctors, nurses, therapists and other experts work together to form individualized care plans for our patients and residents. Opportunities through our development programs, training seminars and university partnerships, not only allow for continual career growth but emphasize our commitment to investing in our employees and developing future healthcare leaders.

The goal of our team is to deliver intensive, multidisciplinary care and transition patients’ home or to a lower level of care as quickly and safely as possible. Each employee’s dedication is essential to meet and exceed the needs of each patient, resident and family we serve. Ranked as one of Fortune magazine’s “Most Admired Healthcare Company” for 8 years, Kindred welcomes you to join our team and build a career that touches lives.

As a Certified Nursing Assistant / CNA you will:
Assist nursing staff with patients' personal care, emotional support, and activities of daily living.
More complex duties performed under supervision of professional nursing personnel.

cna, cna nursing assistant can, caregiver, home health aide, direct care, pca, Certified Nursing Assistant, Certified Nurses Assistant, Certified Nurse Assistant, CNA, Nursing Assistant, Nurse Assistant, NA, Hospital,  Healthcare, Long Term Acute Care, Transitional Care Hospitals, Aid, Aide, Assistant, Assisted Living Facility, Caretaker, Caregiver, care giver, Certified Medical Assistant, Certified Nursing Assistant, Certified Nurses Aide, CMA, CNA, CAN job, Companion, Customer Service, Direct Care, Direct Support Professional, Daily Living, Entry Level, Entry Level Job, Facility, Healthcare, Helper, HHA, HHA job, Home Care, Homecare, Homecare Assistant, Home Care Assistant, Home Health, Home Health Aide, Homemaker, Home maker, Hospice, Hospice Aide, Hospital, housekeeping, PCA, PCT, PCW, Patient Care Aide, Patient Care Attendant, Personal Care Aid, Personal Care Aide, Personal Care Attendant, Personal Care Worker, Preparing meals, Private Duty, Private Duty Aide, PRN, PDM, Part Time, Part-Time, Retail, Running errands, sitter
 
#MON-HD

#LI-HD

Qualifications
As a Certified Nursing Assistant / CNA you will have:
Completion of course for nursing assistants.
Current Nursing Assistant Certification.
BCLS Certification.
Minimum six months experience in acute or long term care facility.

 If you are a current Kindred/RehabCare employee Click Here.

Job: Aides/Assistants/Coordinators/Care givers
Primary Location: CA-San Diego-Kindred Hospital - San Diego
Shift: 4848 - Kindred Hospital - San Diego"
8,Certified Nursing Assistant (CNA).,Covenant Care - Resource Center,"La Jolla, CA","Certified Nursing Assistant (CNA) - Employee Bonus $500  
 La Jolla Nursing and Rehabilitation  in San Diego is looking for an experienced and loyal Certified Nursing Assistant (CNA) to be part of their team. We are Families serving Families and our nurses are a valued piece of that vision.
 La Jolla Nursing is a member of Covenant Care, and our “family” includes over 8,500 professionals in 7 states running 55 skilled nursing facilities, 4 residential care facilities, a therapy services company, and a home health company.  Managing risk has been critical to our success in the dynamic long-term care industry.  We have a strong commitment to providing our residents with excellent care and service in a pleasant, comfortable setting.
   
 
We have an opening for a CNA on each shift so we can offer flexibility based on your preferences.  Our CNAs do work a 4 day on / 2 day off rotation. The schedule can be Days, Evenings or Nights depending on what works best for you.    All Shifts are Full Time schedules.  
 Important qualties we look for in our CNAs:
Pride in providig top quality care for your patients.
Love serving residents and buliding relationships with their family as well.
Strong desire to treat all people with dignity and respect.
Passion to be in a team that works together and supports each other.
  We have competitive pay rate ranges.  Our pay rates are $14.00 - $17.00 / hour.
   POSITION SUMMARY:  The primary purpose of this position is to provide each of your assigned residents with routine daily nursing care and services in accordance with the resident's assessment and care plan, and as may be directed by your supervisors.
 KEY JOB FUNCTION:
Maintain and use current, appropriate clinical knowledge of all required nursing policies and procedures.
Provide the clinical and support services needed to meet all physical and psycho-social needs of the residents and patients.
Know and follow the law and company policy about promptly reporting accidents/incidents, injury, or suspected abuse.
Provide support and assistance with grooming, including shower as scheduled, oral care, hair care and nail care.
Provide patient and resident summary of condition at change of shift.
Proper use of techniques and equipment to ensure safe movement of patient/resident and prevent employee injury.
Notifies charge nurse/supervisor of significant changes in condition or concerns promptly including but not limited to: Resident incidents, safety concerns, skin changes, equipment malfunction, and resident health/status change.

A High School diploma or equivalent.
A Certified Nurse Assistant (CNA) certification in accordance withCalifornia law.
Must meet the general health requirements set forth by the policies of the facility or department which may include a medical and physical examination."
9,Certified Nursing Assistant,California Prison Health Care System,"San Diego, CA","Certified Nursing Assistant
$15.93 - $19.95 Hourly Range

A Certified Nursing Assistant, Correctional Facility, under medical or licensed nursing supervision, performs simple nursing tasks involved in the care of physically ill or disabled patients in a State correctional facility in the California Department of Corrections and Rehabilitation; assists the physician or nurse with examination and treatments of patients; motivates and assists patients in developing and utilizing their maximum potential for self-care; maintains order and supervises the conduct of inmates or patients; protects and maintains the safety of persons and property; maintains security of work areas and work material; and does other related work.

Please review the appropriate bulletin/assessment on the Bulletin Page for the Minimum Qualifications and, if qualified, complete the Assessment according the instructions.

Apply for this position by clicking “Apply Now” at the top or bottom of this job posting. Contact Kristen Self at 661.664.3238 for your questions regarding the application process, and/or status of your application. Hiring Unit Contact: Dolly Meneses (619)661-8656 or Dolly.Meneses@cdcr.ca.gov

EOE





 

  "
