,0,1,2,3
0,Licensed Vocational Nurse - LVN,HCR ManorCare,"Walnut Creek, CA","HCR ManorCare provides a range of services, including skilled nursing care, assisted living, post-acute medical and rehabilitation care, hospice care, home health care and rehabilitation therapy.
The Licensed Vocational Nurse - LVN is responsible for supervising nursing personnel to deliver nursing care and within scope of practice coordinates care delivery, which will ensure that patient s needs are met in accordance with professional standards of practice through physician orders, center policies and procedures, and federal, state and local guidelines. This LVN position is a staff position that has direct care responsibilities as well as supervisor responsibility for nursing assistants. We are looking for clinicians who would like to combine their love for people and strong work ethic with the opportunities to advance their career.
In return for your expertise, you'll enjoy excellent training, industry-leading benefits and unlimited opportunities to learn and grow. Be a part of the team leading the nation in healthcare.
479 - ManorCare Health Services - Walnut Creek, California
One year prior nursing experience preferred.

Education Level:
Currently licensed as LPN in state."
1,Travel Licensed Practical Nurse LPN Pediatrics,OneStaff Medical,"SAN FRANCISCO, CA","Date Posted:2018-12-21
Occupation Category: 29-1065.00 - Pediatricians, General
JOB DESCRIPTION
Travel Licensed Practical Nurse LPN Pediatrics
Location:SAN FRANCISCO, California
Shift:  8:00 am - 4:30 pm includes a 30 min break
Start Date:  12/26/2018
Speciality:  LPN - PEDS - PEDIATRICS
Hiring Organization:   OneStaff Medical

Description:

We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we’re here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help.

Now back to what you’re here for; we’re looking for a Travel Licensed Practical Nurse LPN Pediatrics to join our family, and well, that’s you! So check this out…

Pediatric Nurses work with patients from infancy to young adulthood, giving developmental screenings, immunizations, and treating common illnesses like chicken pox and tonsillitis. They work closely with family doctors, pediatricians and other nurses, to provide preventative as well as critical care. As a Pediatric Nurse, you’ll also teach your patients’ parents and family members how to prevent childhood diseases, and about proper nutrition for growth and development.
Experience Requirements:
Minimum 1 year of current work experience in Travel Licensed Practical Nurse LPN Pediatrics
California state Healthcare Provider license or willing to obtain
This position may require one or more of these certifications: BLS, PALS & possibly others
Benefits:
Are you in? Do we need to further convince you why OneStaff Medical is your ideal travel partner? How about:
A dedicated expert (our recruiter) to be by your side 24/7; every step of the process, and to ensure you get exactly what you are looking for!
All the good stuff like; Medical/Dental/Vision Insurance & 401K
Dream assignments all across the country; from sunny California, down to sun-kissed Florida, we got ‘em!
Travel reimbursement as part of your weekly pay!
Licensure and certification reimbursement to our return travelers, when needed for new assignments!
Some hot-hot-hot referral bonuses! (uh hum, so travel w/ an amigo(a) and get paid $500!)

…and FREE super soft premium scrubs through our partners, FIGs scrubs, to all of our loyal return nurses!
If you have questions about details on this assignment, fill out a QUICK APPLY and one of our recruiting specialists will reach out promptly to talk you through it all.
Contract"
2,Error loading,Error loading,Error loading,Error loading
3,Director of Nursing (DON) - LVN,Belmont Village Senior Living,"Albany, CA","Director of Nursing (DON) - LVN
Belmont Village Senior Living
Albany, CA
Belmont VillageSenior Living is a certifiedGREAT PLACE TO WORK®and ranked #15 onFORTUNE’s Top 50 Best Workplaces in Aging Services! Our employees say the reasons why are a positive companyculture, competitive pay, excellent benefits, bonuses and career growthopportunities. Join our dedicated team to help make Belmont Village Albany a Great Place to Work and Live!
Belmont VillageAlbany - Independent Living, Assisted Living and Memory Care community is in searchof an experienced director level RN or LVN to manage a team of licensed nurses andcare staff, ensuring regulatory compliance. In this role, you will serveas liaison between physician offices, residents, family and Belmont Village asit pertains to the wellness of the patients.

#MON #IND
ESSENTIAL FUNCTIONS
Coordinates, directs and supervises the LVN’s and Medication Aides regarding the medication administration and wellness programs.
Coordinates supervision of the Caregivers regarding ADL’s, activities and housekeeping for the residents.
Coordinates with the Executive Director as to appropriate hiring, training, evaluation, orientation, assignments and delegation of duties for the LVN’s, Medication Aides and Caregivers.
Responsible for overall regulatory compliance and quality of medication program.
Liaisons between physician offices, residents and Belmont Village.
Liaisons between family, significant others etc., and Belmont Village as it relates to the Resident Service Plan and Wellness issues for the residents.
Coordinates and maintains the Wellness Center and Wellness Program
Initiates the initial Resident Service Plan on all new residents in cooperation with the Admission Assessment Team.
Assists with implementation of the Resident Service Plan to all staff members.
Works within guidelines of the Nurse Practice Act.
Performs and supervises minor emergency care and assessments.
Ensures physician directives and orders are accurately and promptly transcribed and enacted.
Monitors resident records for accuracy and regulatory compliance at least once per quarter.
Conducts and/or participates in the resident admission and quarterly functional assessments.
Implements established policies and procedures, educating support staff as indicated.
Maintains a safe work environment.
Supports and assists in daily staffing coverage as needed.
On-call for all nursing issues within the community.
Reports all changes in resident condition that would affect service levels and staffing needs to the Executive Director.
Will hold LVNs, Medications Aides and Caregivers accountable to report changes in resident condition and Level of Service needs
SUPERVISORY RESPONSIBILITIES
Nursing staff
Medication Aides
Staffing Coordinator
Caregivers
REQUIREMENTS
Current Nursing license
Minimum two years managerial or supervisory experience
Minimum two years experience as DON in hospital or community based program
Proficient in written and verbal English
Proven organizational and communication skills
Ability to work flexible schedules in 24 hour operation including weekends
Interest in working with senior population
Must successfully complete:
TB skin test or chest x-ray
State fingerprint and FBI background check
Health Screening for this position
Basic First Aid training
PREFERENCES
More than one year long-term care experience.
BSN or RN degree.
More than two years managerial or supervisory experience.
Belmont Village Senior Living offers full-time employees benefit plans including medical, dental, vision, prescription, short-term disability, long-term disability, life insurance, PTO and 401(k) savings.
Belmont Village Senior Living is an EOE/Drug Free work place."
4,Licensed Practical Nurse (LPN) - San Francisco,Sunrise Senior Living,"San Francisco, CA","Overview
""It makes me feel good knowing that we make the residents’ lives better. We laugh with them, cry with them, sing and dance with them – we brighten their day. Working here is an unbelievable privilege and it will be something I carry with me for the rest of my life!""

- Sunrise Team Member
  At Sunrise, our The Licensed Practical Nurse/Licensed Vocational Nurse (LPN/LVN) is responsible for providing direct resident care and supervision of resident care work of non-licensed team members in the skilled nursing operations and other areas throughout the community as appropriate.

Responsibilities
 Responsibilities:
- Ensuring quality assurance and regulatory compliance while promoting the highest degree of quality care and service
- Overseeing coordination of residents’ health and wellness needs
- Working closely with family members and consulting with community physician(s) to ensure residents’ needs are being attended to in a personalized way
  Qualifications:
- Graduate of approved college/school of nursing
- Have a current state license as a Practical Nurse/Vocational Nurse
- A minimum of one (1) year experience in long term care, assisted living, skilled nursing, hospital, and/or full service operations
- Demonstrated knowledge of nursing practices, techniques and methods as applied to skilled nursing and resident care
- Demonstration of knowledge of federal, state and local long term care regulations
- Understanding of the Resident Assessment Instrument (RAI) and the Care Plan Process
- Ability to handle multiple priorities
- Possess written and verbal skills for effective communication
- Competent in organizational, time management skills
- Demonstrates good judgment, problem solving and decision making skills
- Proficiency in computer skills, Microsoft Office (Windows, Outlook, Excel) with the ability to learn new applications
 Sunrise maintains a drug-free work environment and all offers of employment with Sunrise are conditioned on submitting to and successfully completing and passing a drug and alcohol test.

Qualifications
Sunrise Senior Living has championed quality of life in senior care for more than 30 years. We believe team members are our greatest resource and are looking for people who share our commitment to provide quality care for seniors and their families.
 At Sunrise, you will…

Make a Difference Every Day
We deliver high-quality care with a personal touch and encourage our residents to enjoy life to the fullest.
  Be Part of a Uniquely Supportive Community
We care for residents and each other, and offer programs, rewards, and benefits to help you live your best.
  Ignite Your Potential
You have the opportunity to grow both personally and professionally, and achieve your career goals."
5,*Are you a CNA / LVN / HHA? Apply Now*,Honor Home Care,"Brisbane, CA","92% of Honor’s caregivers love their job.
Why? Because we treat caregivers like true professionals (that’s why we call them Care Pros!). We pay for better performance, offer more convenient and flexible jobs, and provide real-time information they need to care for their clients.
We believe that happy caregivers provide better care, and we are committed to offering the best possible care to our clients. It’s no surprise that Honor is the fastest growing home care company in the Bay Area.
 
 What you get as an Honor employee:
Pay for performance: Compensation is $14-18/hour, with full time and part time positions available, paid overtime, and 1.5x times holiday rate. We pay more for harder to serve clients, and strong performance.
 
 
 Your choice of jobs: Using your phone, you can immediately apply to and pick up jobs based on your availability.
Convenience: As the Bay Area’s largest agency, our large client base allows us to staff you closer to home, and offer additional hours if you’d like more work. And if you ever have a problem, just call our 24/7 Care Pro support line.
Tools to do your job well: Our caregiver app tells you everything you need to know about your clients, has training reminders for specific conditions, lets you write notes after each care visit, see clients’ great feedback on you--and much more.
Other benefits:
Health benefits based on eligibility
Weekly direct deposits
Generous referral bonus program
 
 What we’re looking for:
Honor hires amazing caregivers to provide non-medical care for older adults. Do you have experience in paid caregiving? Are you compassionate, patient, caring, and reliable? Do you feel a calling to help others? If so, we’d love to hear from you.
Our requirements:
21 years or older
California Driver's License or ID
Minimum of 6 months of paid caregiving experience OR one of the following certifications: CNA, HHA
Two (2) professional references in senior care
Negative tuberculosis test (TB) or chest X-ray (we pay for this)
Must have skills & qualities:
Lifting and transferring adults
Diaper and brief changing
Bathing and toileting
Punctual, reliable and professional
 
 If you have an HCA, even better!
 
 If you have questions, give us a call at (415)-360-0078. We're here to help!
 
 Thank you for caring!
 "
6,LVN/Psychiatric Technician,Westside Community Services,"San Francisco, CA","JOB DESCRIPTION
TITLE: LVN/Psychiatric Technician
STATUS: Full-Time/Non-Exempt/37.5 hours per week
PROGRAM/DEPARTMENT: Integrated Service Center
IMMEDIATE SUPERVISOR: Crisis Program Manager
SUMMARY OF POSITION RESPONSIBILITIES:
Under the supervision of the Crisis Supervisor, the LVN/Psych Tech will perform detailed
initial assessments of eligible walk-in clients, present clinical information to the psychiatrist, manage front desk triage, and complete all required paperwork.
GENERAL DUTIES:
Perform new client intakes; complete the clinical portion of the psychiatric assessment; complete all required forms requiring the client’s signature/consent.
For previously seen clients, update the chart as needed.
Present current and background clinical information to the psychiatrist for medication evaluation. Facilitate appropriate referrals for clients needing follow-up.
Evaluate risk factors; initiate a 5150 for hospitalization as needed.
Administer medications/injections and TB tests as needed.
Complete all required chart paperwork in compliance with the City & County policies; document services fully and accurately; submit a service authorization request to Central Access.
Submit billing for all services performed on a daily basis using the appropriate billing codes.
Prepare chart for opening as either a one-shot or 30-day case; place chart in proper location for billing specialist to retrieve.
Complete paperwork to close your inactive 30-day cases.
Perform front-desk triage function; log in clients as they present for services; obtain basic information to determine eligibility for crisis services.
Facilitate client flow to intake staff and to the psychiatrist.
Monitor waiting room to assist with client needs, answer questions, manage agitated/inappropriate behavior, and monitor clients on 5150 hold.
Handle phone triage calls to assist clients seeking services; address clinical questions from outside providers and for other miscellaneous purposes.
Attend weekly individual supervision and staff meeting.
Work cooperatively with ACT/Outpatient staff and clients.
Adhere to all Westside Policies and Procedures.
Other duties as assigned by the Program Manager, Medical Director or Mental Health Director.
QUALIFICATIONS:
Must be licensed in the State of California as an LVN or LPT.
A minimum of one (1) year experience working directly with chronically mentally ill individuals preferred.
Ability to function in a fast-paced, very busy work environment.
Basic skills to work with individuals who are unstable due to acute psychiatric symptoms, drug use/addiction, and/or trauma.
Ability to work collaboratively in a multi-disciplinary, multi-cultural environment.
Good communication skills.
Basic computer knowledge and skill.
Bilingual capability preferred.
WORK SCHEDULE: Monday – Friday Variable Hours
Occasional Saturdays, Evenings, Holiday Shifts
APPLICATION DEADLINE: Open until filled.
APPLICATION PROCESS: E-mail: jobs@westside-health.org
Or
Mail Resume to
Westside Community Services
Human Resources Department
1153 Oak Street
San Francisco, CA 94117
Fax: 415-552-3917
We will consider qualified candidates with criminal histories in a manner consistent with therequirements of the San Francisco Fair Chance Ordinance.
Westside Community Service is an Equal Opportunity Employer. People of Color and/or
Bilingual are Encouraged to Apply.
As one of the first community-based mental health agencies in the country, Westside Community Services has been rebuilding lives and restoring families for 50 years.
Westside Community Services is dedicated to improving the psychological, spiritual and physical health of our community residents. Our clients represent a diverse range of individuals and families facing emotional crises; overwhelming life circumstances; and those experiencing severe and debilitating mental health challenges. As a wellness and recovery oriented agency our goal is to provide services based on the needs of our community that have been defined by our community. We are an agency that was created by the local community for the community."
7,Lvn-Lpn,Excell Health Care Center,"Oakland, CA","In this role, you will provide direct patient care within a skilled nursing facility. You'll follow the plan of care, assessing patients, administering medications and treatments, preparing supplies and equipment for treatments, and assisting the attending physician or registered nurse in performing specialized procedures.
In return for your exceptional service, we're committed to our employees and making a great place to work even better."
8,Error loading,Error loading,Error loading,Error loading
9,Wellness Nurse (LPN/LVN or RN) - San Francisco,Sunrise Senior Living,"San Francisco, CA","Overview
""It makes me feel good knowing that we make the residents’ lives better. We laugh with them, cry with them, sing and dance with them – we brighten their day. Working here is an unbelievable privilege and it will be something I carry with me for the rest of my life!""

- Sunrise Team Member
  At Sunrise, our Wellness Nurse is responsible for our overall well being of our residents.

Responsibilities
 Responsibilities:
- Assisting in training and monitoring of medication care administration
- Communication with resident support services and families
- Maintaining clinical quality assurance while leading and demonstrating the Mission for Sunrise Senior Living, ""to champion the quality of life for all seniors"" in accordance with federal, state and local standards and Sunrise Senior Living policies to promote the highest degree of quality care and services to our residents
  Qualifications:
- Graduate of approved college or school of nursing
- Maintains a current state license as a professional Registered Nurse (RN) or Licensed Practical Nurse/Licensed Vocational Nurse (LPN/LVN)
- Minimum of one (1) year experience in home health, assisted living, hospital or long term care environment
- Demonstrated knowledge of nursing practices, techniques and methods applied to heath and wellness resident care; federal and state and local regulations
- Demonstrated knowledge of good assessment skills
- Ability to handle multiple priorities
- Possess written and verbal skills for effective communication and the ability to teach and guide team members to provide quality clinical care
- Competent in organizational, time management skills
- Demonstrates good judgment, problem solving and decision making skills
- Proficiency in computer skills, Microsoft Office (Windows, Outlook, Excel) with the ability to learn new applications
 Sunrise maintains a drug-free work environment and all offers of employment with Sunrise are conditioned on submitting to and successfully completing and passing a drug and alcohol test.

Qualifications
Sunrise Senior Living has championed quality of life in senior care for more than 30 years. We believe team members are our greatest resource and are looking for people who share our commitment to provide quality care for seniors and their families.
 At Sunrise, you will…

Make a Difference Every Day
We deliver high-quality care with a personal touch and encourage our residents to enjoy life to the fullest.
  Be Part of a Uniquely Supportive Community
We care for residents and each other, and offer programs, rewards, and benefits to help you live your best.
  Ignite Your Potential
You have the opportunity to grow both personally and professionally, and achieve your career goals."
