,0,1,2,3
0,Certified Nursing Assistant - CNA,HCR ManorCare,"Walnut Creek, CA","HCR ManorCare provides a range of services, including skilled nursing care, assisted living, post-acute medical and rehabilitation care, hospice care, home health care and rehabilitation therapy.
Certified Nursing Assistants provide basic nursing care to patients and residents within the scope of the nursing assistant responsibilities and performs basic nursing procedures under the direction of the licensed nurse supervisor.
We are looking for Nursing Assistants who would like to combine their love for people and strong work ethic with the opportunities to advance your career.
In return for your expertise, you will enjoy excellent training, industry-leading benefits and unlimited opportunities to learn and grow. Be a part of the team leading the nation in healthcare.
479 - ManorCare Health Services - Walnut Creek, California
Our candidate will possess the ability to communicate with patients and nursing staff. Prior experience as nursing assistant preferred but not required."
1,Certified Nursing Assistant Needed,Honor Home Care,"San Francisco, CA","""
92% of Honor’s caregivers love their job.
Why? Because we treat caregivers like true professionals (that’s why we call them Care Pros!). We pay for better performance, offer more convenient and flexible jobs, and provide real-time information they need to care for their clients.
We believe that happy caregivers provide better care, and we are committed to offering the best possible care to our clients. It’s no surprise that Honor is the fastest growing home care company in the Bay Area.
 
 What you get as an Honor employee:
Pay for performance: Compensation is $14-18/hour, with full time and part time positions available, paid overtime, and 1.5x times holiday rate. We pay more for harder to serve clients, and strong performance.
 
 
 Your choice of jobs: Using your phone, you can immediately apply to and pick up jobs based on your availability.
Convenience: As the Bay Area’s largest agency, our large client base allows us to staff you closer to home, and offer additional hours if you’d like more work. And if you ever have a problem, just call our 24/7 Care Pro support line.
Tools to do your job well: Our caregiver app tells you everything you need to know about your clients, has training reminders for specific conditions, lets you write notes after each care visit, see clients’ great feedback on you--and much more.
Other benefits:
 
 
 
 Health benefits based on eligibility
Weekly direct deposits
Generous referral bonus program
 
 What we’re looking for:
Honor hires amazing caregivers to provide non-medical care for older adults. Do you have experience in paid caregiving? Are you compassionate, patient, caring, and reliable? Do you feel a calling to help others? If so, we’d love to hear from you.
Our requirements:
21 years or older
California Driver's License or ID
Minimum of 6 months of paid caregiving experience OR one of the following certifications: CNA, HHA
Two (2) professional references in senior care
Negative tuberculosis test (TB) or chest X-ray (we pay for this)
Must have skills & qualities:
Lifting and transferring adults
Diaper and brief changing
Bathing and toileting
Punctual, reliable and professional
 
 If you have an HCA, even better!
 
 If you have questions, give us a call at (415)-360-0078. We're here to help!
 
 Thank you for caring!
"""
2,Error loading,Error loading,Error loading,Error loading
3,Certified Nursing Assistant,Alegre Home Care - San Mateo,"Daly City, CA","$15 - $22.50 Per Hour  TWO WEEKS (80 HOURS) Accruable PAID TIME OFF

Alegre Home Care is a full service Home Care Organization (HCO) celebrating 25 years of service.
We value diversity and we seek caregivers who have acute, skilled nursing, residential care and home care experience.
CNA/CHHA certificates are awesome, as well.
It's a big plus if you are already registered as a Home Care Aide in California.
If not, we will assist you with obtaining your Home Care Aide Registry number through the Home Care Services Bureau.

Qualifications:
At least 1+ years of healthcare/caregiving experience.
A reliable form of transportation with applicable insurance is appreciated, but not required.
A valid Driver's License is also appreciated, but not required.
Also, the following are required to be employed with Alegre Home Care & Staffing:

TB Test or Chest Xray (obtained within 90 days)
Live Scan/Fingerprint
Registered with Home Care Services Bureau

Benefits:
Competitive pay, health benefits if you work 30+ hours per week, and a welcoming and supportive staff.
Scheduling is flexible part time or up to 40 hours per week.
Of course, overtime is always paid. All assignments are considered part-time/temporary, however many employees have been working with us for over 10 years!
Some have been with us for a full 20 years.
Also, we offer Ongoing In-services and FREE CEU's and FREE Online Learning, and referral incentives.
We have shifts across San Mateo County.
We also have office locations in the East Bay, North Bay, South Bay, and the Central Valley.
Please submit your resume and contact information today!Hireology . Category:Healthcare, Keywords:Certified Nursing Assistant (CNA), Location:Daly City, CA-94015"
4,"Resident Care Specialist, CNA",Excell Health Care Center,"Oakland, CA","Resident Care Specialist Description
Summary
Provides services and care for residents and patients.

Essential Duties & Responsibilities
Provides personal care and services such as:
a) Assisting with activities of daily living (turning and positioning, toileting, bathing and grooming, feeding, and mobility)
b) Obtains and records vital signs and weight as assigned.
c) Accurately documents all care as required by company policy and in compliance with state and federal regulations.
Provides non-resident services such as, but not limited to, washing wheelchairs and cleaning resident / patient areas in compliance with infection control procedures.
Contributes to the resident assessment and care plan.
Makes routine rounds on each assigned resident and patient in accordance with established procedures.
Promptly communicates any significant changes in behavior or condition to supervisor.
Completes required forms and documents in accordance with company policy and state and/or federal regulations.
Performs other duties as assigned."
5,Nursing Assistant Training Classes Now Available,HCR ManorCare,"Walnut Creek, CA","HCR ManorCare provides a range of services, including skilled nursing care, assisted living, post-acute medical and rehabilitation care, hospice care, home health care and rehabilitation therapy. We are excited to announce that our location is accepting application for our Nursing Assistant Training Class. Our Nursing Assistant Training Class will allow you the support and training necessary to take your career to a new level of satisfaction and achievement. Be a part of the team leading the nation in healthcare.
479 - ManorCare Health Services - Walnut Creek, California
Ability to communicate with patients and staff; Ability to follow directions and to complete assigned tasks.
 
 Job Specific Details:
 
 ManorCare of Walnut Creek is the first Skilled Nursing Facility in the area to provide onsite Nursing Assistant Training Classes! Tuition is free to those willing to work FT at our center upon graduation. Apply today! Classes starting soon!"
6,Certified Nursing Assistant Needed,Honor Home Care,"San Bruno, CA","""
92% of Honor’s caregivers love their job.
Why? Because we treat caregivers like true professionals (that’s why we call them Care Pros!). We pay for better performance, offer more convenient and flexible jobs, and provide real-time information they need to care for their clients.
We believe that happy caregivers provide better care, and we are committed to offering the best possible care to our clients. It’s no surprise that Honor is the fastest growing home care company in the Bay Area.
 
 What you get as an Honor employee:
Pay for performance: Compensation is $14-18/hour, with full time and part time positions available, paid overtime, and 1.5x times holiday rate. We pay more for harder to serve clients, and strong performance.
 
 
 Your choice of jobs: Using your phone, you can immediately apply to and pick up jobs based on your availability.
Convenience: As the Bay Area’s largest agency, our large client base allows us to staff you closer to home, and offer additional hours if you’d like more work. And if you ever have a problem, just call our 24/7 Care Pro support line.
Tools to do your job well: Our caregiver app tells you everything you need to know about your clients, has training reminders for specific conditions, lets you write notes after each care visit, see clients’ great feedback on you--and much more.
Other benefits:
 
 
 
 Health benefits based on eligibility
Weekly direct deposits
Generous referral bonus program
 
 What we’re looking for:
Honor hires amazing caregivers to provide non-medical care for older adults. Do you have experience in paid caregiving? Are you compassionate, patient, caring, and reliable? Do you feel a calling to help others? If so, we’d love to hear from you.
Our requirements:
21 years or older
California Driver's License or ID
Minimum of 6 months of paid caregiving experience OR one of the following certifications: CNA, HHA
Two (2) professional references in senior care
Negative tuberculosis test (TB) or chest X-ray (we pay for this)
Must have skills & qualities:
Lifting and transferring adults
Diaper and brief changing
Bathing and toileting
Punctual, reliable and professional
 
 If you have an HCA, even better!
 
 If you have questions, give us a call at (415)-360-0078. We're here to help!
 
 Thank you for caring!
"""
7,"Resident Care Specialist, CNA",Excell Health Care Center,"Oakland, CA","Resident Care Specialist Description
Summary
Provides services and care for residents and patients.

Essential Duties & Responsibilities
Provides personal care and services such as:
a) Assisting with activities of daily living (turning and positioning, toileting, bathing and grooming, feeding, and mobility)
b) Obtains and records vital signs and weight as assigned.
c) Accurately documents all care as required by company policy and in compliance with state and federal regulations.
Provides non-resident services such as, but not limited to, washing wheelchairs and cleaning resident / patient areas in compliance with infection control procedures.
Contributes to the resident assessment and care plan.
Makes routine rounds on each assigned resident and patient in accordance with established procedures.
Promptly communicates any significant changes in behavior or condition to supervisor.
Completes required forms and documents in accordance with company policy and state and/or federal regulations.
Performs other duties as assigned."
8,Certified Nursing Assistant Needed,Honor Home Care,"Daly City, CA","""
92% of Honor’s caregivers love their job.
Why? Because we treat caregivers like true professionals (that’s why we call them Care Pros!). We pay for better performance, offer more convenient and flexible jobs, and provide real-time information they need to care for their clients.
We believe that happy caregivers provide better care, and we are committed to offering the best possible care to our clients. It’s no surprise that Honor is the fastest growing home care company in the Bay Area.
 
 What you get as an Honor employee:
Pay for performance: Compensation is $14-18/hour, with full time and part time positions available, paid overtime, and 1.5x times holiday rate. We pay more for harder to serve clients, and strong performance.
 
 
 Your choice of jobs: Using your phone, you can immediately apply to and pick up jobs based on your availability.
Convenience: As the Bay Area’s largest agency, our large client base allows us to staff you closer to home, and offer additional hours if you’d like more work. And if you ever have a problem, just call our 24/7 Care Pro support line.
Tools to do your job well: Our caregiver app tells you everything you need to know about your clients, has training reminders for specific conditions, lets you write notes after each care visit, see clients’ great feedback on you--and much more.
Other benefits:
 
 
 
 Health benefits based on eligibility
Weekly direct deposits
Generous referral bonus program
 
 What we’re looking for:
Honor hires amazing caregivers to provide non-medical care for older adults. Do you have experience in paid caregiving? Are you compassionate, patient, caring, and reliable? Do you feel a calling to help others? If so, we’d love to hear from you.
Our requirements:
21 years or older
California Driver's License or ID
Minimum of 6 months of paid caregiving experience OR one of the following certifications: CNA, HHA
Two (2) professional references in senior care
Negative tuberculosis test (TB) or chest X-ray (we pay for this)
Must have skills & qualities:
Lifting and transferring adults
Diaper and brief changing
Bathing and toileting
Punctual, reliable and professional
 
 If you have an HCA, even better!
 
 If you have questions, give us a call at (415)-360-0078. We're here to help!
 
 Thank you for caring!
"""
9,"Resident Care Specialist, CNA",Excell Health Care Center,"Oakland, CA","Resident Care Specialist Description
Summary
Provides services and care for residents and patients.

Essential Duties & Responsibilities
Provides personal care and services such as:
a) Assisting with activities of daily living (turning and positioning, toileting, bathing and grooming, feeding, and mobility)
b) Obtains and records vital signs and weight as assigned.
c) Accurately documents all care as required by company policy and in compliance with state and federal regulations.
Provides non-resident services such as, but not limited to, washing wheelchairs and cleaning resident / patient areas in compliance with infection control procedures.
Contributes to the resident assessment and care plan.
Makes routine rounds on each assigned resident and patient in accordance with established procedures.
Promptly communicates any significant changes in behavior or condition to supervisor.
Completes required forms and documents in accordance with company policy and state and/or federal regulations.
Performs other duties as assigned."
