,0,1,2,3
0,Travel Registered Nurse RN Medical Surgical,OneStaff Medical,"SAN FRANCISCO, CA","Date Posted:2018-12-20
Occupation Category: 29-1141.00 Registered Nurses
JOB DESCRIPTION
Travel Registered Nurse RN Medical Surgical
Location:SAN FRANCISCO, California
Shift:  8:00 am - 4:30 pm includes a 30 min break
Start Date:  12/24/2018
Speciality:  RN - M/S - MEDICAL SURGICAL
Hiring Organization:   OneStaff Medical

Description:

We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we’re here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help.

Now back to what you’re here for; we’re looking for a Travel Registered Nurse RN Medical Surgical to join our family, and well, that’s you! So check this out…

Medical-Surgical nurses provide direct care to adult patients in a variety of settings and is the largest group of nurses. They provide care for patients often with multiple diagnoses, across multiple medical specialties.
Experience Requirements:
Minimum 1 year of current work experience in Travel Registered Nurse RN Medical Surgical
California state Healthcare Provider license or willing to obtain
This position may require one or more of these certifications: BLS & possibly others
Benefits:
Are you in? Do we need to further convince you why OneStaff Medical is your ideal travel partner? How about:
A dedicated expert (our recruiter) to be by your side 24/7; every step of the process, and to ensure you get exactly what you are looking for!
All the good stuff like; Medical/Dental/Vision Insurance & 401K
Dream assignments all across the country; from sunny California, down to sun-kissed Florida, we got ‘em!
Travel reimbursement as part of your weekly pay!
Licensure and certification reimbursement to our return travelers, when needed for new assignments!
Some hot-hot-hot referral bonuses! (uh hum, so travel w/ an amigo(a) and get paid $500!)

…and FREE super soft premium scrubs through our partners, FIGs scrubs, to all of our loyal return nurses!
If you have questions about details on this assignment, fill out a QUICK APPLY and one of our recruiting specialists will reach out promptly to talk you through it all.
Contract"
1,Registered Nurse - RN,HCR ManorCare,"Walnut Creek, CA","HCR ManorCare provides a range of services, including skilled nursing care, assisted living, post-acute medical and rehabilitation care, hospice care, home health care and rehabilitation therapy.
The RN - Nurse Supervisor is responsible for supervising nursing personnel to deliver nursing care and within scope of practice coordinates care delivery, which will ensure that patient's needs are met in accordance with professional standards of practice through physician orders, center policies and procedures, and federal, state and local guidelines. This RN position is a staff position that has direct care responsibilities as well as supervisor responsibility for nursing assistants. We are looking for clinicians who would like to combine their love for people and strong work ethic with the opportunities to advance their career.
In return for your expertise, you will enjoy excellent training, industry-leading benefits and unlimited opportunities to learn and grow. Be a part of the team leading the nation in healthcare.
479 - ManorCare Health Services - Walnut Creek, California
One year prior nursing experience preferred.

Education Level:
Currently holds a RN license in this state."
2,Error loading,Error loading,Error loading,Error loading
3,Travel Nurse - ER RN - Emergency Room Registered Nurse,ADEX Medical Staffing,"San Francisco, CA","ADEX Travel Nursing has been employing and servicing nurse travelers, sending them to great destinations around the country. Our vast networking affords us exclusive relationships at top facilities offering you unique career opportunities. Call us for more positions, 866-341-2339!

Benefits:
- Hundreds of locations
- Day One Major Medical, Vision, and Dental
- Top Pay
- Custom pay package
- Fully furnished housing or housing stipend
- Weekly direct deposit and weekly pay
- $750 referral bonuses"
4,"RN Registered Nurse Director of Perioperative Services in San Leandro, CA",CoreMedical Group,"San Leandro, CA","Job Details
RN – Perioperative Nursing Director
$150,000 - $240,000
Relocation Available
    RN – Perioperative Nursing Director
Responsible for coordinating clinical and non-clinical activities in Perioperative Services.
Perioperative Services includes the following departments and services: Operating Room, Post Anesthesia Care Unit, Outpatient Surgery, GI Lab, Sterile Processing, Cath Lab, Surgery, Ambulatory Surgery Center and Donor Network.
Responsible for overall managerial direction and 24-hour accountability which includes planning, leading, organizing and controlling, as well as developing staff in order to fulfill the goals of each department and the mission of the hospital.
This position reports to the Chief Executive Officer
Minimum of five (5) years perioperative experience
Minimum of three (3) years perioperative management experience
Excellent management skills; ability to manage all staff and behaviors effectively
BSN required;
Master’s Degree in Nursing or related field strongly preferred (Health Care Admin, Business, Public Health, or Management)
  Please Call:
Nicole Richard
800-995-2673 x1534
Nicole.richard@coremedicalgroup.com
  CoreMedical Group is a nationally recognized leader in the medical recruitment and employment industry. Here are some of the FREE & CONFIDENTIAL services you will receive when searching for that next permanent position.
We will provide you with input, advice and expertise during the discovery phase in finding your new position.
We will help you customize your resume for maximum effect.
We will be your agent during the, often uncomfortable ""marketing"" phase of your search.
We will set up your interview, while providing you tips and suggestions tailored towards winning you the position.
We will provide you with streamlined communication and feedback from, sometimes hard to contact, hiring managers.
We will provide you with market input for offer consideration.
At CoreMedical Group, we will prep you for your interview, negotiate the best rate, assist in the state licensing process, provide local realty contacts, and do our best to ensure your interview/relocation experience is stress-free."
5,Registered Nurse RN,Brookdale Senior Living Inc.,"Redwood City, CA","Part Time
Redwood City, CA
Job # PTRNHHredcCA71261a

Brookdale Healthcare Services is looking for a Home Health RN to provide services in the {city} area. Join a dynamic team of health care providers focused on health, wellness and prevention for all our patients  A career with Brookdale Healthcare Services has never been so rewarding! Brookdale Home Health is ranked among the Top Ten largest home heath companies in the country. Many of our agencies carry a five-star rating and are recognized by Decision Health as Home Care Elite agencies. We own and operate more than 80+ agencies nationwide, serving approximately 17,000 patients throughout our Brookdale Home Health Division.

Brookdale. Bringing new life to senior living.

Your responsibilities:
* Evaluates the patient and home health environment to determine required services and involves the patient and patient's family in developing the plan of care
* Develops the POC based on findings from evaluation visit
* Serves as the patient's advocate and maintains ongoing communication with physician, referral sources, caregivers, and facility management to facilitate coordination of care
* Responsible for timely completion and synchronization of all documentation within the patient's home via device (EMR)
* Provides direct supervision of nursing clinical care team members (LPN/LVNs & HHAs)

Required Skills and Qualifications:
* Graduate of an accredited school of professional nursing
* One year of home health, public nursing or acute hospital nursing experience
* Familiar with Medicare home health regulations, documentation requirements, ICD-10 coding and PPS (Strongly preferred)
* Licensed as an RN in the state of practice
* Travel is required; must have a reliable car w/current insurance coverage and a current driver's license
* Experience with Electronic Medical Records (EMR) devices preferred, but not required

If you're a Brookdale associate, please consider referring someone through the Good People Program!

Brookdale is an EOE-(Equal Opportunity Employer) and drug-free workplace."
6,RN - Registered Nurse Intensive Care Unit,Ardor Health Solutions,"San Francisco, CA","Location: San Francisco, CA
Setting: Hospital
Employment Type: Traveler
Intensive Care Unit RN
We are currently hiring a Registered Nurse to join our travel team in San Francisco as an ICU, Burn unit nurse. This is a full-time position, working 36 hours (guaranteed) per week, with extension opportunity. 
The ideal candidate will have:
·         California RN License
·         2 years of RN ICU/Burn experience
·         BLS, ACLS, and PALS required
·         Ability to clear a drug screen/background check"
7,RN - Registered Nurse - Case Management,TravelCare USA,"Redwood City, CA","TRAVEL REGISTERED NURSE (RN) – Case Manager

CareerStaff Travel Nursing is looking for highly skilled Case Management Nurses for travel RN contract opportunities in Redwood City, CA. A case management nurse functions as a manager for their patients’ health care needs. They provide the planning and organization of care for the patient and are also in charge of overseeing the progress of the health care plan. The case management nurse will develop a plan that aims to be both preventative and reactionary to their patients’ health. The case management nurse will organize visits to the primary care physician as well as specialty physicians to maximize the patients’ health benefits. Regular tasks also include managing health care costs for the patient by communicating with the patient’s insurance company and performing cost-benefit analysis. Most case management nurses organize their practice by providing care to a specific group of patients, such as cancer patients or Alzheimer’s patients. This specialization allows them to become more fine-tuned in the policies and procedures related to their care group.

This facility's approach to health care differs a great deal from their competitors. And it has for more than 70 years. They think that traditional health care—simply treating illness—isn’t enough. They treat the whole person and provide services to help encourage their members’ well-being. By addressing health issues before they become problems, they proactively promote wellness. They believe that health doesn’t just happen. It’s a partnership. So they encourage their members to get involved and take charge of their wellness. They stand for total health. This facility has spacious private rooms, a new labor and delivery unit, six state of the art operating rooms, and much more to promote health.

Redwood City is a city on the San Francisco Peninsula in Northern California's Bay Area, approximately 27 miles south of San Francisco, and 24 miles northwest of San Jose, meaning there is always an abundance to do. San Francisco is known for its year-round fog, iconic Golden Gate Bridge, cable cars and colorful Victorian houses. The Financial District's Transamerica Pyramid is its most distinctive skyscraper. In the bay sits Alcatraz Island, site of the notorious former prison. San Jose is a large city surrounded by rolling hills in Silicon Valley, a major technology hub in California's Bay Area. Architectural landmarks, from the 1883 Italianate-style Oddfellows building to Spanish Colonial Revival structures, make up the downtown historic district. The downtown area is also home to the Tech Museum of Innovation, devoted to the exploration of science and technology.

JOB REQUIREMENTS FOR THE REGISTERED NURSE (RN) – Case Manager:
1. 2 Year(s) of current Case Management Experience
2. BLS issued through American Heart Association
3. Must be eligible to work in the United States
4. CA State RN License

CAREERSTAFF TRAVEL NURSING

BENEFITS:
1. Immediate openings
2. Professional recruiters working to place you on the best assignments available nationwide
3. Dedicated internal support staff to ensure your needs are quickly met
4. Competitive Compensation Package
5. Paid company housing or generous housing stipend
6. Travel and licensing reimbursements
7. Pets are welcome
8. Medical, Dental and Vision Insurance
9. Referral Bonuses"
8,CVICU RN,Randstad Healthcare,"San Francisco, CA","Are you ready for your next adventure? We're in need of Cardiovascular Intensive Care Unit (CVICU) Travel Nurses to fill immediate openings at a hospital in San Francisco, CA. If this sounds great to you, and you have 2+ years of experience, keep reading and we'll make sure you get all the details.
What will I do? Cardiovascular Intensive Care Unit (CVICU) Travel Nurses work as a part of a team with very diverse team members (MDs, technicians, specialists, etc.), monitoring and assessing patient status, and administering urgent and critical care as necessary. This includes operating complex machinery in support of the patient's care. You will also be responsible for physically maneuvering unresponsive and immobile patients.
What are the benefits? Weekly take-home pay between $20 and $60 per hour including per- diems-top-tier benefits that help you focus on taking care of your patients and know you're being taken care of, too.
What else do I need to know? The right Cardiovascular Intensive Care Unit (CVICU) Travel Nurse will have an Associate's Degree or Bachelor of Science in Nursing and hold a current/active license as a registered nurse in the state of in the state of CA, in addition to current certifications in BLS, ACLS, and other unit specific certifications. Recent open heart experience is required.
Randstad Healthcare is your career concierge-savvy, smart and right by your side when you're considering a new position, city or job title. Let us help you make your next move: Get in touch with one of our Career Agents today!
Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

Qualified applicants in San Francisco with criminal histories will be considered for employment in accordance with the San Francisco Fair Chance Ordinance.

We will consider for employment all qualified Applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance."
9,Error loading,Error loading,Error loading,Error loading
