,0,1,2,3
0,Licensed Vocational Nurse - LVN,HCR ManorCare,"Citrus Heights, CA","HCR ManorCare provides a range of services, including skilled nursing care, assisted living, post-acute medical and rehabilitation care, hospice care, home health care and rehabilitation therapy.
The Licensed Vocational Nurse - LVN is responsible for supervising nursing personnel to deliver nursing care and within scope of practice coordinates care delivery, which will ensure that patient s needs are met in accordance with professional standards of practice through physician orders, center policies and procedures, and federal, state and local guidelines. This LVN position is a staff position that has direct care responsibilities as well as supervisor responsibility for nursing assistants. We are looking for clinicians who would like to combine their love for people and strong work ethic with the opportunities to advance their career.
In return for your expertise, you'll enjoy excellent training, industry-leading benefits and unlimited opportunities to learn and grow. Be a part of the team leading the nation in healthcare.
378 - ManorCare Health Services - Citrus Heights, California
One year prior nursing experience preferred.

Education Level:
Currently licensed as LPN in state."
1,Licensed Vocational Nurse (LVN) Weekends Only,Sunrise Senior Living,"Rocklin, CA","Overview
""It makes me feel good knowing that we make the residents’ lives better. We laugh with them, cry with them, sing and dance with them – we brighten their day. Working here is an unbelievable privilege and it will be something I carry with me for the rest of my life!""

- Sunrise Team Member
  At Sunrise, our The Licensed Practical Nurse/Licensed Vocational Nurse (LPN/LVN) is responsible for providing direct resident care and supervision of resident care work of non-licensed team members in the skilled nursing operations and other areas throughout the community as appropriate.

Responsibilities
 Responsibilities:
- Ensuring quality assurance and regulatory compliance while promoting the highest degree of quality care and service
- Overseeing coordination of residents’ health and wellness needs
- Working closely with family members and consulting with community physician(s) to ensure residents’ needs are being attended to in a personalized way
  Qualifications:
- Graduate of approved college/school of nursing
- Have a current state license as a Practical Nurse/Vocational Nurse
- A minimum of one (1) year experience in long term care, assisted living, skilled nursing, hospital, and/or full service operations
- Demonstrated knowledge of nursing practices, techniques and methods as applied to skilled nursing and resident care
- Demonstration of knowledge of federal, state and local long term care regulations
- Understanding of the Resident Assessment Instrument (RAI) and the Care Plan Process
- Ability to handle multiple priorities
- Possess written and verbal skills for effective communication
- Competent in organizational, time management skills
- Demonstrates good judgment, problem solving and decision making skills
- Proficiency in computer skills, Microsoft Office (Windows, Outlook, Excel) with the ability to learn new applications
 Sunrise maintains a drug-free work environment and all offers of employment with Sunrise are conditioned on submitting to and successfully completing and passing a drug and alcohol test.

Qualifications
Sunrise Senior Living has championed quality of life in senior care for more than 30 years. We believe team members are our greatest resource and are looking for people who share our commitment to provide quality care for seniors and their families.
 At Sunrise, you will…

Make a Difference Every Day
We deliver high-quality care with a personal touch and encourage our residents to enjoy life to the fullest.
  Be Part of a Uniquely Supportive Community
We care for residents and each other, and offer programs, rewards, and benefits to help you live your best.
  Ignite Your Potential
You have the opportunity to grow both personally and professionally, and achieve your career goals."
2,Error loading,Error loading,Error loading,Error loading
3,Lvn-Lpn,Mission Carmichael HealthCare Center,"Carmichael, CA","In this role, you will provide direct patient care within a skilled nursing facility. You'll follow the plan of care, assessing patients, administering medications and treatments, preparing supplies and equipment for treatments, and assisting the attending physician or registered nurse in performing specialized procedures.
In return for your exceptional service, we're committed to our employees and making a great place to work even better."
4,Error loading,Error loading,Error loading,Error loading
5,LVN Medication Manager - Rocklin,Sunrise Senior Living,"Rocklin, CA","Overview
""It makes me feel good knowing that we make the residents’ lives better. We laugh with them, cry with them, sing and dance with them – we brighten their day. Working here is an unbelievable privilege and it will be something I carry with me for the rest of my life!""

- Sunrise Team Member
  At Sunrise, our The Licensed Practical Nurse/Licensed Vocational Nurse (LPN/LVN) is responsible for providing direct resident care and supervision of resident care work of non-licensed team members in the skilled nursing operations and other areas throughout the community as appropriate.

Responsibilities
 Responsibilities:
- Ensuring quality assurance and regulatory compliance while promoting the highest degree of quality care and service
- Overseeing coordination of residents’ health and wellness needs
- Working closely with family members and consulting with community physician(s) to ensure residents’ needs are being attended to in a personalized way
  Qualifications:
- Graduate of approved college/school of nursing
- Have a current state license as a Practical Nurse/Vocational Nurse
- A minimum of one (1) year experience in long term care, assisted living, skilled nursing, hospital, and/or full service operations
- Demonstrated knowledge of nursing practices, techniques and methods as applied to skilled nursing and resident care
- Demonstration of knowledge of federal, state and local long term care regulations
- Understanding of the Resident Assessment Instrument (RAI) and the Care Plan Process
- Ability to handle multiple priorities
- Possess written and verbal skills for effective communication
- Competent in organizational, time management skills
- Demonstrates good judgment, problem solving and decision making skills
- Proficiency in computer skills, Microsoft Office (Windows, Outlook, Excel) with the ability to learn new applications
 Sunrise maintains a drug-free work environment and all offers of employment with Sunrise are conditioned on submitting to and successfully completing and passing a drug and alcohol test.

Qualifications
Sunrise Senior Living has championed quality of life in senior care for more than 30 years. We believe team members are our greatest resource and are looking for people who share our commitment to provide quality care for seniors and their families.
 At Sunrise, you will…

Make a Difference Every Day
We deliver high-quality care with a personal touch and encourage our residents to enjoy life to the fullest.
  Be Part of a Uniquely Supportive Community
We care for residents and each other, and offer programs, rewards, and benefits to help you live your best.
  Ignite Your Potential
You have the opportunity to grow both personally and professionally, and achieve your career goals."
6,Licensed Practical Nurse (LPN) - Sacramento,Sunrise Senior Living,"Sacramento, CA","Overview
""It makes me feel good knowing that we make the residents’ lives better. We laugh with them, cry with them, sing and dance with them – we brighten their day. Working here is an unbelievable privilege and it will be something I carry with me for the rest of my life!""

- Sunrise Team Member
  At Sunrise, our The Licensed Practical Nurse (LPN) is responsible for providing direct resident care and supervision of resident care work of non-licensed team members in the skilled nursing operations and other areas throughout the community as appropriate.

Responsibilities
 Responsibilities:
- Ensuring quality assurance and regulatory compliance while promoting the highest degree of quality care and service
- Overseeing coordination of residents’ health and wellness needs
- Working closely with family members and consulting with community physician(s) to ensure residents’ needs are being attended to in a personalized way
  Qualifications:
- Graduate of approved college/school of nursing
- Have a current state license as a Practical Nurse/Vocational Nurse
- A minimum of one (1) year experience in long term care, assisted living, skilled nursing, hospital, and/or full service operations
- Demonstrated knowledge of nursing practices, techniques and methods as applied to skilled nursing and resident care
- Demonstration of knowledge of federal, state and local long term care regulations
- Understanding of the Resident Assessment Instrument (RAI) and the Care Plan Process
- Ability to handle multiple priorities
- Possess written and verbal skills for effective communication
- Competent in organizational, time management skills
- Demonstrates good judgment, problem solving and decision making skills
- Proficiency in computer skills, Microsoft Office (Windows, Outlook, Excel) with the ability to learn new applications
 Sunrise maintains a drug-free work environment and all offers of employment with Sunrise are conditioned on submitting to and successfully completing and passing a drug and alcohol test.

Qualifications
Sunrise Senior Living has championed quality of life in senior care for more than 30 years. We believe team members are our greatest resource and are looking for people who share our commitment to provide quality care for seniors and their families.
 At Sunrise, you will…

Make a Difference Every Day
We deliver high-quality care with a personal touch and encourage our residents to enjoy life to the fullest.
  Be Part of a Uniquely Supportive Community
We care for residents and each other, and offer programs, rewards, and benefits to help you live your best.
  Ignite Your Potential
You have the opportunity to grow both personally and professionally, and achieve your career goals."
7,LPN Med Care Manager - Carmichael,Sunrise Senior Living,"Carmichael, CA","Overview
""It makes me feel good knowing that we make the residents’ lives better. We laugh with them, cry with them, sing and dance with them – we brighten their day. Working here is an unbelievable privilege and it will be something I carry with me for the rest of my life!""

- Sunrise Team Member
  At Sunrise, our LPN Medication Care Manager is responsible for providing the highest degree of quality care and services by administering medication and treatments in a safe organized manner.

Responsibilities
 Responsibilities:
- Administration of medications
- Documentation of medication administration
- Providing resident care while demonstrating the Mission for Sunrise Senior Living, 'to champion the quality of life for all senior’ in accordance with federal, state and local standards
- Promote the highest degree of quality care and services to our residents in accordance to the Sunrise Senior Living policies
  Qualifications:
- L.P.N, LVN or state specific licensed nurse credential
- In states where appropriate, must maintain certifications
- Must be at least 18 years of age
- Previous experience working with seniors preferred and desire to serve and care for seniors
- Ability to make choices, decisions and act in the resident’s best interest
- Ability to react and remain calm in difficult situations
- Ability to handle multiple priorities
- Possess written and verbal skills for effective communication and level of understanding
- Demonstrates good judgment, problem solving and decision making skills
- As applicable, all Sunrise team members who drive a Sunrise vehicle must sign the Driver job description, understand the key essential duties for safety and regulatory compliance
- Minimum of six (6) months experience working with seniors in assisted living, home health, independent living, hospital or long term care environment and desire to serve and care for seniors
- Decision making abilities and acting in the resident’s best interest, ability to react and remain calm in difficult situations and possess written and verbal skills for effective communication and level of understanding
 Sunrise maintains a drug-free work environment and all offers of employment with Sunrise are conditioned on submitting to and successfully completing and passing a drug and alcohol test.

Qualifications
Sunrise Senior Living has championed quality of life in senior care for more than 30 years. We believe team members are our greatest resource and are looking for people who share our commitment to provide quality care for seniors and their families.
 At Sunrise, you will…

Make a Difference Every Day
We deliver high-quality care with a personal touch and encourage our residents to enjoy life to the fullest.
  Be Part of a Uniquely Supportive Community
We care for residents and each other, and offer programs, rewards, and benefits to help you live your best.
  Ignite Your Potential
You have the opportunity to grow both personally and professionally, and achieve your career goals."
8,UR Nurse,Aerotek,"Sacramento, CA","Job Description:
Responsible for managing a continuum of care from admission through discharge for assigned patients either inpatient or outpatient.
Partners with medical staff, utilizes scientific evidence for best practices, relevant data and compliance with the mission/philosophy, standards, goals and core values.
Proactively assesses all potential case management and CCS member cases identified from either external or internal sources and actively manages all high risk, high volume cases throughout the continuum of the member's health care needs or until they reach a maintenance mode.
Demonstrates a multidisciplinary approach in identifying problems, communication and negotiating with the member's PCP, family members, caregivers, other members of the health care team, community resources and the Health Plans.
Researches and refers members to sources for alternative funding, community services and other services which may provide support to the patient and family.
Tracks all CCS referrals for timely notification of decisions. Assists Medical Director with CCS appeals as applicable.
Coordinates care for CCS members between PCP, CCS providers and other physicians and providers as needed as applicable.
Identifies cases for possible peer reviewers to evaluate the appropriateness and necessity of care and or quality of care concerns.
Qualifications:
Graduated from an accredited school of nursing
Active CA RN/LVN License
Two years utilization/case management experience in the managed care industry a plus
Word processing and computer experience required.



About Aerotek:
We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions. Learn more at Aerotek.com."
9,Care Manager,Magellan Health,"Rancho Cordova, CA","Under general supervision, and in collaboration with other members of the clinical team, authorizes and reviews utilization of mental health and substance abuse services provided in inpatient and/or outpatient care settings. Collects and analyzes utilization data. Assists with discharge planning and care coordination. Provides member assistance with mental health and substance abuse issues, and participates in special quality improvement projects.

This position will be onsite in the Rancho Cordova, CA office.
Monitors inpatient and/or outpatient level of care services related to mental health and substance abuse treatment to ensure medical necessity and effectiveness.
Provides telephone triage, crisis intervention and emergency authorizations as assigned.
Performs concurrent reviews for inpatient and/or outpatient care and other levels of care as allowed by scope of practice and experience. 
In conjunction with providers and facilities, develops discharge plans and oversee their implementation. 
Performs quality clinical reviews while educating and making appropriate interventions to advance the care of the member in treatment.
Provides information to members and providers regarding mental health and substance abuse benefits, community treatment resources, mental health managed care programs, and company policies and procedures, and criteria.
Interacts with Physician Advisors to discuss clinical and authorization questions and concerns regarding specific cases.
Participates in quality improvement activities, including data collection, tracking, and analysis.
Maintains an active work load in accordance with National Care Manager performance standards. 
Works with community agencies as appropriate. Proposes alternative plans of treatment when requests for services do not meet medical necessity criteria. 
Participates in network development including identification and recruitment of quality providers as needed. 
Advocates for the patient to ensure treatment needs are met.  Interacts with providers in a professional, respectful manner that facilitates the treatment process.
General Job Information
 Title
Care Manager
Grade
22
Job Family
Clinical Services Group
Country
United States of America
FLSA Status
United States of America (Exempt)
Recruiting Start Date
12/4/2018
Date Requisition Created
11/30/2018
Minimum Qualifications
Education
Masters (Required)
License and Certifications - Required
CEAP - Certified Employee Assistance Professional - Care Mgmt, LCSW - Licensed Clinical Social Worker - Care Mgmt, LMSW - Licensed Master Social Worker - Care Mgmt, LPC - Licensed Professional Counselor - Care Mgmt, LPN - Licensed Practical Nurse - Care Mgmt, RN - Registered Nurse, State and/or Compact State Licensure - Care Mgmt
License and Certifications - Preferred
Other Job Requirements
Responsibilities
Minimum Requirements: CA Independent Behavioral Health licensure: LCSW, LMFT, or LPCC. Education: Masters, or Doctoral Degree in behavioral health related field. Experience: 3-5 years.Industry: Managed Care.Job Specific: 3 years experience post degree in psychiatric and/or substance abuse health care setting, including utilization review.Associate Care Manager must have performance ratings of meets expectations or exceeds expectations in order to qualify for this position.Computer Skills: Ability to use computer systems.Licenses, Certifications, etc.: Meets Magellan credentialing requirements for independent professional practice IF performing TRF reviews (Masters level licensed behavioral health professional).CEAP certification as required by management. Other: Good organization, time management and communication skills.Knowledge of utilization management procedures, mental health and substance abuse community resources and providers.Knowledge and experience in inpatient setting.Ability to function independently and as a team member.Knowledge of DSM IV or most current diagnostic edition.Ability to analyze specific utilization problems, plan and implement solutions that directly influence quality of care.
Magellan Health Services is proud to be an Equal Opportunity Employer and a Tobacco-free workplace. EOE/M/F/Vet/Disabled"
