,0,1,2,3
0,Certified Nursing Assistant - CNA,HCR ManorCare,"Citrus Heights, CA","HCR ManorCare provides a range of services, including skilled nursing care, assisted living, post-acute medical and rehabilitation care, hospice care, home health care and rehabilitation therapy.
Certified Nursing Assistants provide basic nursing care to patients and residents within the scope of the nursing assistant responsibilities and performs basic nursing procedures under the direction of the licensed nurse supervisor.
We are looking for Nursing Assistants who would like to combine their love for people and strong work ethic with the opportunities to advance your career.
In return for your expertise, you will enjoy excellent training, industry-leading benefits and unlimited opportunities to learn and grow. Be a part of the team leading the nation in healthcare.
378 - ManorCare Health Services - Citrus Heights, California
Our candidate will possess the ability to communicate with patients and nursing staff. Prior experience as nursing assistant preferred but not required."
1,"Resident Care Specialist, CNA",Mission Carmichael HealthCare Center,"Carmichael, CA","In this role, you will provide personal care to our residents and patients within a skilled nursing facility. You will have the responsibility of assisting with daily living activities such as turning and positioning, toileting, bathing and grooming, feeding, mobility and obtaining and recording vital signs and weight.

In return for your exceptional service, we're committed to our employees and making a great place to work even better."
2,Caregiver/Home Care Aide/PCA/CNA,MissionCare,"Sacramento, CA","Caregiver/Home Care Aide/PCA/CNA Be part of a team that really cares! Join us in helping seniors and disabled adults live independently in their own homes. Hiring caring, kind, and compassionate individuals whose calling is to make a difference in the lives of others. Essential Functions Provides personal care such as bathing, dressing, and grooming Prepares meals and snacks. May shop for groceries Provides companionship and assistance with hobbies Performs homemaking activities which include: vacuuming, dusting, sweeping or mopping floors, doing dishes, changing bed linens, doing laundry and cleaning bathrooms Positions Available for caregiver companions (sitters), certified nursing assistants, certified home health aides, home care aides, and personal care aides. Interviews held daily. Job Requirements Past caregiving experience is preferred but not required; we have a great training program in place Must have a sympathetic attitude towards the care of the sick, and the ability to deal effectively with the demands of the job A valid driver license or State ID"
3,Luxury Assisted Living Jobs - Resident Caregivers & CNAs,myCNAjobs,"Carmichael, CA","Luxury Assisted Living Jobs - Resident Caregivers & CNAs Offering full-time and part-time positions at large assisted living company in America. Rated as top place to work! Looking to join a leader in Assisted Living to grow your career? We employ thousands of associates nationwide and we're hiring our next great associates to work at our luxury assisted living community. Working for us is more than just working for a company, it is a calling. Make a difference in the lives of seniors while growing a meaningful and rewarding career. We believe you should be rewarded for your hard work. Here's what we have to offer you: Full Time & Part Time Hours Competitive Wages Flexible Scheduling Options Paid Time Off Education Reimbursement 401k Savings Retirement Plan Health Insurance for Full-time employees Paid Training Referral Bonuses Caregiver Recognition Programs With countless mentors and training programs, we'll grow your passions and invest in your professional development. Ranked Best Place to work for caregivers & CNAs by myCNAjobs.com Currently recruiting: Caregivers - No Certification Required Resident Aides - No Certification Required Certified Nursing Assistants / Certified Nurse Aide / CNAs CNA Resident Aides Certified Medication Assistant Job Requirements No experience required; positions available for both new and seasoned caregivers Ability to pass a background check Ability to pass a drug screen Ability to provide professional references Compassion - we're looking for reliable caregivers with a passion for service, family values, and a true desire to help the elderly EOE-(Equal Opportunity Employer) and drug-free workplace"
4,"Resident Care Specialist, CNA",Mission Carmichael HealthCare Center,"Carmichael, CA","Resident Care Specialist Description
Summary
Provides services and care for residents and patients.

Essential Duties & Responsibilities
Provides personal care and services such as:
a) Assisting with activities of daily living (turning and positioning, toileting, bathing and grooming, feeding, and mobility)
b) Obtains and records vital signs and weight as assigned.
c) Accurately documents all care as required by company policy and in compliance with state and federal regulations.
Provides non-resident services such as, but not limited to, washing wheelchairs and cleaning resident / patient areas in compliance with infection control procedures.
Contributes to the resident assessment and care plan.
Makes routine rounds on each assigned resident and patient in accordance with established procedures.
Promptly communicates any significant changes in behavior or condition to supervisor.
Completes required forms and documents in accordance with company policy and state and/or federal regulations.
Performs other duties as assigned."
5,Caregiver/Home Care Aide/PCA/CNA,MissionCare,"Rancho Cordova, CA","Caregiver/Home Care Aide/PCA/CNA Be part of a team that really cares! Join us in helping seniors and disabled adults live independently in their own homes. Hiring caring, kind, and compassionate individuals whose calling is to make a difference in the lives of others. Essential Functions Provides personal care such as bathing, dressing, and grooming Prepares meals and snacks. May shop for groceries Provides companionship and assistance with hobbies Performs homemaking activities which include: vacuuming, dusting, sweeping or mopping floors, doing dishes, changing bed linens, doing laundry and cleaning bathrooms Positions Available for caregiver companions (sitters), certified nursing assistants, certified home health aides, home care aides, and personal care aides. Interviews held daily. Job Requirements Past caregiving experience is preferred but not required; we have a great training program in place Must have a sympathetic attitude towards the care of the sick, and the ability to deal effectively with the demands of the job A valid driver license or State ID"
6,Luxury Assisted Living Jobs - Resident Caregivers & CNAs,myCNAjobs,"Sacramento, CA","Luxury Assisted Living Jobs - Resident Caregivers & CNAs Offering full-time and part-time positions at large assisted living company in America. Rated as top place to work! Looking to join a leader in Assisted Living to grow your career? We employ thousands of associates nationwide and we're hiring our next great associates to work at our luxury assisted living community. Working for us is more than just working for a company, it is a calling. Make a difference in the lives of seniors while growing a meaningful and rewarding career. We believe you should be rewarded for your hard work. Here's what we have to offer you: Full Time & Part Time Hours Competitive Wages Flexible Scheduling Options Paid Time Off Education Reimbursement 401k Savings Retirement Plan Health Insurance for Full-time employees Paid Training Referral Bonuses Caregiver Recognition Programs With countless mentors and training programs, we'll grow your passions and invest in your professional development. Ranked Best Place to work for caregivers & CNAs by myCNAjobs.com Currently recruiting: Caregivers - No Certification Required Resident Aides - No Certification Required Certified Nursing Assistants / Certified Nurse Aide / CNAs CNA Resident Aides Certified Medication Assistant Job Requirements No experience required; positions available for both new and seasoned caregivers Ability to pass a background check Ability to pass a drug screen Ability to provide professional references Compassion - we're looking for reliable caregivers with a passion for service, family values, and a true desire to help the elderly EOE-(Equal Opportunity Employer) and drug-free workplace"
7,Caregiver/Home Care Aide/PCA/CNA,MissionCare,"Folsom, CA","Caregiver/Home Care Aide/PCA/CNA Be part of a team that really cares! Join us in helping seniors and disabled adults live independently in their own homes. Hiring caring, kind, and compassionate individuals whose calling is to make a difference in the lives of others. Essential Functions Provides personal care such as bathing, dressing, and grooming Prepares meals and snacks. May shop for groceries Provides companionship and assistance with hobbies Performs homemaking activities which include: vacuuming, dusting, sweeping or mopping floors, doing dishes, changing bed linens, doing laundry and cleaning bathrooms Positions Available for caregiver companions (sitters), certified nursing assistants, certified home health aides, home care aides, and personal care aides. Interviews held daily. Job Requirements Past caregiving experience is preferred but not required; we have a great training program in place Must have a sympathetic attitude towards the care of the sick, and the ability to deal effectively with the demands of the job A valid driver license or State ID"
8,Luxury Assisted Living Jobs - Resident Caregivers & CNAs,myCNAjobs,"Elk Grove, CA","Luxury Assisted Living Jobs - Resident Caregivers & CNAs Offering full-time and part-time positions at large assisted living company in America. Rated as top place to work! Looking to join a leader in Assisted Living to grow your career? We employ thousands of associates nationwide and we're hiring our next great associates to work at our luxury assisted living community. Working for us is more than just working for a company, it is a calling. Make a difference in the lives of seniors while growing a meaningful and rewarding career. We believe you should be rewarded for your hard work. Here's what we have to offer you: Full Time & Part Time Hours Competitive Wages Flexible Scheduling Options Paid Time Off Education Reimbursement 401k Savings Retirement Plan Health Insurance for Full-time employees Paid Training Referral Bonuses Caregiver Recognition Programs With countless mentors and training programs, we'll grow your passions and invest in your professional development. Ranked Best Place to work for caregivers & CNAs by myCNAjobs.com Currently recruiting: Caregivers - No Certification Required Resident Aides - No Certification Required Certified Nursing Assistants / Certified Nurse Aide / CNAs CNA Resident Aides Certified Medication Assistant Job Requirements No experience required; positions available for both new and seasoned caregivers Ability to pass a background check Ability to pass a drug screen Ability to provide professional references Compassion - we're looking for reliable caregivers with a passion for service, family values, and a true desire to help the elderly EOE-(Equal Opportunity Employer) and drug-free workplace"
9,Caregiver/Home Care Aide/PCA/CNA,MissionCare,"Citrus Heights, CA","Caregiver/Home Care Aide/PCA/CNA Be part of a team that really cares! Join us in helping seniors and disabled adults live independently in their own homes. Hiring caring, kind, and compassionate individuals whose calling is to make a difference in the lives of others. Essential Functions Provides personal care such as bathing, dressing, and grooming Prepares meals and snacks. May shop for groceries Provides companionship and assistance with hobbies Performs homemaking activities which include: vacuuming, dusting, sweeping or mopping floors, doing dishes, changing bed linens, doing laundry and cleaning bathrooms Positions Available for caregiver companions (sitters), certified nursing assistants, certified home health aides, home care aides, and personal care aides. Interviews held daily. Job Requirements Past caregiving experience is preferred but not required; we have a great training program in place Must have a sympathetic attitude towards the care of the sick, and the ability to deal effectively with the demands of the job A valid driver license or State ID"
