,0,1,2,3
0,Travel Registered Nurse RN Cardiovascular Operating Room CVOR,OneStaff Medical,"CARMICHAEL, CA","Date Posted:2018-12-18
Occupation Category: 29-2031.00 Cardiovascular Technologists and Technicians
JOB DESCRIPTION
Travel Registered Nurse RN Cardiovascular Operating Room CVOR
Location:CARMICHAEL, California
Shift:  8 and 10 Hour Day Shift Positions Available
Start Date:  12/24/2018
Speciality:  RN - CVOR
Hiring Organization:   OneStaff Medical

Description:

We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we’re here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help.

Now back to what you’re here for; we’re looking for a Travel Registered Nurse RN Cardiovascular Operating Room CVOR to join our family, and well, that’s you! So check this out…

Cardiovascular Operating Room Nurse specializes in the care of cardiovascular patients before, during and following surgical procedures. The CVOR nurse participates in the sedation of patients and assists physicians during the procedure by administering medications, monitoring vital signs and applying dressings.
Experience Requirements:
Minimum 1 year of current work experience in Travel Registered Nurse RN Cardiovascular Operating Room CVOR
California state Healthcare Provider license or willing to obtain
This position may require one or more of these certifications: BLS, ACLS & possibly others
Benefits:
Are you in? Do we need to further convince you why OneStaff Medical is your ideal travel partner? How about:
A dedicated expert (our recruiter) to be by your side 24/7; every step of the process, and to ensure you get exactly what you are looking for!
All the good stuff like; Medical/Dental/Vision Insurance & 401K
Dream assignments all across the country; from sunny California, down to sun-kissed Florida, we got ‘em!
Travel reimbursement as part of your weekly pay!
Licensure and certification reimbursement to our return travelers, when needed for new assignments!
Some hot-hot-hot referral bonuses! (uh hum, so travel w/ an amigo(a) and get paid $500!)

…and FREE super soft premium scrubs through our partners, FIGs scrubs, to all of our loyal return nurses!
If you have questions about details on this assignment, fill out a QUICK APPLY and one of our recruiting specialists will reach out promptly to talk you through it all.
Contract"
1,Travel Nurse - PCU/Stepdown RN - PCU/Stepdown Registered Nurse,ADEX Medical Staffing,"Carmichael, CA","ADEX Travel Nursing has been employing and servicing nurse travelers, sending them to great destinations around the country. Our vast networking affords us exclusive relationships at top facilities offering you unique career opportunities. Call us for more positions, 866-341-2339!

Benefits:
- Hundreds of locations
- Day One Major Medical, Vision, and Dental
- Top Pay
- Custom pay package
- Fully furnished housing or housing stipend
- Weekly direct deposit and weekly pay
- $750 referral bonuses"
2,Error loading,Error loading,Error loading,Error loading
3,Error loading,Error loading,Error loading,Error loading
4,Travel Nurse (RN) - 13 week contract,MedPro Healthcare Staffing,"Sacramento, CA","MedPro is hiring Registered Nurses for immediate and future 13 week travel contracts in California and Nationwide. Specialties include DIALYSIS, ICU, MED SURG, TELE, ER, OR, LABOR and DELIVERY and more! MedPro is a company run by nurses, for nurses. As part of the MedPro team, you will enjoy competitive pay and a comprehensive set of benefits including health, life and disability insurance; matching 401(k); company-paid accommodations; travel reimbursement and more. In addition, all MedPro nurses will automatically become a part of the MedPro Experience personalized employee experience program that embraces and celebrates travel professionals!"
5,"Acute Care Nurse - Relocation to Oregon - $20,000 Bonus",PeaceHealth,"Sacramento, CA","Bring your nursing career to the beautiful Pacific Northwest! PeaceHealth is now offering relocation bonuses up to $20,000, competitive wages and professional development incentives.
 
 Enjoy big city amenities with a small-town feel in Eugene-Springfield! Located between the Cascade Mountains and the Pacific Ocean, we offer an adventure-driven community, the ability to explore spectacular waterfalls, walk the ocean beaches, raft and kayak, cycle through wine country or along miles of bicycle paths.
 
 Just 10 years old, our flagship hospital, Sacred Heart Medical Center at RiverBend, is located on the banks of the scenic McKenzie River in Springfield, OR and recognized as the 6th most beautiful hospital in the US.
 
 New Registered Nurse opportunities are available in: Med/Surg Specialties, Emergency, ICU, Perinatal, NICU, L&D, Perioperative Services, Operating Room, Cardiovascular OR, Behavioral Health, Float Pool and Care Management.
 
 Come join PeaceHealth, an organization dedicated to compassionate, excellent care and an active, integrated, exciting approach to safety.
 
 Our ideal candidates:
 One year of acute care experience as an RN*.
 Current Oregon RN licensure by hire date.
 Current BLS certification required.
 Specialty areas will have additional requirements.
 Value providing mission driven, not-for-profit healthcare.
 *Robust new grad residency program available."
6,Registered Nurse (RN) - Bilingual Spanish,"Octapharma Plasma, Inc.","Sacramento, CA","We are seeking a Registered Nurse (RN) to join our growing biopharmaceutical company. At Octapharma Plasma you can channel your passion for helping others into a medical career that is fast-paced and personally and professionally rewarding. Recent medically trained graduates as well as experienced healthcare professionals are welcome to apply. We offer exciting career advancement opportunities throughout the country!
RN / Registered Nurse - Pharmaceutical - Healthcare
Job Responsibilities
As a Registered Nurse on staff you are responsible for the medical evaluation of potential donors for automated plasmapheresis procedures. You will confirm donor suitability in a timely manner, consulting with a donor center physician as needed. You will provide limited emergency care including the administration of any medications or treatments in accordance with your certification, training and standard operating procedures.
Additional responsibilities of the RN role include:
Determining donor suitability of new applicants
Conducting evaluations to ensure criteria of normal plasma donors are met
Reviews medical histories and performs physical examinations
Maintains communication logs regarding any communications with the licensed physician regarding donor suitability
Reviews all normal and abnormal test results and determines continued donor eligibility
Counsels donors with abnormal test results and defers donors accordingly
Utilizes bilingual skills to communicate with donors, as needed
RN / Registered Nurse - Pharmaceutical - Healthcare
Job Requirements
Qualified candidates of this nursing role must be graduates of a recognized healthcare educational program. You must be organized, team-oriented, flexible and comfortable working with a diverse range of people in a very busy medical environment.
Other requirements of the RN role include:
Licensed as an RN
Specific State licensing must be met per location
1+ year of hospital, field care or plasma center experience, preferred
Blood bank or plasma center experience, highly preferred
Must maintain current certification in CPR
Ability to educate donors, staff, and community regarding plasma donation program
Must possess basic computer knowledge and skills (Microsoft Word and Excel preferred)
Must be fluent in Spanish and English, both verbal and written
RN / Registered Nurse - Pharmaceutical - Healthcare
Benefits
At Octapharma Plasma we believe in our employees who have the passion and ability to make a difference to the quality of life of their communities. The individual growth and success of each and every employee at Octapharma Plasma is an integral part of our
 continued growth and success. We offer competitive compensation and a comprehensive benefits package.
Other benefits include:
Medical, Dental and Vision Insurance
Life Insurance
401(k) contribution and matching program
Flexible Spending Accounts
Tuition Reimbursement
Team-oriented environment
Recognition programs
 
 
 
 RN / Registered Nurse - Pharmaceutical - Healthcare"
7,Behavioral Health Nurse Director,Clinical Management Consultants,"Sacramento, CA","An amazing new opportunity with one of the Northern California’s leading healthcare systems has just opened. With a strong belief that improved technology leads to improved patient care this compassionate, not for profit hospital is looking for an energetic Behavioral Health Nurse Director to lead their highly skilled team.
This award-winning behavioral health facility prides its self on providing quality care to the community as part of one of the largest healthcare systems in the country. Offering both inpatient and outpatient mental health services.
The Behavioral Health Nurse Director will report to the Executive Administrator and work closely with the Chief Nursing Executive. They will oversee both inpatient and outpatient service lines. With several direct reports including unit managers, supervisors, educators and social workers. Key functions will include, staff training and mentoring as well as budgeting and program oversight. They will also act as a facility representative with other system hospitals building and maintaining relationships for patient referrals as many start in other facilities emergency departments.
The Behavioral Health Nurse Director will have both experience in an acute care setting as well as psychiatric management experience. Having exceptional leadership skills to back up a strong clinical background will help ensure that the Behavioral Health Nurse Director can meet and exceed the challenges of a sometimes rapidly changing facility.
This amazing, vibrant community in Northern California has something for everyone. With unlimited outdoor activity options from hiking, mountain biking and camping this is an ideal place to live for anyone who enjoys a healthy active lifestyle. Being close to San Francisco Bay Area but with a much lower cost of living and great schools this is an ideal place for any health care professional to call home.
Take advantage of this amazing career opportunity, as the Behavioral Health Nurse Director will be offered a highly competitive salary along with a full suite of benefits including paid time.

monsterboost9999"
8,Error loading,Error loading,Error loading,Error loading
9,UR Nurse,Aerotek,"Sacramento, CA","Job Description:
Responsible for managing a continuum of care from admission through discharge for assigned patients either inpatient or outpatient.
Partners with medical staff, utilizes scientific evidence for best practices, relevant data and compliance with the mission/philosophy, standards, goals and core values.
Proactively assesses all potential case management and CCS member cases identified from either external or internal sources and actively manages all high risk, high volume cases throughout the continuum of the member's health care needs or until they reach a maintenance mode.
Demonstrates a multidisciplinary approach in identifying problems, communication and negotiating with the member's PCP, family members, caregivers, other members of the health care team, community resources and the Health Plans.
Researches and refers members to sources for alternative funding, community services and other services which may provide support to the patient and family.
Tracks all CCS referrals for timely notification of decisions. Assists Medical Director with CCS appeals as applicable.
Coordinates care for CCS members between PCP, CCS providers and other physicians and providers as needed as applicable.
Identifies cases for possible peer reviewers to evaluate the appropriateness and necessity of care and or quality of care concerns.
Qualifications:
Graduated from an accredited school of nursing
Active CA RN/LVN License
Two years utilization/case management experience in the managed care industry a plus
Word processing and computer experience required.



About Aerotek:
We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions. Learn more at Aerotek.com."
