,0,1,2,3
0,Superintendent - Construction,CyberCoders,"Sacramento, CA","Based in Sacramento, CA we are a dynamically growing full-service development and construction organization with a reputation for excellent service, quality and trust. While other large providers simply go with the flow, we plunge right through with pure intent to disrupt by delivering superior projects on time and on budget. Our highly superior project service and trust have already taken the industry by storm and we aim to continue our campaign to produce something that our clients/consumers truly benefit from.

Currently, we are looking for a truly skilled and goal-oriented Superintendent with experience in Tenant Improvement on projects in the range of $500K - $5M.. If this sounds like you, we would love to tell you more about this incredible opportunity!!
Top Reasons to Work with Us
1. Stable company! Been in business for many years!
2. Career Growth!
3. We take care of our employees, because we care about our employees
What You Will Be Doing
- Schedules the project in logical steps and budget time required to meet deadlines.
- Confer with Project Manager, owners, and contractors to discuss and resolve matters such as work procedures, complaints and construction problems.
- Interpret and explain plans and contract terms to workers and clients.
- Plan, organize, and direct on-site activities concerned with the construction and maintenance of structures, facilities and systems.
- Take actions to deal with the result of delays, bad weather, or emergencies at construction site.
- Inspect and review projects to monitor compliance with building and safety codes, and other regulations.
- Study job specifications to determine appropriate construction methods.
- Oversee subcontractors who complete specific pieces of the project, such as painting or plumbing.
- Investigate damage, accidents or delays on construction sites, to ensure that proper procedures are being carried out.
- Processes supplies and materials to complete construction projects.
What You Need for this Position
At Least 3 Years of experience and knowledge of:

- Superintendent
- Tenant Improvement
- Construction Management
- Commercial Construction
What's In It for You
- Competitive base salary
- Health Insurance Contribution
- Dental & Vision Insurance Contribution
- Paid Time Off (Vacation & Personal)
- Paid Holidays
- Personal Growth in a company with limitless potential
So, if you are a Superintendent with experience, please apply today!"
1,Environmental Engineer Construction Manager,TERRA PACIFIC GROUP,"sacramento, CA","Terra Pacific Group, Inc. is seeking a qualified and motivated Environmental Engineer/Construction Manager to join our growing team in Northern California.  The ideal candidate has 10-15 years of relevant experience with remediation of contaminated sites and experience as a Construction Manager for site remediation. 
Terra Pacific Group, Inc. (TPG) is an established Environmental Engineering, Consulting, and Construction company with offices in Irvine, Walnut Creek, and San Francisco California.  We provide environmental engineering consulting services and construction management for a wide range of industries.  Our site remediation services address all types of contaminants in soil and groundwater using conventional and cutting-edge technologies.
This is a great opportunity to join our growing Construction Services practice to address several exciting large scale and complex remediation construction projects in Northern California. 
The ideal candidate has a B.S. or M.S. degree in Environmental or Civil Engineering and has experience as a remediation or civil construction manager.  Candidates with other science or engineering degrees and relevant experience will be considered.  Desired skills include:
RESPONSIBILITIES:
Manage or conduct field work, including remedial pilot tests, construction management, and remedial system operation and maintenance.
Prepare or assist with remedial designs, cost estimates, schedules, and feasibility studies.
Manage subcontractors and effectively communicate with regulatory agents, tenants, and clients during field activities.
Prepare construction specifications, work plans, environmental compliance plans, permits, and reports for air quality, hazardous waste, spill prevention, storm water, and wastewater.
Assist TPG clients with compliance with federal, state and local regulations associated with remediation.
REQUIREMENTS:
BS in chemical, civil, environmental, or mechanical engineering or related degree. 
10-15 years of relevant Construction Management experience with good working knowledge of established construction means and methods, heavy equipment resources, standards of practice, and construction safety. 
Ability to direct and manage a team of TPG personnel and TPG subcontractors and take ownership of site operations on a complex remediation site as the TPG Construction Manager.
Environmental field work experience and 40-hour OSHA HAZWOPER certification.
Strong commitment to safety, including following established Health and Safety protocols.
Valid driver’s license and a good driving record.
Effective written/verbal communication and leadership skills. 
Experienced and effective in managing Scope/Schedule/Budget with proper planning and contemporaneous documentation and reporting of changed conditions or concerns. 
Ability to multi-task, maintain flexibility, travel, and work independently with minimal supervision.
Willing to travel out of town for extended periods of time.
Local candidates preferred.
Please submit your resume and brief cover letter. 
 "
2,Error loading,Error loading,Error loading,Error loading
3,Mechanical / Plumbing Designer,TechniPower,"SACRAMENTO, CA","Responsible for designing HVAC and plumbing systems for commercial facilities; will attend design meetings and assist in contract administration

This is a direct hire for my client.

***This candidate must be a US Citizen, Green Card Holder, or Permanent Resident. No OPT, C2C, or H1B***

Requirements  

-Minimum of 3 years experience in designing HVAC and/or plumbing systems

-AutoCAD proficient, required

-Revit proficient, a plus

-Experience in Title 24 compliance documentation

-Experience with load calculations, highly desired"
4,Foreman,Sunrun,"Sacramento, CA","Overview

Foreman: Position Summary

We believe there is a better, less expensive, cleaner way for families to power their homes. As a pioneer of solar-as-a-service model, we are truly saving the planet, one solar panel at a time. We have long-established relationships with some of the nation's largest and most trusted national retailers which provide us with a great platform for driving further awareness and brand recognition.

A career at Sunrun opens countless opportunities for you to sharpen your skills, push limits and uncover your potential. Sunrun services 23 states, with dual headquarters in San Francisco and Denver. Sunrun continues to rapidly expand as customer awareness and demand for solar increases. With this growth we have great career opportunities and upward mobility for highly motivated, success-minded Installation employees. Come join our exciting team at Sunrun!

Foreman will provide leadership and technical expertise for a solar installation crew. The Foreman is responsible for the safety, quality, customer service, and productivity of each assigned solar installation project. The Foreman is a working field position that leads a team of 3 to 6 members to successfully complete residential projects.

Join nearly 4,000 and growing Sunrunners on our mission to Create a Planet Run by the Sun!

Responsibilities

ESSENTIAL DUTIES AND RESPONSIBILITIES
Responsible for the successful installation of residential solar projects
Organize, lead, and train crew members to complete projects within established guidelines and timeframes
Ensure attention to detail with an emphasis on safety, quality, customer service, and productivity
Effectively manage all aspects of the construction workflow of the project to drive productivity
Ensure that there is adequate materials and equipment to safely and efficiently complete projects
Effectively maintain project documentation and photo requirements
Demonstrate knowledge of OSHA standards related to photovoltaic installations and enforce safety practices and standards
Check on progress of installers every hour throughout the installation to ensure the installation process; Follow construction job flow procedures
Develop a positive working dynamic within installation crew and branch co-workers; Analyze and resolve worker problems and recommend solutions; Maintain consistent and appropriate interface with customer throughout construction phase
Assist the crew on the roof as needed to ensure an efficient and high quality installation
Perform weekly vehicle inspection for proper tire pressures, oil level, working lights, etc.
Obtain customer payments and deliver to management as required
Ensure accuracy of your own and crew's time sheets
Provide construct-ability feedback to management
Maintain excellent lines of communication
Perform service calls when necessary
Additional duties assigned as needed


Qualifications

REQUIREMENTS (EDUCATION, EXPERIENCE, CERTIFICATIONS, AND OTHER SKILLS)
Must have minimum of 2 years construction or roofing experience, including 1 year of solar installation experience, as well as leadership responsibilities
Knowledge of the NEC and applicable codes and standards. Carry and maintain up-to-date NEC code book
Ability to perform all installation duties of the Installer and Lead Installer
Have CPR and First Aid Certifications up to date and keep maintained for purposes of continued employment (class costs are reimbursable by the company)
Physically capable of performing work duties
Ability to communicate with customers in courteous and professional manner
Have a strong work ethic, high level of craftsmanship/workmanship with strong attention to detail
Basic computer knowledge of Microsoft Excel and Word
Possess strong mechanical/construction skills
Have excellent verbal communication and documentation skills
Ability to manage multiple tasks simultaneously
Have good people skills, able to manage, motivate and discipline when necessary
Experience with electrical work involving wiring up to 600 VDC and 480 VAC
State electrical certification/license preferred
Ability to drive a vehicle during the normal course of business. Must maintain a clean driving record with the ability to pass a driving background check. Must be 21 years of age and possess a valid driver's license
Ability to successfully pass pre-employment screening requirements including a background check and drug screen


WORKING CONDITIONS AND PHYSICAL DEMANDS

Ability to transport materials and equipment to complete assigned job tasks (up to 50 pounds frequently and up to 100 pounds with assistance)
Ability to work on rooftops with various angles and surfaces which requires frequent bending, twisting, squatting, climbing, kneeling, crawling, turning, standing, and balance
Ability to work in confined spaces such as attics, basements, and crawl spaces which requires kneeling and crouching
Ability to work in outdoor weather conditions including but not limited to: excessive noise, extreme heat, extreme cold, wet environment, and humidity
Ability to frequently utilize hand functions requiring fine motor skills including but not limited to: fine manipulation, grasping, and pinching
Ability to work within the safe range of equipment such as ladders, fall protection harnesses and other personal protective equipment
Ability to work while wearing heavy protective equipment such as arc flash suits, gloves, and face shields
Ability to work and maintain balance on roofs and other areas of height
Ability to work in the sun and possibly low light conditions
Ability to walk on rafters, roof tiles, and roof shingles without damage
Ability to distinguish colors such as red, black, yellow, white, green
Ability to hear verbal commands and warnings
Ability to work with chemicals using appropriate protection


DISCLAIMER

This description indicates the general nature and level of the qualifications and duties required of employees in this job classification, as well as the essential functions a person must be able to perform to do this job. It is not designed to be a comprehensive inventory of all duties and qualifications required of employees assigned to this job.

Sunrun Inc. and its subsidiaries are equal opportunity employers and make employment decisions on the basis of merit and business need. We hire without consideration to race, color, religion, citizenship, political activity or affiliation, marital status, age, national origin, ancestry, disability, veteran status, sexual orientation, gender identity, gender expression, sex or gender, or any other basis protected by law.

RSRRUN"
5,CONSTRUCTION SUPERINTENDENT - Multiple Opportunities!!!!,AppleOne,"Sacramento, CA","Job Description:
In this role you will put your leadership skills to good use, managing a team of construction workers, creating schedules and planning all aspects of the construction project, both technical and practical. You will be the key professional responsible for overseeing the entire project and ensuring it does not hit any issues or delays. If any problems do arise, you will have the critical thinking and decision-making abilities to resolve it quickly, effectively and creatively to stay on the projected schedule.

Job Responsibilities
? Confer with other supervisors, gathering information about all aspects of a construction project in order to get a firm understanding of progress
? Relay information to supervisors clearly and quickly for them to make adjustments in any area of the construction project
? Create a plan before the construction project begins, taking all aspects into consideration, hiring necessary contractors and overlooking blueprints
? Design a schedule for the project, ensuring it is both reasonable and ambitious, then taking measures to keep construction on schedule
? Obtain necessary permits and licenses prior to the beginning of the project and foresee any other legal requirements
? Inspect progress to ensure all work is completed following mandated building codes and policies, as well as environmental regulations, making note of errors or violations and giving instructions to correct them
? Meet with clients, providing them with information about the progress of construction, taking measures to quell any concerns, answer inquiries and give updated schedules



MUST HAVE A MINIMUM OF 3+ YEARS OF EXPERIENCE We are an equal employment opportunity employer and will consider all qualified applicants without regard to race, color, religion, sex, sexual orientation, age (40 and over), gender identity, national origin, protected veteran status, disability or any other protected classification under federal and state law. You can view all of our jobs online at http://www.appleone.com/?sc=11&id=1283921

Job Experience:
,,, We have a number of opportunities with some of the top General Contractors and Sub Contractors in the area!

Looking Superintendent's with experience managing the following projects:
OSHPD, Multi-Family, and Commercial."
6,Construction Contract Manager,United Employment Group Inc,"Sacramento, CA","Manages the various documents concerning construction contracts dealing with the contractors as a coordinator between clients, project manager, subcontractors and the company’s corporate office. The job duties include some general office tasks but are heavily involved with technical document compliance reviews.  Contracts include purchase or sale of equipment, materials, products, and/or services.  Construction contracts are focused on design/build.  
 The successful applicant will be required to complete a pre-employment drug test, pass a background check, possess a valid driver’s license with a satisfactory driving record, and participate in random drug testing per our Drug Free Workplace Policy.
 Essential Duties and Responsibilities:
 Reviews all contracts, identifies and applies appropriate contract procedures in accordance with Company policies. Compiles contract documents, processes, and proofreads drafts generated during negotiations.  Establishes and maintains contact with contractors to ensure the smooth working of the contract awarding process;
Reviews project documents to ensure all components of the project set-up are in place such as evidence of financing, permits, schedules, notice to proceed, etc.
Manages essential documents and reviews processes for company compliance of prevailing wage projects such as DAS forms, review of subcontractor certified payrolls for rates and dates, apprenticeship certificates and more.
Identifies and compiles federal and state reporting requirements, information essential for bid responses and other documents for company compliance purposes;
Identifies, coordinates, and/or generates submittals in compliance with contract documents which are administrative in nature (i.e., certificates of insurance, AAP submittals, certified payrolls, safety policies, etc.)
Attends project review meetings.  Identifies and assists with drafting contract notices and other contract documents for changed conditions;
Upholds the Company policies and processes regarding contract management and use;
Ensures the systematic transfer of documents to corporate staff for accounting and management purposes;
Maintains licenses and registrations required for the operations of the division; participates in the safety committee and coordinates and/or processes paperwork for reporting accidents, maintaining OSHA logs and returning employees to work.  Records minutes of the safety meetings and tracks tool box meetings and safety bucks;
Coordinates the monthly invoicing of projects and collection of past due accounts;
May directly supervise other employees in the various administrative roles; carries out supervisory responsibilities in accordance with the organization's policies and applicable laws; and
Other duties as assigned.


Qualifications:  To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
 Education and/or Experience:  Bachelor’s Degree or equivalent from a two-year accredited college with five years’ related experience in construction project management; or equivalent combination of education and experience.  A degree in Construction or Project Management is preferred. 
 Language Skills:  Ability to read, analyze and interpret general business periodicals, professional journals, technical procedures, or governmental regulations.  Ability to write reports, business correspondence and procedure manuals; to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.
 Mathematical Skills: Has the ability to calculate figures and amounts such as discounts, interest, commissions, proportions, and percentages; and the ability to apply concepts of basic algebra and geometry.
 Reasoning Ability:  Ability to solve practical problems while dealing with a variety of concrete variables where only limited standardization exists; ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form.
 Contract Review: Ability to read and review contract for job specific compliance with company policies. Ability to interpret contract language for application to work flow and assess scope liabilities. 
 Computer Skills:  To perform this job successfully an individual should have knowledge of contact management system, internet software, spreadsheet software, data base software and word processing software.
 Other Qualifications:  Valid driver’s license required."
7,Chief Estimator - Construction,"Wells Construction, Inc.","ROSEVILLE, CA","CHIEF ESTIMATOR
 Classification:  Exempt
 Job Purpose:  The Chief Estimator’s principal duty is to supervise the estimating team, collect and analyzes all project costs, including raw materials, labor, and equipment to ensure estimates are accurate.
 Duties:
 Train, supervises, and assigns responsibilities forestimators on each project
 Visit job sites and proposal sites as required to perform estimates and gather cost data
 Prepare take-offs as necessary
 Receive and analyze subcontractor bids
 Prepares instructions to bidders, bid form and other bid solicitation information as required
 Prepare, coordinate, review and distribute estimates in accordance with Company policy and procedures
 Develop and maintain professional relationships with owners, architects, subcontractors, and vendors
 Participate in the transfer of information on successful projects including the Job Kick-off and Turnover Meetings.
 Maintains and communicates data on construction and material cost trends affecting project costs.
 Identifies and quantifies potential cost uncertainties to ensure costing models capture the full range of potential costs.
  Updates costs as necessary based on new information and project scope changes.
  Performs other related duties as needed.
  Skills/Qualifications:
 Minimum 5 years commercial construction estimating experience. Must be computer literate in Microsoft applications.  Effective communication skills both verbally and in writing with superiors, colleagues and individuals inside and outside the Company.  Effective analytical and problem-solving skills. Knowledge of Sage 300 Construction & Estimating a plus."
8,Fitter/Welder 1,Acara Solutions,"Sacramento, CA","Acara Solutions, Inc., formerly Superior Group is looking for Fitter Welder 1 for our client located in Sacramento, CA
Work detail drawings fit-up piece parts in fixturing- fit, tack and weld piece parts according to detail drawings with components consisting of steel channels, brackets, angles, sheathing, assemblies and subassemblies.
Tack welds all parts together in equipment, ensuring all dimensions are correct to specified drawings.
Weld complete assembly according to specified welding standards.
Correct fabrication mistakes.
Incorporate approved design changes where necessary.
Fabricate shop fixtures as needed by assembly personnel per engineering sketch.
Expected to contribute and maintain conditions that will ensure a healthy and safe working environment.

Required Skills / Qualifications:
High school or GED.
Minimum of 2 years’ experience in heavy mechanical manufacturing, AWS certification (American Welding Society) for welding of STAINLESS STEEL using GMAW process position 3G, Vertical up and 4F overhead.
Preferred Skills / Qualifications:
Working knowledge of torch and plasma equipment.
Working knowledge of GTAW Welding.
Understand and apply, minimally these forms of welding; carbon steel, stainless steel, low alloy.
General mechanical background.
Use hand tools and welding tools safely.
Work as a team member in group situations.
Fully understand manufacturing drawings, able to verify dimensions.
Additional Information
Upon offer of employment, the individual will be subject to a background check and a drug screen.
Complete shop order documentation and time sheets.
May be requested or needed to work overtime, weekends and different shifts as business needs dictate.
Works on assignments that are routine in nature.
Normally receives basic instructions on routine tasks and detailed instructions on new assignments.
Follows standard practices and procedures where answers can be readily obtained.
Apply workmanship standards and understand and carry out instructions furnished in written, oral or diagram form.
While performing the duties of this job, the employee is regularly needed to stand.
The employee frequently is needed to walk; reach with hands and arms; and stoop, kneel, crouch, or crawl.
The employee is occasionally needed to sit; use hands to finger, handle, or feel objects, tools, or controls; climb, crawl in tight spaces or balance; and talk or hear.
The employee must occasionally lift and move no more than 40 pounds.
Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.
Wear a Powered Air Purifying Respirator (PAPR), and any other needed personal protective equipment.
Go Beyond. .
EEO Employer - Minorities / Females / Disabled / Veterans / Sexual Orientation / Gender Identity."
9,Professional Land Surveyor,GPAC,"Sacramento, CA","I am working with an exciting small to mid-sized firm in the Central Valley, that is bringing in work faster than it can keep up. They need a Professional Land Surveyor to head up their Surveying department. You need to be licensed in CA and ready to take the reigns on these projects and run with it.
- Licensed in CA
- create, review, and certify legal documents and mapping
- Drafting, Drawing and familiar with GPS and GIS systems
- Self starter and self motivator
- Problem solver and independent worker
- Great benefts, family feel, outdoor living, low cost of living, and a flexible schdule.
My name is Ken Markie and I place professionals at all levels across the country. To confidentially discuss the next step in your career, I encourage you to contact me at 605.277.3808 or via email at ken.markie@gogpac.com
GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States over the past 28 years. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time.
All qualified applicants will receive consideration without regard to race, color, religion, sex, sexual orientation, gender identity, national origin or protected veteran status."
