,0,1,2,3
0,Construction Senior Superintendent,Webcor,"San Francisco, CA","Who We Are:
Webcor employs people of integrity and passion to build diverse, high-profile, and innovative structures for our clients. Webcor was founded in San Francisco in 1971. We are still headquartered in San Francisco and are committed to growing throughout California (and beyond). Through career development and employee-specific rotation plans, we foster collaboration across our construction management divisions (Core & Shell and Special Projects) and self-perform groups (Concrete, Interior Construction Group, and Paramount Drywall). We provide craft professionals, experienced professionals, and new graduates with financial, health, and wellness benefits that encourage and reward individual contribution.
Why Join Us?
We love to build for both public and private owners. We don’t shy away from what we have never done before.
We are deeply connected to continuous improvement. We welcome better ways of doing things.
The U.S. GREEN BUILDING COUNCIL has recognized us with multiple LEED PLATINUM awards for our commitment to sustainable design, communities, and construction.
Career tracks are clear and we encourage employee mobility and development.
We pay an average of over 85% of the cost of medical benefits for employees and their families. We cover the total cost of dental, vision, life, and disability insurance. We offer a generous 401(k) match. And we offer a range of other benefits, from a wellness program to legal assistance.
What You’ll Do:
People don’t want bureaucratic processes slowing or preventing them from building innovative structures. At Webcor, we get things done and make projects happen.
As a Project Director, you have overall supervision of projects and will lead teams of construction professionals, from pre-construction and project close out.  You will:
Serve as primary Owner/Contractor interface.
Monitor processes, progress and results of financial goals, schedule, quality, safety, team effectiveness, employee development and client satisfaction.
Formulate strategies to enhance project delivery. Effectively leads in problem prevention strategies to limit reactionary practices.
Provide team leadership and mentoring
Focus on continuous improvement and innovation in all you do
What You Need to Succeed:
A Bachelor’s degree (preferably in Construction Management, Civil or Mechanical Engineering, or Architecture) or equivalent experience.
Minimum ten years managing construction projects, to include five years as a Sr. Project Manager or Senior Superintendent.
Experience in Healthcare, Labs highly preferred.
LEED AP is preferred but not required
Strong leadership and mentoring abilities
Excellent communication skills, both oral and written
Webcor is AN EQUAL OPPORTUNITY EMPLOYER.
#KRT
BackShare
Apply Now"
1,Environmental Engineer Construction Manager,TERRA PACIFIC GROUP,"San Francisco, CA","Terra Pacific Group, Inc. is seeking a qualified and motivated Environmental Engineer/Construction Manager to join our growing team in Northern California.  The ideal candidate has 10-15 years of relevant experience with remediation of contaminated sites and experience as a Construction Manager for site remediation. 
Terra Pacific Group, Inc. (TPG) is an established Environmental Engineering, Consulting, and Construction company with offices in Irvine, Walnut Creek, and San Francisco California.  We provide environmental engineering consulting services and construction management for a wide range of industries.  Our site remediation services address all types of contaminants in soil and groundwater using conventional and cutting-edge technologies.
This is a great opportunity to join our growing Construction Services practice to address several exciting large scale and complex remediation construction projects in Northern California. 
The ideal candidate has a B.S. or M.S. degree in Environmental or Civil Engineering and has experience as a remediation or civil construction manager.  Candidates with other science or engineering degrees and relevant experience will be considered.  Desired skills include:
RESPONSIBILITIES:
Manage or conduct field work, including remedial pilot tests, construction management, and remedial system operation and maintenance.
Prepare or assist with remedial designs, cost estimates, schedules, and feasibility studies.
Manage subcontractors and effectively communicate with regulatory agents, tenants, and clients during field activities.
Prepare construction specifications, work plans, environmental compliance plans, permits, and reports for air quality, hazardous waste, spill prevention, storm water, and wastewater.
Assist TPG clients with compliance with federal, state and local regulations associated with remediation.
REQUIREMENTS:
BS in chemical, civil, environmental, or mechanical engineering or related degree. 
10-15 years of relevant Construction Management experience with good working knowledge of established construction means and methods, heavy equipment resources, standards of practice, and construction safety. 
Ability to direct and manage a team of TPG personnel and TPG subcontractors and take ownership of site operations on a complex remediation site as the TPG Construction Manager.
Environmental field work experience and 40-hour OSHA HAZWOPER certification.
Strong commitment to safety, including following established Health and Safety protocols.
Valid driver’s license and a good driving record.
Effective written/verbal communication and leadership skills. 
Experienced and effective in managing Scope/Schedule/Budget with proper planning and contemporaneous documentation and reporting of changed conditions or concerns. 
Ability to multi-task, maintain flexibility, travel, and work independently with minimal supervision.
Willing to travel out of town for extended periods of time.
Local candidates preferred.
Please submit your resume and brief cover letter. 
 "
2,Error loading,Error loading,Error loading,Error loading
3,Construction Project Manager: Tenant Improvements,CyberCoders,"San Francisco, CA","We are a third generation construction company founded in 1934 bringing over 90 years of experience to the industry. We build out high quality interiors for office, medical, dental, scientific, laboratory, industrial and retail users. In addition to interiors, we perform major exterior renovations, seismic upgrades and construct new buildings.

Our mission is to provide the highest quality construction services quickly, where the customer realizes value by receiving superior effort and honest communication that is both proactive and responsive. Our team is committed to the full customer experience. Each of us bring a piece of the whole picture with seamless behind the scenes execution while offering our team members opportunities for upward mobility through proven performance.
What You Will Be Doing
- Manages day-to-day operation aspects of a project and scope.
- Effectively applies our methodology and enforces project standards.
- Ensures project documents are complete, current, and stored appropriately.
- Develops cost-effective plans and schedules for completion of projects following a logical pattern for utilization of resources.
- Maintain strict adherence to the budgetary guidelines, quality and safety standards.on
What's In It for You
We are willing to offer excellent compensation projects including:
- Competitive base salary (DOE)
- Strong bonus structure
- Benefits
- Gas and Cell Allowance
- PTO & Sick Leave
- 401(k) retirement plan
- And more...
Feel free to send your resume (and project list is a huge plus) directly to bernard.royal@cybercoders.com"
4,Construction Project Manager - Senior and Associate Position Available,Reliant Project Management,"SAN FRANCISCO, CA","Have you adjusted property claims or worked as a Portfolio Manager? If so, please apply ...
We specialize in reconstruction for homeowner and commercial owner associations, as well as apartments, from the result of damage from water or fire. We also manage capital improvement projects, reconstruction post the settlement of construction defect claims and coordinate the inspections and testing of fire/life safety systems.
Our work sometimes entails the oversight of remediation services, restoration, and insurance claims resolution. The work may be limited to the common areas or a single unit at a property. At other times our work may involve multiple units and with various insurance carriers.
If you have worked in the field of construction, adjusting property damage claims, and/or with boards of directors, as portfolio managers for homeowner or owner associations, and have a strong desire to master the field of construction management, we are currently seeking someone to join our team.
This is a great opportunity to join a growing company that offers a competitive salary and provides a team-oriented atmosphere.
Job Responsibilities-
As a Construction Project Manager (CPM) you will be responsible for fulfilling the administrative duties of projects including providing field oversight and assistance, as well as, soliciting/reviewing estimates and coordinating schedules. The CPM is the ultimate authority on the progress and completion of construction projects. The CPM also works as a liaison between the construction team, architects, designers and property owners to facilitate communication, decision making, and problem solving.
Desired Qualifications:
- Associate's or bachelor's degree in construction management or related field, or
equivalent combination of training and work experience
- 2 - 5 years of experience in construction management or a closely related field.
- Excellent computer skills.
- Experience working with building inspectors, general contractors, board members
and unit owners
- A general understanding of governing documents such as Covenants, Conditions
and Restrictions (C.C &amp; R's), preferred
- Knowledge of, or experience handling property and liability insurance claims.
- Strong communication and analytical 60,00skills
- Benefits: Medical, Dental, LTD, PTO policy
- Salary: Associate position - $60,000 -75,000 (DOE) / Senior position - $75,000 - $100,000 (DOE)
Job Type: Full-time
 "
5,Error loading,Error loading,Error loading,Error loading
6,Construction Project Manager,Michael Page USA,"San Francisco, CA","Top Civil Engineering firm in the SF area
Great opportunity for growth with competitive salary

Client Details

Large firm seeking strong candidate with transportation experience

Description

Organize overall planning and executive of all activities to prioritize and meet critical deadlines to ensure maximum efficiency and productivity

Experience in usage of sound construction practices to attain required quality at minimum cost

Critical thinking - provides clear resolutions of difficult and complex issues during course of the project

Obtain accurate budget estimates and staffing requirements for entire project length

Prepares reports summarizing progression of all construction activities for higher-level management and clients

Monitor quality control

Profile

7+ years of infrastructure heavy construction

Transportation experience

Worked as superintendent or construction manager on civil construction projects

B.S. in engineering or other related field


Job Offer

Competitive Base Salary
401K


Paid vacation


Opportunity to work with a top civil engineering firm"
7,Construction Superintendent,Westport One,"Daly City, CA","Immediate opening for all levels of Superintendents!
Join a Top 15 ENR Listed Contractor with over 100 year of construction excellence!
Financially stable with no debt. Proven track record of stability in all markets!
The people are the heart of the company and treated as such.
Continuous improvement, training, and opportunities for career growth.
Job Description
This position is to effectively monitor, direct, and coordinate the field operations. To work together with all project managers and engineers to form an effective management team.
Develop and maintain the site logistics plan for the project.
Develop and maintain CPM Schedules.
Conduct preconstruction meetings with all subcontractors prior to beginning each phase of work.
Review and assist in developing scopes of work for each subcontractor.
Participate in progress meetings with the team and or owners.
Follow up on RFIs, submittals, as-builts and changes.
 Qualified candidates will have:
Minimum of 5 years’ experience in Commercial construction. (Hospitality, High-Rise, Corp Office, Healthcare, Municipal, Educational, Technology Science)
Experienced with projects over $20 Million.
Familiarity with requirements of drawings and specifications and with terms and conditions of Project Contracts, subcontracts and change orders
Strong ability to read drawings and specifications
Strong written and verbal communication skills
Strong decision making/ problem-solving skills
Excellent time management and organizational skills
Ability to function effectively as part of a team
Strong management skills
Delegate work appropriately
Broad understanding of industry
Computer knowledge and efficiency, including Microsoft Office products
 Competitive pay and benefits with a growing company.
Come join a growing,  Employee Own Company. A global leader in their industry they have a culture of inclusiveness. They give back to their community and their employees. This is a company that is driven by a solid set of honest, and ethical core values, which are at the heart of their corporate culture.

Westport One consistently ranks as one of the top 10 offices within the MRI Network system, which consists of more than 700 offices worldwide.

Our dynamic search consultants focus on two specialties: transit sector and general contractors.  We partner with various General Contractors who in range in annual volume from as little as $25 million to over $1 billion.  We specialize in placing Project Managers, Project Executives, Estimators, Superintendents, and Business Development positions.

Any inquiries relating to this ad will be kept confidential.

To learn more about our organization please visit us at www.westportone.com.

To apply for this position, submit your resume by choosing one or more of the following:
1.)    ***CLICKING “APPLY NOW” ON THIS PAGE*** (PREFERRED)
 2.)   Email your resume in WORD format to kim@westportone.com.  Please refer to job reference code TW/CaliforniaSuper in the subject line.
 3.)   Fax resume with cover letter to:  314-991-9586.  Attention:  Kim Carlson.  Please refer to job reference code TW/CaliforniaSuper
 NO CALLS PLEASE"
8,Construction Estimator,"Davron, LLC","San Francisco, CA","Our client is currently seeking a qualified Estimator who has a strong background in grading, paving and construction management projects. The company is a leading General Engineering Contractor in the San Francisco Bay Area, Sacramento Valley, and San Joaquin Valley region developing infrastructure projects ranging from pre-bid consulting thru project management and construction completion.
We have an immediate need for an Estimator to come on board with a well-established General Engineering Contracting firm in Dublin, California.
Requirements/Responsibilities for this position include:
Bachelor’s Degree in Civil Engineering, Construction Management, Business Administration, or equivalent related work experience.
2+ years estimating work experience preferred.
Prior Project Manager/Engineer and quantity take-off experience is a plus.
Proficiency with all MS Office products (Word, Excel, PowerPoint, etc.), AGTEK Take-off and Primavera Scheduling software.
Knowledge of Estimating software. HCSS Heavy Bid is a plus.
Working knowledge of construction principles.
DAVRON is the leading Headhunter and Executive Search firm for Engineering, Architecture, Construction, and Manufacturing professionals nationwide. We have direct communication with hiring managers allowing us to get you in front of company decision makers. People who want to be hired come to us for help. We want to see you thrive in challenging work environments that bring you excitement and prosperity in your career!
GENERAL CONTRACTOR | ESTIMATOR | ESTIMATING | MICROSOFT OFFICE | EXCEL | WORD | EXCAVATION | INFRASTRUCTURE | COMMERCIAL | GRADING | PAVING | HCSS
Ref: 6614"
9,Construction Project Business Manager,Tekberry,"Millbrae, CA","Title: Construction Project Business Manager
City: Millbrae
State: CA
ZIP: 94401
Job Type: Direct-hire
Job Code: EB-78440

Tekberry is looking for a highly qualified and motivated Construction Project Business Manager to work on-site with our client, a world-class Construction Management company.

This is a direct-hire position that will see the ideal candidate working alongside industry-leading talent in a world-class environment.

Job Description:
Assemble and organize budget and cost data, develop analyses, monitor job costs and variances.
Assure that all billable costs and change orders are handled properly to assure maximum profitability.
Manage all invoices so they are proper, certified by the owner, and that all billable costs are invoiced.
Review the job costing system to ensure all costs are properly recorded, and comparison of estimates to actual costs are communicated to the appropriate management personnel.
Work with Project Manager, Controller and others to assure profitability. This will be accomplished by providing up to date financial information and project status profitability reports and helping the Project Manager develop Key Performance Indicator (KPI) analyses as the job progresses in order to monitor key tasks and milestones.
Develop and prepare reports that compare actual results to plan and provide accurate information to operations management, accounting management and cost planning to provide a sound quantitative basis for management decisions.
Organize and assemble cost data, develop analyses and present cost information to management in such a manner that it is useful for decision-making purposes.
Prepare monthly financial reports for projects and other work pertaining to costs and service activities.
Undertake assigned special projects and cost analyses as specified by Project Manager or Controller.
Enter project estimates into Project Management Cost Tracking Software Programs.
Perform other duties as required.
Manage the day-to-day operation of the project office.

Qualifications:
Educational and experience requirements may include: Four-year business/accounting degree plus two or more years similar construction cost accounting experience or equivalent combinations of training/experience.
Working knowledge of cost accounting software, construction/rail technology, and budget analysis required.
There will be frequent nights and weekend work schedule.
Compensation:
Base Salary
Comprehensive Medical Benefits.
Employer Contributions to 401K Pension Plan [to 4% max]
Vacation/Sick pay in accordance with Company Policy.
The work must be done on-site, so telecommuting will not be possible. Please submit your resume with salary requirements. Principals only; no third parties or off-shore companies. No phone calls please.
Our client is an EEO/AA/M/F/Vet/Disability Employer. They promote a drug free workplace and utilize the government’s E-Verify process."
