Bigram,Frequency,Label
metal welding,8,Hard skill
plumbing fixtures,6,Hard skill
erection piping,6,Hard skill
shielded metal,5,Hard skill
piping layout,4,Hard skill
layout design,4,Hard skill
pipe requirements,4,Hard skill
plumbing code,4,Hard skill
backflow prevention,4,Hard skill
reduced pressure,4,Hard skill
elementary drawings,4,Hard skill
instruction layout,4,Hard skill
procedures fabrication,4,Hard skill
fixtures appliances,4,Hard skill
oxyacetylene welding,4,Hard skill
plumbing codes,3,Hard skill
codes ordinances,3,Hard skill
ordinances affect,3,Hard skill
affect roughin,3,Hard skill
installation wastes,3,Hard skill
wastes vents,3,Hard skill
traps fittings,3,Hard skill
building codes,3,Hard skill
welding gmaw,3,Hard skill
welding processes,3,Hard skill
prepare certification,3,Hard skill
metal machining,3,Hard skill
safety equipment,3,Hard skill
welding safety,3,Hard skill
planning execution,3,Hard skill
extensive planning,3,Hard skill
planning independent,3,Hard skill
blueprint reading,2,Hard skill
reading residential,2,Hard skill
residential plumbing,2,Hard skill
design estimating,2,Hard skill
estimating procedures,2,Hard skill
procedures overview,2,Hard skill
piping fitting,2,Hard skill
fitting nomenclature,2,Hard skill
nomenclature measurements,2,Hard skill
measurements calculationsas,2,Hard skill
calculationsas well,2,Hard skill
well sketching,2,Hard skill
sketching along,2,Hard skill
isometric drawing,2,Hard skill
roughin work,2,Hard skill
vents cleanouts,2,Hard skill
cleanouts traps,2,Hard skill
code regulations,2,Hard skill
regulations water,2,Hard skill
water systems,2,Hard skill
systems fixture,2,Hard skill
fixture installation,2,Hard skill
installation water,2,Hard skill
water heaters,2,Hard skill
prevention assembly,2,Hard skill
assembly tester,2,Hard skill
municipal codes,2,Hard skill
codes water,2,Hard skill
water purveyor,2,Hard skill
purveyor rules,2,Hard skill
rules regulations,2,Hard skill
regulations reviewed,2,Hard skill
laboratory installing,2,Hard skill
installing operating,2,Hard skill
operating testing,2,Hard skill
testing troubleshooting,2,Hard skill
troubleshooting maintaining,2,Hard skill
maintaining pressure,2,Hard skill
pressure spill,2,Hard skill
spill resistant,2,Hard skill
resistant pressure,2,Hard skill
check type,2,Hard skill
type pressure,2,Hard skill
pressure vacuum,2,Hard skill
check valve,2,Hard skill
valve double,2,Hard skill
check valvedetector,2,Hard skill
pressure principledetector,2,Hard skill
principledetector backflow,2,Hard skill
prevention assemblies,2,Hard skill
surveys plumbing,2,Hard skill
ethics instructs,2,Soft skill
occupational health,2,Hard skill
health safety,2,Hard skill
safety hazardsprovides,2,Hard skill
overview plumbing,2,Hard skill
studies plumbing,2,Hard skill
plumbing calculations,2,Hard skill
calculations elementary,2,Hard skill
drawings beginners,2,Hard skill
pipe sizes,2,Hard skill
sizes calculations,2,Hard skill
calculations flow,2,Hard skill
flow pipe,2,Hard skill
pipe friction,2,Hard skill
friction design,2,Hard skill
design application,2,Hard skill
principles design,2,Hard skill
design water,2,Hard skill
water supply,2,Hard skill
supply fuel,2,Hard skill
fuel distribution,2,Hard skill
distribution dwv,2,Hard skill
dwv drainwaste,2,Hard skill
drainwaste vent,2,Hard skill
plumbing principals,2,Hard skill
installation basicsrepair,2,Hard skill
pipes fittings,2,Hard skill
fittings fixtures,2,Hard skill
instruction elementary,2,Hard skill
drawings plan,2,Hard skill
plan reading,2,Hard skill
