Bigram,Frequency,Label
vocational nurse,823,Hard skill
licensed vocational,819,Hard skill
patient care,513,Hard skill
health care,491,Hard skill
registered nurse,405,Hard skill
home health,404,Hard skill
plan care,331,Hard skill
nurse lvn,280,Hard skill
nursing care,273,Hard skill
quality care,227,Hard skill
skilled nursing,224,Hard skill
policies procedures,213,Hard skill
acute care,213,Hard skill
care team,203,Hard skill
communication skills,197,Soft skill
senior living,196,Hard skill
licensed practical,187,Hard skill
graduate accredited,176,Hard skill
assisted living,173,Hard skill
drivers license,171,Hard skill
patients families,162,Hard skill
license practice,159,Hard skill
resident care,150,Hard skill
medical supplies,145,Hard skill
mental health,143,Hard skill
minimum year,133,Hard skill
vocational nursing,130,Hard skill
active license,130,Hard skill
nursing program,130,Hard skill
care patients,129,Hard skill
quality life,129,Hard skill
care services,127,Hard skill
long term,124,Hard skill
practical nurse,122,Hard skill
supervision registered,121,Hard skill
medication administration,120,Hard skill
skills ability,117,Hard skill
written verbal,116,Soft skill
home care,110,Hard skill
vital signs,108,Hard skill
administration medications,108,Hard skill
three years,108,Hard skill
nursing services,108,Hard skill
essential functions,107,Hard skill
nurse licensed,105,Hard skill
patient family,104,Hard skill
provides nursing,100,Hard skill
case management,100,Hard skill
term care,99,Hard skill
current license,97,Hard skill
healthcare services,95,Hard skill
problem solving,93,Soft skill
effective communication,93,Soft skill
licensed practicalvocational,93,Hard skill
qualifications current,91,Hard skill
practicalvocational nurse,91,Hard skill
care seniors,90,Hard skill
excellent communication,87,Soft skill
support staff,85,Hard skill
currently licensed,84,Hard skill
medication treatment,84,Hard skill
minimum years,83,Hard skill
nurse california,83,Hard skill
care setting,83,Hard skill
medical assistant,82,Hard skill
medical group,81,Hard skill
current valid,81,Hard skill
provide quality,81,Soft skill
highest quality,81,Soft skill
infection control,79,Hard skill
minimum qualifications,79,Hard skill
vocational nurses,79,Hard skill
administers medication,78,Hard skill
california license,77,Hard skill
medical records,77,Hard skill
provider orders,76,Hard skill
nursing process,76,Hard skill
care residents,76,Hard skill
senior care,75,Hard skill
current active,75,Hard skill
nursing support,74,Hard skill
current certification,73,Hard skill
behavioral health,73,Hard skill
lvn minimum,73,Hard skill
working knowledge,72,Hard skill
care facility,72,Hard skill
maintains accurate,71,Soft skill
skills effective,70,Soft skill
minimum months,69,Hard skill
ability communicate,69,Soft skill
valid active,69,Hard skill
care supervision,67,Hard skill
care plan,67,Hard skill
inventory medical,67,Hard skill
life support,66,Hard skill
documents patients,66,Hard skill
providers clinic,66,Hard skill
care plans,65,Hard skill
license certification,65,Hard skill
time certified,65,Hard skill
lvn provides,65,Hard skill
medications injections,65,Hard skill
requirements lvn,65,Hard skill
skills current,65,Hard skill
professional nursing,64,Hard skill
verbal skills,64,Soft skill
certified licensed,64,Hard skill
including administration,64,Hard skill
injections patients,64,Hard skill
medication list,64,Hard skill
medications dosages,64,Hard skill
dosages frequency,64,Hard skill
treatment prescribed,64,Hard skill
assist preparation,64,Hard skill
preparation nursing,64,Hard skill
clinic sessions,64,Hard skill
assists rns,64,Hard skill
routine medical,64,Hard skill
supplies reorders,64,Hard skill
reorders supplies,64,Hard skill
established purchasing,64,Hard skill
purchasing procedures,64,Hard skill
accurate inventory,64,Hard skill
certification excellent,64,Hard skill
required current,64,Hard skill
registered nursing,64,Hard skill
valid drivers,63,Hard skill
duties lvn,63,Hard skill
computer skills,62,Hard skill
nurse practice,62,Hard skill
decision making,62,Soft skill
demonstrated knowledge,62,Hard skill
performs duties,61,Hard skill
patient outcomes,61,Hard skill
support services,60,Hard skill
care manager,60,Hard skill
physician orders,60,Hard skill
state license,60,Hard skill
practice registered,60,Hard skill
verbal written,59,Soft skill
california drivers,59,Hard skill
share passion,59,Soft skill
health hospice,58,Hard skill
case manager,58,Hard skill
living home,58,Hard skill
health services,58,Hard skill
working relationships,58,Soft skill
teammates residents,58,Soft skill
accredited nursing,57,Hard skill
qualifications education,56,Hard skill
medication management,55,Hard skill
within three,55,Hard skill
nurse license,54,Hard skill
written communication,54,Soft skill
knowledge skills,54,Hard skill
medical center,54,Hard skill
wound care,54,Hard skill
accurate timely,54,Soft skill
must licensed,54,Hard skill
resident services,54,Hard skill
2000 hours,54,Hard skill
clinical area,54,Hard skill
area specialty,54,Hard skill
years graduation,54,Hard skill
independent living,53,Hard skill
highquality care,53,Hard skill
direct care,51,Hard skill
handle multiple,51,Hard skill
care provided,51,Hard skill
care needs,51,Hard skill
valid california,51,Hard skill
graduate approved,51,Hard skill
exceptional care,51,Hard skill
ensign services,51,Hard skill
services operations,51,Hard skill
managed care,50,Hard skill
care hospital,50,Hard skill
reliable transportation,50,Hard skill
professional manner,50,Hard skill
acls certification,50,Hard skill
qualifications graduate,49,Hard skill
healthcare professionals,49,Hard skill
preferred ability,49,Hard skill
