Bigram,Frequency,Label
nursing assistant,644,Hard skill
certified nursing,584,Hard skill
patient care,559,Hard skill
medical assistant,433,Hard skill
personal care,418,Hard skill
home health,340,Hard skill
health care,331,Hard skill
home care,327,Hard skill
occupational therapy,257,Hard skill
therapy assistant,239,Hard skill
assisted living,226,Hard skill
daily living,221,Hard skill
physical therapist,221,Hard skill
occupational therapist,220,Hard skill
physical therapy,206,Hard skill
skilled nursing,198,Hard skill
drivers license,192,Hard skill
chest xray,175,Hard skill
senior care,173,Hard skill
therapist assistant,165,Hard skill
nonmedical care,162,Hard skill
vital signs,159,Hard skill
nurse assistant,158,Hard skill
certified occupational,153,Hard skill
care services,152,Hard skill
assistant cna,148,Hard skill
nursing assistants,146,Hard skill
certified nurse,143,Hard skill
specific conditions,142,Hard skill
california drivers,139,Hard skill
tuberculosis test,135,Hard skill
caregivers job,134,Hard skill
treat caregivers,134,Hard skill
true professionals,134,Hard skill
care pros,134,Hard skill
better performance,134,Hard skill
performance convenient,134,Hard skill
provide realtime,134,Hard skill
realtime information,134,Hard skill
information need,134,Hard skill
happy caregivers,134,Hard skill
harder serve,134,Hard skill
serve clients,134,Hard skill
strong performance,134,Hard skill
performance choice,134,Hard skill
using phone,134,Hard skill
247 care,134,Hard skill
support line,134,Hard skill
well caregiver,134,Hard skill
caregiver tells,134,Hard skill
clients training,134,Hard skill
training reminders,134,Hard skill
reminders specific,134,Hard skill
write notes,134,Hard skill
notes care,134,Hard skill
visit clients,134,Hard skill
amazing caregivers,134,Hard skill
care older,134,Hard skill
adults caregiving,134,Hard skill
caregiving compassionate,134,Soft skill
compassionate patient,134,Hard skill
patient caring,134,Hard skill
caring reliable,134,Soft skill
reliable feel,134,Soft skill
license months,134,Hard skill
months caregiving,134,Hard skill
caregiving following,134,Hard skill
following certifications,134,Hard skill
certifications cna,134,Hard skill
cna professional,134,Hard skill
negative tuberculosis,134,Hard skill
test tb,134,Hard skill
tb chest,134,Hard skill
skills qualities,134,Hard skill
lifting transferring,134,Hard skill
transferring adults,134,Hard skill
adults diaper,134,Hard skill
diaper brief,134,Hard skill
brief changing,134,Hard skill
changing bathing,134,Hard skill
bathing toileting,134,Hard skill
punctual reliable,134,Soft skill
reliable professional,134,Soft skill
professional hca,134,Hard skill
acute care,133,Hard skill
registered nurse,131,Hard skill
assistant certified,129,Hard skill
policies procedures,126,Hard skill
therapy services,121,Hard skill
current certification,117,Hard skill
nursing care,113,Hard skill
assistant program,110,Hard skill
medical record,105,Hard skill
duties assigned,104,Hard skill
care aide,101,Hard skill
heart association,100,Hard skill
private duty,100,Hard skill
communication skills,93,Soft skill
attendant personal,92,Hard skill
american heart,91,Hard skill
scope practice,86,Hard skill
training program,85,Hard skill
difference lives,84,Hard skill
quality life,84,Hard skill
assistant certification,82,Hard skill
certified medical,81,Hard skill
nurses aide,79,Hard skill
medical dental,75,Hard skill
running errands,74,Hard skill
care provider,73,Hard skill
health information,72,Hard skill
teammates residents,72,Hard skill
medical foundation,71,Hard skill
essential functions,69,Hard skill
qualified receive,68,Hard skill
receive consideration,68,Hard skill
continuing education,68,Hard skill
medical center,66,Hard skill
assistant license,66,Hard skill
health aide,66,Hard skill
assisting patient,66,Hard skill
recognized nations,66,Hard skill
life support,64,Hard skill
health insurance,64,Hard skill
dignity health,64,Hard skill
tech medical,64,Hard skill
healthcare provider,63,Hard skill
occupational therapists,62,Hard skill
care center,62,Hard skill
ensign services,62,Hard skill
hearing exciting,62,Hard skill
allied health,61,Hard skill
written communication,61,Soft skill
residents families,61,Hard skill
services operations,61,Hard skill
covenant care,61,Hard skill
certified nurses,61,Hard skill
care patients,60,Hard skill
physical exam,60,Hard skill
dressing grooming,59,Hard skill
