Bigram,Frequency,Label
registered nurse,1514,Hard skill
patient care,700,Hard skill
care unit,394,Hard skill
health care,387,Hard skill
travel registered,365,Hard skill
intensive care,359,Hard skill
onestaff medical,345,Hard skill
critical care,330,Hard skill
medical center,326,Hard skill
acute care,320,Hard skill
home health,320,Hard skill
case management,316,Soft skill
nurse manager,259,Hard skill
care patients,245,Soft skill
nurse practitioner,234,Hard skill
operating room,233,Hard skill
patients families,231,Hard skill
nurse rn,211,Hard skill
plan care,208,Hard skill
nursing care,205,Hard skill
policies procedures,202,Hard skill
team members,182,Hard skill
case manager,171,Hard skill
care management,168,Soft skill
healthcare provider,166,Hard skill
communication skills,166,Soft skill
clinical nurse,166,Hard skill
registered nurses,156,Hard skill
life support,152,Hard skill
care team,143,Hard skill
medical surgical,138,Hard skill
labor delivery,138,Hard skill
nurse practitioners,132,Hard skill
accredited nursing,127,Hard skill
quality care,125,Soft skill
licensure certification,120,Hard skill
mental health,120,Hard skill
current license,116,Hard skill
bls acls,116,Hard skill
occupation category,115,Hard skill
state healthcare,115,Hard skill
provider license,115,Hard skill
require certifications,115,Hard skill
dedicated expert,115,Hard skill
expert our,115,Hard skill
step process,115,Hard skill
pay licensure,115,Hard skill
return nurses,115,Hard skill
nurses questions,115,Soft skill
recruiting specialists,115,Hard skill
specialists reach,115,Hard skill
nurse specialist,115,Hard skill
skilled nursing,113,Hard skill
emergency room,112,Hard skill
state license,112,Hard skill
graduate accredited,109,Hard skill
registered nursing,109,Hard skill
nursing process,108,Hard skill
current certification,106,Hard skill
certifications bls,105,Hard skill
essential functions,102,Hard skill
behavioral health,102,Hard skill
genetic information,101,Hard skill
nurse director,99,Hard skill
care plan,98,Hard skill
nursing program,96,Hard skill
surgical services,96,Hard skill
healthcare professionals,95,Hard skill
heart association,95,Hard skill
nurse case,95,Hard skill
medical care,93,Hard skill
home care,93,Hard skill
skills ability,88,Hard skill
care nurse,86,Hard skill
drivers license,84,Hard skill
nursing staff,83,Hard skill
practice registered,82,Hard skill
nurses travel,81,Hard skill
nurse state,81,Hard skill
charge nurse,80,Hard skill
provide care,79,Soft skill
occupational health,78,Hard skill
high quality,76,Soft skill
professional nursing,74,Hard skill
status legally,73,Hard skill
primary care,71,Hard skill
continuing education,70,Hard skill
acls possibly,69,Hard skill
three years,68,Hard skill
care patient,68,Hard skill
license current,67,Hard skill
least year,67,Hard skill
staff nurse,67,Hard skill
palliative care,67,Hard skill
including pregnancy,66,Hard skill
knowledge skills,66,Hard skill
emergency department,66,Hard skill
quality improvement,65,Soft skill
nurse intensive,65,Hard skill
care hospital,64,Hard skill
travel nursing,64,Hard skill
discharge planning,64,Hard skill
pediatric intensive,64,Hard skill
patient education,63,Soft skill
california registered,62,Hard skill
science nursing,62,Hard skill
health services,62,Hard skill
patient safety,62,Hard skill
california license,61,Hard skill
acls certification,60,Hard skill
ability make,60,Soft skill
health nurse,59,Hard skill
travel nurses,58,Hard skill
license practice,58,Hard skill
utilization review,57,Hard skill
neonatal intensive,57,Hard skill
care services,56,Hard skill
timely manner,56,Soft skill
