Construction Math Review 	Math skills are an important tool for the contractor professional or anyone involved in the construction industry. Accurate estimating and bidding depends on basic math principles, concepts and formulas. Important Notes:  Students must be over 22 Must have at least 4 years of construction experience to sit for the test (California Regulated)... 	Contractors State License Schools
Test Taking Skills 	Contractors State License Schools offers a one day test taking strategy course that will provide you the information on how to approach and successfully pass the state exam. Important Notes:  Students must be over 22 Must have at least 4 years of construction experience to sit for the test (California Regulated) 	Contractors State License Schools
EPA-RRP Lead Safety Certification 	As of April 22, 2010, anyone doing repair or contract work to a home that was built pre-1978 is required to be an EPA-RRP (renovation, repair and painting) certified professional. That means general contractors, renovation specialists, electricians, plumbers, property managers and even painters fall under the requirements of this law. Important Notes: ... 	Contractors State License Schools
 Mold Remediation 	There are few things that homeowners and property managers fear as much as a mold outbreak. Not only does growing mold emit a disturbing odor, but it can carry big health risks as well. Under the right conditions, just a small amount of moisture can cause mold to spread quickly, soon making a home or business unsafe for occupants. For that reason,... 	Contractors State License Schools
1-Day Crash Course Trade 	Our 1-Day Crash Course Trade program includes exam preparation for your Trade. The Crash Course Trade Course also includes self-paced self-study trade exam preparation, which includes access to any of our school libraries which includes boom review where you will read exam questions and answers with explanations, and take trade specific exam test... 	Contractors State License Schools
Electrician Certification 	Our California electrical certification crash course, taught in-class throughout a single day, is the perfect review for those who have already taken our home study program. Important Notes:  Students must be over 22 Must have at least 4 years of construction experience to sit for the test (California Regulated) 	Contractors State License Schools
Building Code Residential 	Our ICC residential inspector exam prep course teaches you everything you need to know to pass your test and become B-1 certified. Important Notes:  Students must be over 22 Must have at least 4 years of construction experience to sit for the test (California Regulated) 	Contractors State License Schools
Blue Print Reading 	Our 32-hour program covers the fundamentals of blueprints, including common features on residential and light industrial construction projects; and also assist in the License Exam student for building contractors working towards getting their General B license, or other building trade license. Important Notes: Students must be over 22 Must have... 	Contractors State License Schools
1-Day Crash Course Law 	Our single-day Crash Course program includes a full day of exam preparation including live instruction in a classroom setting from a Licensed Contractor and/or an experienced credentialed teacher, covering a comprehensive review of the law and business exam topics, and simulated exam test questions via our computer lab specifically designed to give... 	Contractors State License Schools
BPI Envelope Professional Blended 	The BPI Envelope Certification is an advanced home energy auditor certification that focuses on ways to tighten a home's exterior boundary, or its envelope. Candidates taking the BPI Envelope training should have experience with home energy auditing or be a certified BPI Building Analyst. By completing blower door and duct blaster testing, a BPI... 	Everblue Training Institute 
Advanced Solar Training: PV Installation 	This course is designed to teach individuals how to physically install solar panels and the balance of components, including inverters, charge controllers, and battery banks for grid-tied and off-grid systems. This IREC Accredited course includes hands-on solar panel installation training and counts toward the NABCEP Advanced Training requirement... 	 Everblue Training Institute
NABCEP PV Installation Professional Exam Prep  	This bundled program offers the quickest path to earning a solar certification. Everblue's Solar PV Mastery Combo provides you with all 58 hours of education you need to qualify for the NABCEP PV Installation Professional exam. Includes:  40-hour Entry Level Solar webinar, 16-hour Solar Design & Sales webinar, 10-hour OSHA Safety webinar,... 	Everblue Training Institute
Lead Abatement Worker Certification 	Our Lead Abatement class includes 24 hours of live instruction over 3 consecutive day which fulfills the requirement for CDPH Lead Abatement Worker Certification. No previous education or experience is requirement. Important Notes:  Students must be over 22 Must have at least 4 years of construction experience to sit for the test (California... 	Contractors State License Schools
EPA-RRP Refresher 	As of April 22, 2010, anyone doing repair or contract work to a home that was built pre-1978 is required to be an EPA-RRP (renovation, repair and painting) certified professional. That means general contractors, renovation specialists, electricians, plumbers, property managers and even painters fall under the requirements of this law. Individual Certified... 	Contractors State License Schools
BPI Building Analyst and IDL Blended 	Earn 2 home energy auditor certifications in 1 class and qualify for utility-sponsored incentives and rebate programs. Includes: 16-hour webinar, field training with equipment (in person), practice questions, and written & field certification exams. Note: Location is at Irvine, CA 92604 with multiple venues necessary for training. This BPI training... 	Everblue Training Institute 
BPI Building Analyst Blended 	BPI Building Analyst Certification is proof that a home performance contractor is skilled at using building science knowledge to diagnose energy-related problems in the home. This energy auditor certification relies on visual inspection, blower door testing, and combustion appliance safety testing to ensure a safe and energy-efficient dwelling for... 	Everblue Training Institute 
BPI Infiltration and Duct Leakage Blended 	The BPI IDL Certification fills a void in new home construction by ensuring that homes are built properly from the start, with energy efficiency in mind. In addition, building codes across the country are starting to require blower door and duct leakage testing from a third-party certified professional. The BPI IDL Certification will satisfy these... 	Everblue Training Institute 
Building Code Commercial 	Our ICC commercial building inspector course is the best way to prepare for your B-2 exam certification. It covers not only construction regulations and up-to-date commercial code specifics, but also detailed advice on starting and operating a commercial inspection business. Important Notes:  Students must be over 22 Must have at least 4 years... 	Contractors State License Schools
AutoCAD Fundamentals 	The objective of this course is to enable students to create a basic 2D drawing in AutoCAD. All topics, including features and commands, relate to both AutoCAD and AutoCAD LT unless specifically noted otherwise in the class. The strategy is to start with a few basic tools that enable the student to create and edit a simple drawing, and then continue... 	Kelar Pacific
BPI Building Analyst, Envelope Pro and IDL Blended 	This triple-combo program enables participants to earn 3 BPI certifications through a blend of online training and live field training. Enhance your skills with whole-house energy auditing skills, blower door testing, and envelope knowledge. This BPI training course is a combination of our popular BPI Building Analyst and BPI Infiltration and Duct... 	Everblue Training Institute 
LEED Green Associate v4 2-Day 	Our LEED Green Associate Exam Prep provides a high-level overview of green building design, construction, and operations. With our exam prep packages and study aids, you will learn about the LEED Rating Systems and LEED Certification process. Let us provide you with the structure and motivation to pass your LEED Green Associate exam! Course Materials... 	Everblue Training Institute
CDPH Lead Abatement Supervisor Certification 	The California Department of Public Health requires all supervisors to become Lead Certified for public protection and to avoid fines. It is a legal requirement for those that intend to remove lead related contaminants like lead paint, lead dust and lead soil as part of the construction project that they be under the direction of a Certified Supervisor.... 	Contractors State License Schools
LEED AP Building Design + Construction v4 	This instructor-led, exam prep course provides an in-depth overview of the LEED Rating System for Building Design and Construction with information on LEED documentation, LEED Online, and the LEED certification version 4 project process. This advanced LEED course provides students with an in-depth knowledge of the LEED BD+C Rating System, with a focus... 	Everblue Training Institute
Revit 2019 + Enscape Training 	This course is a customizable training session that rapidly builds teams effectiveness beginning at Preliminary Design, extending throughout the entire Design process. Bridging Revit and Enscape will immediately enable better design and design validation, model production, coordination and team collaboration, all in formats that can be easily shared... 	Kelar Pacific
Illustration & Fashion Design (Ages 8 and Up) 	This is the course to develop your ideas and creative skills through the medium of illustration, especially with fashion design. We will delve into a wide variety of illustration topics: Master sketching an anatomically correct high fashion model…from proportions to hair and make-up Learn to use a variety of illustration techniques, from watercolor... 	South Bay Art Department
Commercial Drone Pilot-Part 2: sUAS Pilot Training 	Course name: Commercial Drone Pilot--Part 2: sUAS Pilot Training Course Experts speculate that by the year 2020 there will be more than 23 million sUAS (drones) in service and based on the current aircraft to pilot ratio and the FAA requirement of one pilot per drone, there will need to be 650,000 commercial drone pilots to fly these aircraft. ... 	El Camino College
