cofo_number,date,year,status,permit_number,permit_type,permit_subtype,address,zip,homes,stories,building_size,zone,census_tract,lat,lon
118066,9/2/14,2014,CofO Issued,13010-10000-01876,Bldg-New,1 or 2 Family Dwelling,4430 N RICHARD CIR,90032,1,3,001 unit,[Q]R1-1D,2011.2,34.09729,-118.16396
139680,11/23/16,2016,CofO Issued,14010-70000-03633,Bldg-New,1 or 2 Family Dwelling,4240 N BARRETT ROAD,90032,1,3,001 unit,[Q]R1-1D,2011.2,34.09449,-118.16457
132513,11/23/15,2015,CofO Issued,14010-10000-03630,Bldg-New,1 or 2 Family Dwelling,4445 N RICHARD DR,90032,1,3,001 unit,[Q]R1-1D,2011.2,34.0975,-118.16487
144499,5/5/18,2018,CofO Issued,15010-20000-01305,Bldg-New,1 or 2 Family Dwelling,4412 N RICHARD DR,90032,1,2,001 unit,[Q]R1-1D,2011.2,34.09674,-118.16489
136782,7/25/17,2017,CofO Issued,14010-10000-02837,Bldg-New,1 or 2 Family Dwelling,3158 N FARNSWORTH AVE,90032,1,1,001 unit,R1-1,2015.01,34.08257,-118.16532
144766,11/17/16,2016,CofO Issued,16016-10000-00367,Bldg-Alter/Repair,1 or 2 Family Dwelling,3153 N FARNSWORTH AVE,90032,1,2,001 unit,R1-1,2015.01,34.08238,-118.16571
157414,7/28/17,2017,CofO Issued,15014-10000-04813,Bldg-Addition,1 or 2 Family Dwelling,3444 N FARNSWORTH AVE,90032,1,0,001 unit,R1-1,2015.01,34.08632,-118.16689
159835,4/2/19,2019,CofO Issued,16010-10000-02158,Bldg-New,1 or 2 Family Dwelling,5347 E TEMPLETON ST,90032,1,2,001 unit,R2-1,2015.01,34.08511,-118.1671
109819,12/22/15,2015,CofO Issued,11010-10000-01202,Bldg-New,1 or 2 Family Dwelling,4242 N GUARDIA AVE,90032,1,1,001 unit,[Q]RE20-1D,2011.2,34.09508,-118.16749
163005,11/10/18,2018,CofO Issued,16010-10000-01042,Bldg-New,1 or 2 Family Dwelling,4028 N BARRETT ROAD,90032,1,2,001 unit,[Q]R1-1D,2011.2,34.09178,-118.16761
143190,3/2/18,2018,CofO Issued,15016-10000-04660,Bldg-Alter/Repair,Apartment,5366 E ITHACA AVE,90032,1,0,001 unit,RD1.5-1,2016.02,34.07701,-118.16951
135550,5/9/16,2016,CofO Issued,14010-10000-03762,Bldg-New,1 or 2 Family Dwelling,5211 E EDNA ST,90032,1,2,001 unit,RD3-1,2015.04,34.08389,-118.1698
130177,7/29/16,2016,CofO Issued,12010-10000-00784,Bldg-New,1 or 2 Family Dwelling,3312 N CHADWICK DR,90032,1,2,001 unit,RD3-1,2015.04,34.08419,-118.17008
151680,2/22/17,2017,CofO Issued,16016-10000-00257,Bldg-Alter/Repair,1 or 2 Family Dwelling,805 N BRIDEWELL ST,90042,1,2,001 unit,RD1.5-1,1831.03,34.1171,-118.17047
131518,3/3/18,2018,CofO Issued,14010-10000-00873,Bldg-New,1 or 2 Family Dwelling,6815 E HOUGH ST,90042,1,3,001 unit,RD1.5-1,1831.03,34.11729,-118.17089
131520,3/3/18,2018,CofO Issued,14010-10000-00872,Bldg-New,1 or 2 Family Dwelling,6813 E HOUGH ST,90042,1,3,001 unit,RD1.5-1,1831.03,34.11737,-118.17097
131521,3/3/18,2018,CofO Issued,14010-10000-00871,Bldg-New,1 or 2 Family Dwelling,6811 E HOUGH ST,90042,1,3,001 unit,RD1.5-1,1831.03,34.11747,-118.17108
131522,3/3/18,2018,CofO Issued,14010-10000-00870,Bldg-New,1 or 2 Family Dwelling,800 N CHESTNUT AVE,90042,1,3,001 unit,RD1.5-1,1831.03,34.1176,-118.17112
139753,2/12/17,2017,CofO Issued,15010-10000-01516,Bldg-New,1 or 2 Family Dwelling,5193 E BORLAND ROAD,90032,1,2,001 unit,RD1.5-1,2017,34.07188,-118.17133
163449,1/4/18,2018,CofO Issued,17016-20000-00202,Bldg-Alter/Repair,1 or 2 Family Dwelling,2922 N ADKINS AVE,90032,1,,001 unit,[Q]R1-1D,2016.02,34.07938,-118.17133
162444,1/13/19,2019,CofO Issued,16010-10000-03685,Bldg-New,1 or 2 Family Dwelling,703 N BRIDEWELL ST,90042,1,3,001 unit,RD1.5-1,1831.03,34.1165,-118.17134
132481,3/23/16,2016,CofO Issued,14016-10000-00810,Bldg-Alter/Repair,1 or 2 Family Dwelling,5120 E HUNTINGTON DR,90032,2,,002-004 units,[Q]C4-1XL,2015.01,34.08877,-118.17134
162446,1/13/19,2019,CofO Issued,16010-10000-03687,Bldg-New,1 or 2 Family Dwelling,701 N BRIDEWELL ST,90042,1,3,001 unit,RD1.5-1,1831.03,34.11643,-118.17149
162445,4/2/19,2019,CofO Issued,16010-10000-03686,Bldg-New,1 or 2 Family Dwelling,701 N BRIDEWELL ST,90042,1,3,001 unit,RD1.5-1,1831.03,34.11643,-118.17149
162443,1/13/19,2019,CofO Issued,16010-10000-03684,Bldg-New,1 or 2 Family Dwelling,703 N BRIDEWELL ST,90042,1,3,001 unit,RD1.5-1,1831.03,34.11655,-118.17156
138978,12/14/16,2016,CofO Issued,15016-20000-12597,Bldg-Alter/Repair,1 or 2 Family Dwelling,5151 E CAVANAGH ROAD,90032,1,0,001 unit,[Q]R1-1D,2017,34.0698,-118.17173
51332,12/16/17,2017,CofO Issued,07010-10000-01680,Bldg-New,1 or 2 Family Dwelling,5116 E TEMPLETON ST,90032,1,2,001 unit,RD3-1,2015.04,34.08303,-118.17175
99998,8/29/13,2013,CofO Issued,11010-20000-00662,Bldg-New,1 or 2 Family Dwelling,3320 N LINDA VISTA TER,90032,2,2,002-004 units,[Q]RD3-1D,2015.03,34.08411,-118.17225
146872,10/4/17,2017,CofO Issued,15010-20000-03558,Bldg-New,1 or 2 Family Dwelling,1993 N LANSDOWNE AVE,90032,1,2,001 unit,[Q]R1-1D,2017,34.06641,-118.17254
158471,8/7/18,2018,CofO Issued,15010-70000-03166,Bldg-New,1 or 2 Family Dwelling,2619 N ROUND DR,90032,1,2,001 unit,[Q]R1-1D,2016.02,34.07825,-118.17273
111539,12/15/15,2015,CofO Issued,09010-10000-00523,Bldg-New,1 or 2 Family Dwelling,5100 E CAVANAGH ROAD,90032,1,3,001 unit,[Q]R1-1D,2017,34.06905,-118.17317
59579,6/19/14,2014,CofO Corrected,05010-10000-04368,Bldg-New,1 or 2 Family Dwelling,961 N AVENUE 66 ,90042,1,2,001 unit,R1-1,1831.02,34.12318,-118.17328
132578,1/7/17,2017,CofO Issued,13010-20000-02531,Bldg-New,1 or 2 Family Dwelling,4035 N JENNINGS DR,90032,1,2,001 unit,[Q]R1-1D,2011.1,34.09171,-118.1733
156133,9/24/17,2017,CofO Issued,14016-10000-11875,Bldg-Alter/Repair,1 or 2 Family Dwelling,5009 E AXTELL ST,90032,1,,001 unit,RD3-1,2015.03,34.08639,-118.1734
89925,2/22/13,2013,CofO Issued,09010-20000-00430,Bldg-New,1 or 2 Family Dwelling,4037 N JENNINGS DR,90032,1,2,001 unit,[Q]R1-1D,2011.1,34.09196,-118.17345
57469,6/20/14,2014,CofO Issued,07010-10000-03824,Bldg-New,1 or 2 Family Dwelling,930 N STALEY LANE,90042,1,2,001 unit,R1-1,1831.02,34.12247,-118.17372
60324,6/20/14,2014,CofO Issued,07010-10000-03826,Bldg-New,1 or 2 Family Dwelling,945 N STALEY LANE,90042,1,2,001 unit,R1-1,1831.02,34.12287,-118.17374
132771,9/8/17,2017,CofO Issued,13010-10000-02516,Bldg-New,1 or 2 Family Dwelling,2010 N BARNETT WAY,90032,1,2,001 unit,[Q]R1-1D,2017,34.06654,-118.17393
57471,6/20/14,2014,CofO Issued,07010-10000-03825,Bldg-New,1 or 2 Family Dwelling,931 N STALEY LANE,90042,1,2,001 unit,R1-1,1831.02,34.12249,-118.17397
142412,5/8/18,2018,CofO Issued,14010-10000-00921,Bldg-New,1 or 2 Family Dwelling,1997 N BARNETT WAY,90032,1,3,001 unit,[Q]R1-1D,2017,34.06645,-118.17457
