id,RegionName,major_area,minor_area
Chinatown,,Eastside,Downtown
Downtown,Downtown,Eastside,Downtown
Boyle Heights,Boyle Heights,Eastside,East LA
El Sereno,El Sereno,Eastside,East LA
Lincoln Heights,Lincoln Heights,Eastside,East LA
Montecito Heights,Montecito Heights,Eastside,East LA
East Hollywood,Hollywood,Eastside,Hollywood-Sunset
Echo Park,Echo Park,Eastside,Hollywood-Sunset
Hollywood,Hollywood,Eastside,Hollywood-Sunset
Los Feliz,Los Feliz,Eastside,Hollywood-Sunset
Silver Lake,Silver Lake,Eastside,Hollywood-Sunset
Atwater Village,Atwater Village,Eastside,Northeast LA
Eagle Rock,Eagle Rock,Eastside,Northeast LA
Elysian Park,,Eastside,Northeast LA
Elysian Valley,Elysian Valley,Eastside,Northeast LA
Glassell Park,Glassell Park,Eastside,Northeast LA
Griffith Park,,Eastside,Northeast LA
Highland Park,Highland Park,Eastside,Northeast LA
Mount Washington,Mount Washington,Eastside,Northeast LA
Arlington Heights,Harvard Heights,Eastside,West of Downtown
Harvard Heights,Harvard Heights,Eastside,West of Downtown
Koreatown,Koreatown,Eastside,West of Downtown
Pico-Union,Pico-Union,Eastside,West of Downtown
Westlake,Westlake,Eastside,West of Downtown
,Central City East,Eastside,
,University Hills,Eastside,
,Hermon,Eastside,
West Adams,West Adams,South,Crenshaw
Baldwin Hills/Crenshaw,Crenshaw,South,Crenshaw
Hyde Park,Hyde Park,South,Crenshaw
Jefferson Park,Jefferson Park,South,Crenshaw
Leimert Park,Leimert Park,South,Crenshaw
Harbor City,Harbor City,South,Harbor
Harbor Gateway,Harbor Gateway,South,Harbor
San Pedro,San Pedro,South,Harbor
Historic South-Central,Central City,South,South LA
Adams-Normandie,South Los Angeles,South,South LA
Chesterfield Square,South Los Angeles,South,South LA
Exposition Park,South Los Angeles,South,South LA
Gramercy Park,South Los Angeles,South,South LA
Harvard Park,South Los Angeles,South,South LA
Manchester Square,South Los Angeles,South,South LA
University Park,South Los Angeles,South,South LA
Vermont Knolls,South Los Angeles,South,South LA
Vermont-Slauson,South Los Angeles,South,South LA
Vermont Square,South Los Angeles,South,South LA
Vermont Vista,South Los Angeles,South,South LA
Broadway-Manchester,Southeast Los Angeles,South,Southeast LA
Central-Alameda,Southeast Los Angeles,South,Southeast LA
Florence,Southeast Los Angeles,South,Southeast LA
Green Meadows,Southeast Los Angeles,South,Southeast LA
South Park,Southeast Los Angeles,South,Southeast LA
Watts,Watts,South,Southeast LA
Hansen Dam,Lakeview Terrace,Valley,Antelope Valley
Lake View Terrace,Lakeview Terrace,Valley,Antelope Valley
Sunland,Sunland,Valley,Antelope Valley
Tujunga,Tujunga,Valley,Antelope Valley
Arleta,Arleta,Valley,Far Valley
Canoga Park,Canoga Park,Valley,Far Valley
Chatsworth,Chatsworth,Valley,Far Valley
Chatsworth Reservoir,Chatsworth,Valley,Far Valley
Granada Hills,Granada Hills,Valley,Far Valley
Mission Hills,Mission Hills,Valley,Far Valley
North Hills,North Hills,Valley,Far Valley
Northridge,Northridge,Valley,Far Valley
Pacoima,Pacoima,Valley,Far Valley
Panorama City,Panorama City,Valley,Far Valley
Porter Ranch,Porter Ranch,Valley,Far Valley
Reseda,Reseda,Valley,Far Valley
Sun Valley,Sun Valley,Valley,Far Valley
Sylmar,Sylmar,Valley,Far Valley
West Hills,West Hills,Valley,Far Valley
Winnetka,Winnetka,Valley,Far Valley
Woodland Hills,Woodland Hills,Valley,Far Valley
Lake Balboa,Lake Balboa,Valley,Far Valley
Encino,Encino,Valley,Near Valley
North Hollywood,North Hollywood,Valley,Near Valley
Sepulveda Basin,Encino,Valley,Near Valley
Sherman Oaks,Sherman Oaks,Valley,Near Valley
Studio City,Studio City,Valley,Near Valley
Tarzana,Tarzana,Valley,Near Valley
Toluca Lake,Toluca Lake,Valley,Near Valley
Valley Glen,Valley Glen,Valley,Near Valley
Valley Village,Valley Village,Valley,Near Valley
Van Nuys,Van Nuys,Valley,Near Valley
,La Tuna Canyon,Valley,
Del Rey,Del Rey,Westside,Beach
Playa del Rey,Playa Del Rey,Westside,Beach
Playa Vista,Playa Vista,Westside,Beach
Venice,Venice,Westside,Beach
Westchester,Westchester,Westside,Beach
Beverlywood,Beverlywood,Westside,Central LA
Carthay,Mid City West,Westside,Central LA
Fairfax,Mid City West,Westside,Central LA
Hancock Park,Mid Wilshire,Westside,Central LA
Larchmont,Mid Wilshire,Westside,Central LA
Mid-City,Mid City,Westside,Central LA
Mid-Wilshire,Mid City,Westside,Central LA
Pico-Robertson,Pico-Robertson,Westside,Central LA
Windsor Square,Mid Wilshire,Westside,Central LA
Bel-Air,Bel Air,Westside,Hills
Beverly Crest,Beverly Crest,Westside,Hills
Beverly Grove,Mid City West,Westside,Central LA
Hollywood Hills,Hollywood Hills,Westside,Hills
Hollywood Hills West,Cahuenga Pass,Westside,Hills
Pacific Palisades,Pacific Palisades,Westside,Hills
,Crestview,Westside,none
Brentwood,Brentwood,Westside,West LA
Century City,Century City,Westside,West LA
Cheviot Hills,Cheviot Hills,Westside,West LA
Mar Vista,Mar Vista,Westside,West LA
Palms,Palms,Westside,West LA
Rancho Park,Cheviot Hills,Westside,West LA
Sawtelle,Sawtelle,Westside,West LA
West Los Angeles,West Los Angeles,Westside,West LA
Westwood,Westwood,Westside,West LA
Shadow Hills,,#N/A,none
Cypress Park,Cypress Park,,none
Wilmington,Wilmington,,none
